home_team,away_team,home_score,away_score,result,city,country,source_file
Réunion,Seychelles,3,0,1,Réunion,Réunion,1979_indian_ocean_island_games.txt
Mauritius,Comoros,3,0,1,Réunion,Réunion,1979_indian_ocean_island_games.txt
Seychelles,Maldives,9,0,1,Réunion,Réunion,1979_indian_ocean_island_games.txt
Réunion,Maldives,9,0,1,Réunion,Réunion,1979_indian_ocean_island_games.txt
Comoros,Mauritius,1,3,2,Réunion,Réunion,1979_indian_ocean_island_games.txt
Comoros,Maldives,2,1,1,Réunion,Réunion,1979_indian_ocean_island_games.txt
Seychelles,Mauritius,1,1,X,Réunion,Réunion   [Seychelles wins on penalties],1979_indian_ocean_island_games.txt
Réunion,Comoros,6,1,1,Réunion,Réunion,1979_indian_ocean_island_games.txt
Réunion,Seychelles,2,1,1,Réunion,Réunion,1979_indian_ocean_island_games.txt
Mauritius,Seychelles,3,1,1,Mauritius,Mauritius,1985_indian_ocean_island_games.txt
Réunion,Comoros,1,0,1,Mauritius,Mauritius,1985_indian_ocean_island_games.txt
Madagascar,Seychelles,1,0,1,Mauritius,Mauritius,1985_indian_ocean_island_games.txt
Mauritius,Madagascar,3,1,1,Mauritius,Mauritius,1985_indian_ocean_island_games.txt
Comoros,Maldives,2,2,X,Mauritius,Mauritius,1985_indian_ocean_island_games.txt
Réunion,Maldives,9,0,1,Mauritius,Mauritius,1985_indian_ocean_island_games.txt
Mauritius,Réunion,4,4,X,Mauritius,Mauritius   [Mauritius wins on penalties],1985_indian_ocean_island_games.txt
Madagascar,Comoros,1,0,1,Madagascar,Madagascar,1990_indian_ocean_island_games.txt
Réunion,Comoros,0,1,2,Madagascar,Madagascar,1990_indian_ocean_island_games.txt
Madagascar,Réunion,0,0,X,Madagascar,Madagascar,1990_indian_ocean_island_games.txt
Mauritius,Seychelles,2,0,1,Madagascar,Madagascar,1990_indian_ocean_island_games.txt
Mauritius,Comoros,4,0,1,Madagascar,Madagascar,1990_indian_ocean_island_games.txt
Madagascar,Seychelles,6,0,1,Madagascar,Madagascar,1990_indian_ocean_island_games.txt
