home_team,away_team,home_score,away_score,result,city,country,source_file
Malaysia,Singapore,5,0,1,Jakarta,Indonesia,1970_indonesia_tournament.txt
Indonesia,Hong Kong,2,1,1,Jakarta,Indonesia,1970_indonesia_tournament.txt
South Korea,Singapore,8,0,1,Jakarta,Indonesia,1970_indonesia_tournament.txt
Indonesia,Western Australia,3,1,1,Jakarta,Indonesia,1970_indonesia_tournament.txt
South Korea,Malaysia,0,1,2,Jakarta,Indonesia,1970_indonesia_tournament.txt
Hong Kong,Western Australia,3,1,1,Jakarta,Indonesia,1970_indonesia_tournament.txt
Hong Kong,Malaysia,1,1,X,Jakarta,Indonesia,1970_indonesia_tournament.txt
Indonesia,South Korea,2,2,X,Jakarta,Indonesia,1970_indonesia_tournament.txt
Indonesia,Hong Kong,3,2,1,Jakarta,Indonesia,1970_indonesia_tournament.txt
South Korea,Malaysia,0,2,2,Jakarta,Indonesia,1970_indonesia_tournament.txt
Indonesia,Singapore,3,0,1,Jakarta,Indonesia,1971_indonesia_tournament.txt
South Korea,Thailand,0,1,2,Jakarta,Indonesia,1971_indonesia_tournament.txt
Cambodia,Western Australia,2,2,X,Jakarta,Indonesia,1971_indonesia_tournament.txt
India,Thailand,0,1,2,Jakarta,Indonesia,1971_indonesia_tournament.txt
Indonesia,Myanmar,1,1,X,Jakarta,Indonesia,1971_indonesia_tournament.txt
Cambodia,Malaysia,1,1,X,Jakarta,Indonesia,1971_indonesia_tournament.txt
India,South Korea,2,3,2,Jakarta,Indonesia,1971_indonesia_tournament.txt
Myanmar,Singapore,6,0,1,Jakarta,Indonesia,1971_indonesia_tournament.txt
Malaysia,Western Australia,3,2,1,Jakarta,Indonesia,1971_indonesia_tournament.txt
Myanmar,Malaysia,5,1,1,Jakarta,Indonesia,1971_indonesia_tournament.txt
Indonesia,Thailand,0,0,X,Jakarta,Indonesia,1971_indonesia_tournament.txt
Myanmar,South Korea,1,0,1,Jakarta,Indonesia,1971_indonesia_tournament.txt
Cambodia,Thailand,3,0,1,Jakarta,Indonesia,1971_indonesia_tournament.txt
Indonesia,Cambodia,1,0,1,Jakarta,Indonesia,1971_indonesia_tournament.txt
