home_team,away_team,home_score,away_score,result,city,country,source_file
Faroe Islands,Ynys Môn,6,0,1,Gøta,Faroe Islands,1989_island_games.txt
Greenland,Shetland,4,1,1,Vágur,Faroe Islands,1989_island_games.txt
Faroe Islands,Shetland,4,0,1,Tórshavn,Faroe Islands,1989_island_games.txt
Åland Islands,Ynys Môn,4,5,2,Sandavágur,Faroe Islands,1989_island_games.txt
Faroe Islands,Greenland,3,0,1,Fuglafjørður,Faroe Islands,1989_island_games.txt
Åland Islands,Shetland,2,0,1,Klaksvík,Faroe Islands,1989_island_games.txt
Åland Islands,Greenland,3,0,1,Sandur,Faroe Islands,1989_island_games.txt
Ynys Môn,Shetland,3,0,1,Sandur,Faroe Islands,1989_island_games.txt
Faroe Islands,Åland Islands,7,1,1,Tórshavn,Faroe Islands,1989_island_games.txt
Ynys Môn,Greenland,1,0,1,Klaksvík,Faroe Islands,1989_island_games.txt
Faroe Islands,Shetland,3,0,1,Åland,Finland,1991_island_games.txt
Jersey,Greenland,4,3,1,Åland,Finland,1991_island_games.txt
Ynys Môn,Guernsey,1,0,1,Åland,Finland,1991_island_games.txt
Åland Islands,Isle of Wight,1,0,1,Åland,Finland,1991_island_games.txt
Faroe Islands,Greenland,3,2,1,Åland,Finland,1991_island_games.txt
Jersey,Shetland,2,0,1,Åland,Finland,1991_island_games.txt
Åland Islands,Guernsey,2,0,1,Åland,Finland,1991_island_games.txt
Ynys Môn,Isle of Wight,5,1,1,Åland,Finland,1991_island_games.txt
Faroe Islands,Jersey,5,3,1,Åland,Finland,1991_island_games.txt
Shetland,Greenland,5,2,1,Åland,Finland,1991_island_games.txt
Åland Islands,Ynys Môn,0,1,2,Åland,Finland,1991_island_games.txt
Isle of Wight,Guernsey,1,1,X,Åland,Finland,1991_island_games.txt
Isle of Wight,Greenland,3,1,1,Åland,Finland,1991_island_games.txt
Shetland,Guernsey,2,1,1,Åland,Finland,1991_island_games.txt
Åland Islands,Jersey,0,2,2,Åland,Finland,1991_island_games.txt
Faroe Islands,Ynys Môn,2,0,1,Åland,Finland,1991_island_games.txt
