time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.00,Bnei Sachnin FC,Hapoel Tel Aviv,1,1,X,0-1,2023-24_il1.txt
19.15,Maccabi Petach-Tikva,Hapoel Jerusalem,1,1,X,0-1,2023-24_il1.txt
20.00,Hapoel Be'er Sheva,Hapoel Hadera,3,0,1,2-0,2023-24_il1.txt
,Maccabi Netanya,Maccabi Bnei Raina,1,1,X,1-0,2023-24_il1.txt
20.15,Maccabi Tel Aviv,FC Ashdod,4,1,1,0-0,2023-24_il1.txt
20.00,Beitar Jerusalem,Hapoel Haifa,1,2,2,1-0,2023-24_il1.txt
20.00,Maccabi Haifa,Hapoel Petach-Tikva,2,1,1,2-0,2023-24_il1.txt
19.00,Hapoel Petach-Tikva,Bnei Sachnin FC,1,1,X,1-0,2023-24_il1.txt
,Maccabi Bnei Raina,Hapoel Be'er Sheva,1,1,X,1-1,2023-24_il1.txt
20.00,Hapoel Haifa,Maccabi Petach-Tikva,2,2,X,0-1,2023-24_il1.txt
,Hapoel Tel Aviv,Maccabi Netanya,2,0,1,1-0,2023-24_il1.txt
20.00,Hapoel Jerusalem,Maccabi Haifa,1,2,2,1-2,2023-24_il1.txt
20.30,Hapoel Hadera,Maccabi Tel Aviv,0,3,2,0-1,2023-24_il1.txt
20.00,FC Ashdod,Beitar Jerusalem,1,2,2,1-1,2023-24_il1.txt
19.30,Bnei Sachnin FC,Hapoel Jerusalem,2,1,1,1-0,2023-24_il1.txt
19.45,Hapoel Haifa,FC Ashdod,2,0,1,0-0,2023-24_il1.txt
,Maccabi Tel Aviv,Maccabi Bnei Raina,1,1,X,1-0,2023-24_il1.txt
20.00,Maccabi Netanya,Hapoel Petach-Tikva,4,1,1,2-0,2023-24_il1.txt
,Maccabi Petach-Tikva,Maccabi Haifa,3,2,1,1-1,2023-24_il1.txt
20.00,Beitar Jerusalem,Hapoel Hadera,2,0,1,0-0,2023-24_il1.txt
20.30,Hapoel Be'er Sheva,Hapoel Tel Aviv,0,0,X,,2023-24_il1.txt
18.00,Hapoel Petach-Tikva,Hapoel Be'er Sheva,1,0,1,0-0,2023-24_il1.txt
19.30,Hapoel Hadera,Hapoel Haifa,1,2,2,1-2,2023-24_il1.txt
19.45,FC Ashdod,Maccabi Petach-Tikva,1,1,X,0-0,2023-24_il1.txt
,Hapoel Jerusalem,Maccabi Netanya,1,1,X,0-0,2023-24_il1.txt
20.00,Maccabi Bnei Raina,Beitar Jerusalem,2,1,1,0-1,2023-24_il1.txt
20.30,Hapoel Tel Aviv,Maccabi Tel Aviv,0,5,2,0-3,2023-24_il1.txt
20.00,Maccabi Haifa,Bnei Sachnin FC,1,1,X,1-1,2023-24_il1.txt
17.45,Maccabi Tel Aviv,Hapoel Petach-Tikva,2,0,1,0-0,2023-24_il1.txt
19.30,Maccabi Petach-Tikva,Bnei Sachnin FC,5,1,1,3-1,2023-24_il1.txt
19.45,FC Ashdod,Hapoel Hadera,0,1,2,0-0,2023-24_il1.txt
,Hapoel Haifa,Maccabi Bnei Raina,1,2,2,1-2,2023-24_il1.txt
20.00,Hapoel Be'er Sheva,Hapoel Jerusalem,3,0,1,2-0,2023-24_il1.txt
20.15,Maccabi Netanya,Maccabi Haifa,2,3,2,2-2,2023-24_il1.txt
20.30,Beitar Jerusalem,Hapoel Tel Aviv,0,3,2,0-1,2023-24_il1.txt
15.00,Hapoel Tel Aviv,Hapoel Haifa,0,1,2,0-1,2023-24_il1.txt
16.45,Hapoel Hadera,Maccabi Petach-Tikva,3,0,1,1-0,2023-24_il1.txt
17.30,Bnei Sachnin FC,Maccabi Netanya,1,1,X,0-1,2023-24_il1.txt
19.00,Maccabi Bnei Raina,FC Ashdod,0,0,X,,2023-24_il1.txt
