time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.30,Cerezo Osaka,Vissel Kobe,1,0,1,0-0,2019_jp1.txt
14.00,Kawasaki Frontale,FC Tokyo,0,0,X,,2019_jp1.txt
,Sagan Tosu,Nagoya Grampus,0,4,2,0-0,2019_jp1.txt
,Sanfrecce Hiroshima,Shimizu S-Pulse,1,1,X,0-1,2019_jp1.txt
,Vegalta Sendai,Urawa Red Diamonds,0,0,X,,2019_jp1.txt
15.00,Gamba Osaka,Yokohama F. Marinos,2,3,2,1-3,2019_jp1.txt
,Júbilo Iwata,Matsumoto Yamaga,1,1,X,0-1,2019_jp1.txt
,Kashima Antlers,Oita Trinita,1,2,2,0-1,2019_jp1.txt
16.00,Shonan Bellmare,Hokkaido Consadole Sapporo,2,0,1,0-0,2019_jp1.txt
19.00,Kawasaki Frontale,Kashima Antlers,1,1,X,1-1,2019_jp1.txt
,Sanfrecce Hiroshima,Júbilo Iwata,0,0,X,,2019_jp1.txt
13.00,Yokohama F. Marinos,Vegalta Sendai,2,1,1,2-0,2019_jp1.txt
14.00,Nagoya Grampus,Cerezo Osaka,2,0,1,0-0,2019_jp1.txt
,Shimizu S-Pulse,Gamba Osaka,2,4,2,1-1,2019_jp1.txt
15.00,Vissel Kobe,Sagan Tosu,1,0,1,0-0,2019_jp1.txt
16.00,Oita Trinita,Matsumoto Yamaga,0,1,2,0-0,2019_jp1.txt
,Shonan Bellmare,FC Tokyo,2,3,2,1-2,2019_jp1.txt
,Urawa Red Diamonds,Hokkaido Consadole Sapporo,0,2,2,0-2,2019_jp1.txt
14.00,Hokkaido Consadole Sapporo,Shimizu S-Pulse,5,2,1,2-1,2019_jp1.txt
,Matsumoto Yamaga,Urawa Red Diamonds,0,1,2,0-0,2019_jp1.txt
15.00,Gamba Osaka,Nagoya Grampus,2,3,2,1-2,2019_jp1.txt
,Júbilo Iwata,Oita Trinita,1,2,2,1-1,2019_jp1.txt
16.00,Cerezo Osaka,Sanfrecce Hiroshima,0,1,2,0-1,2019_jp1.txt
,Kashima Antlers,Shonan Bellmare,1,0,1,0-0,2019_jp1.txt
14.00,FC Tokyo,Sagan Tosu,2,0,1,0-0,2019_jp1.txt
,Vegalta Sendai,Vissel Kobe,1,3,2,1-1,2019_jp1.txt
,Yokohama F. Marinos,Kawasaki Frontale,2,2,X,1-1,2019_jp1.txt
13.00,Sagan Tosu,Júbilo Iwata,1,0,1,0-0,2019_jp1.txt
13.30,FC Tokyo,Nagoya Grampus,1,0,1,0-0,2019_jp1.txt
14.00,Hokkaido Consadole Sapporo,Kashima Antlers,1,3,2,0-2,2019_jp1.txt
,Vissel Kobe,Shimizu S-Pulse,1,1,X,0-0,2019_jp1.txt
15.00,Cerezo Osaka,Urawa Red Diamonds,1,2,2,0-0,2019_jp1.txt
,Kawasaki Frontale,Gamba Osaka,0,1,2,0-0,2019_jp1.txt
,Sanfrecce Hiroshima,Matsumoto Yamaga,1,0,1,0-0,2019_jp1.txt
16.00,Oita Trinita,Yokohama F. Marinos,2,0,1,0-0,2019_jp1.txt
17.00,Shonan Bellmare,Vegalta Sendai,2,1,1,1-0,2019_jp1.txt
19.30,Yokohama F. Marinos,Sagan Tosu,0,0,X,,2019_jp1.txt
14.00,Nagoya Grampus,Hokkaido Consadole Sapporo,4,0,1,3-0,2019_jp1.txt
,Urawa Red Diamonds,FC Tokyo,1,1,X,0-0,2019_jp1.txt
,Vegalta Sendai,Cerezo Osaka,0,2,2,0-1,2019_jp1.txt
15.00,Júbilo Iwata,Kashima Antlers,1,1,X,0-0,2019_jp1.txt
17.00,Gamba Osaka,Vissel Kobe,3,4,2,2-1,2019_jp1.txt
19.00,Oita Trinita,Sanfrecce Hiroshima,0,1,2,0-0,2019_jp1.txt
14.00,Matsumoto Yamaga,Kawasaki Frontale,0,2,2,0-1,2019_jp1.txt
,Shimizu S-Pulse,Shonan Bellmare,1,3,2,1-2,2019_jp1.txt
19.00,Kashima Antlers,Nagoya Grampus,2,1,1,0-0,2019_jp1.txt
,Kawasaki Frontale,Cerezo Osaka,1,1,X,0-1,2019_jp1.txt
19.30,Urawa Red Diamonds,Yokohama F. Marinos,0,3,2,0-1,2019_jp1.txt
13.00,Hokkaido Consadole Sapporo,Oita Trinita,1,2,2,0-2,2019_jp1.txt
14.00,FC Tokyo,Shimizu S-Pulse,2,1,1,0-0,2019_jp1.txt
,Sanfrecce Hiroshima,Gamba Osaka,3,0,1,2-0,2019_jp1.txt
,Vegalta Sendai,Sagan Tosu,3,0,1,1-0,2019_jp1.txt
16.00,Shonan Bellmare,Júbilo Iwata,0,2,2,0-0,2019_jp1.txt
19.00,Matsumoto Yamaga,Vissel Kobe,2,1,1,2-0,2019_jp1.txt
15.00,Cerezo Osaka,Hokkaido Consadole Sapporo,0,1,2,0-0,2019_jp1.txt
19.00,Yokohama F. Marinos,Nagoya Grampus,1,1,X,1-1,2019_jp1.txt
14.00,FC Tokyo,Kashima Antlers,3,1,1,3-0,2019_jp1.txt
,Sagan Tosu,Kawasaki Frontale,0,1,2,0-0,2019_jp1.txt
15.00,Júbilo Iwata,Shimizu S-Pulse,1,2,2,0-1,2019_jp1.txt
16.00,Gamba Osaka,Urawa Red Diamonds,0,1,2,0-0,2019_jp1.txt
,Oita Trinita,Vegalta Sendai,2,0,1,0-0,2019_jp1.txt
,Vissel Kobe,Sanfrecce Hiroshima,2,4,2,2-1,2019_jp1.txt
17.00,Shonan Bellmare,Matsumoto Yamaga,1,1,X,0-0,2019_jp1.txt
19.00,Kawasaki Frontale,Shonan Bellmare,2,0,1,2-0,2019_jp1.txt
,Sanfrecce Hiroshima,FC Tokyo,0,1,2,0-0,2019_jp1.txt
13.00,Hokkaido Consadole Sapporo,Yokohama F. Marinos,3,0,1,3-0,2019_jp1.txt
,Urawa Red Diamonds,Vissel Kobe,1,0,1,1-0,2019_jp1.txt
14.00,Matsumoto Yamaga,Sagan Tosu,1,0,1,1-0,2019_jp1.txt
,Nagoya Grampus,Júbilo Iwata,1,0,1,0-0,2019_jp1.txt
15.00,Kashima Antlers,Vegalta Sendai,1,0,1,0-0,2019_jp1.txt
,Shimizu S-Pulse,Cerezo Osaka,1,0,1,0-0,2019_jp1.txt
16.00,Gamba Osaka,Oita Trinita,1,1,X,0-1,2019_jp1.txt
14.00,Cerezo Osaka,Oita Trinita,0,0,X,,2019_jp1.txt
13.00,Vegalta Sendai,Gamba Osaka,2,1,1,1-1,2019_jp1.txt
,Yokohama F. Marinos,Kashima Antlers,2,1,1,0-1,2019_jp1.txt
14.00,FC Tokyo,Matsumoto Yamaga,2,0,1,1-0,2019_jp1.txt
,Sagan Tosu,Shonan Bellmare,0,2,2,0-0,2019_jp1.txt
,Vissel Kobe,Kawasaki Frontale,1,2,2,0-2,2019_jp1.txt
15.00,Júbilo Iwata,Hokkaido Consadole Sapporo,1,2,2,0-2,2019_jp1.txt
,Nagoya Grampus,Sanfrecce Hiroshima,1,0,1,1-0,2019_jp1.txt
16.00,Shimizu S-Pulse,Urawa Red Diamonds,0,2,2,0-0,2019_jp1.txt
14.00,Sanfrecce Hiroshima,Yokohama F. Marinos,0,1,2,0-1,2019_jp1.txt
,Urawa Red Diamonds,Júbilo Iwata,0,1,2,0-0,2019_jp1.txt
15.00,Kashima Antlers,Shimizu S-Pulse,3,0,1,1-0,2019_jp1.txt
,Kawasaki Frontale,Vegalta Sendai,3,1,1,2-0,2019_jp1.txt
14.00,Hokkaido Consadole Sapporo,Vissel Kobe,2,1,1,0-0,2019_jp1.txt
,Matsumoto Yamaga,Cerezo Osaka,0,2,2,0-1,2019_jp1.txt
16.00,Gamba Osaka,FC Tokyo,0,0,X,,2019_jp1.txt
,Oita Trinita,Sagan Tosu,2,0,1,0-0,2019_jp1.txt
,Shonan Bellmare,Nagoya Grampus,1,1,X,1-0,2019_jp1.txt
14.00,Sagan Tosu,Gamba Osaka,3,1,1,1-0,2019_jp1.txt
15.00,Cerezo Osaka,Yokohama F. Marinos,3,0,1,1-0,2019_jp1.txt
13.00,Matsumoto Yamaga,Hokkaido Consadole Sapporo,0,0,X,,2019_jp1.txt
13.05,Vegalta Sendai,Sanfrecce Hiroshima,2,1,1,0-1,2019_jp1.txt
14.00,FC Tokyo,Júbilo Iwata,1,0,1,0-0,2019_jp1.txt
,Shimizu S-Pulse,Kawasaki Frontale,0,4,2,0-2,2019_jp1.txt
,Vissel Kobe,Kashima Antlers,0,1,2,0-1,2019_jp1.txt
15.00,Nagoya Grampus,Urawa Red Diamonds,2,0,1,2-0,2019_jp1.txt
16.00,Shonan Bellmare,Oita Trinita,0,1,2,0-0,2019_jp1.txt
19.00,Kawasaki Frontale,Nagoya Grampus,1,1,X,0-1,2019_jp1.txt
,Sanfrecce Hiroshima,Sagan Tosu,0,1,2,0-0,2019_jp1.txt
19.30,Urawa Red Diamonds,Shonan Bellmare,2,3,2,2-0,2019_jp1.txt
14.00,FC Tokyo,Hokkaido Consadole Sapporo,2,0,1,0-0,2019_jp1.txt
,Júbilo Iwata,Vegalta Sendai,2,0,1,2-0,2019_jp1.txt
,Yokohama F. Marinos,Vissel Kobe,4,1,1,1-0,2019_jp1.txt
15.00,Kashima Antlers,Matsumoto Yamaga,5,0,1,1-0,2019_jp1.txt
16.00,Oita Trinita,Shimizu S-Pulse,1,1,X,0-1,2019_jp1.txt
19.00,Gamba Osaka,Cerezo Osaka,1,0,1,0-0,2019_jp1.txt
14.00,Hokkaido Consadole Sapporo,Gamba Osaka,0,0,X,,2019_jp1.txt
,Shimizu S-Pulse,Vegalta Sendai,4,3,1,3-2,2019_jp1.txt
15.00,Cerezo Osaka,FC Tokyo,1,0,1,0-0,2019_jp1.txt
13.00,Yokohama F. Marinos,Júbilo Iwata,4,0,1,1-0,2019_jp1.txt
14.00,Sagan Tosu,Kashima Antlers,1,0,1,0-0,2019_jp1.txt
,Urawa Red Diamonds,Sanfrecce Hiroshima,0,4,2,0-2,2019_jp1.txt
15.00,Nagoya Grampus,Matsumoto Yamaga,0,1,2,0-1,2019_jp1.txt
