time,home_team,away_team,home_score,away_score,result,ht_score,source_file
14.00,FK Ordabasy,Kaspiy Aktau,3,1,1,1-0,2023_kz1.txt
16.00,Zhetysu Taldykorgan,FK Aktobe,0,1,2,0-0,2023_kz1.txt
18.00,Tobyl Kostanay,FK Aksu,3,1,1,1-0,2023_kz1.txt
20.00,FK Astana,Shakter Karaganda,2,1,1,2-1,2023_kz1.txt
15.00,FK Makhtaaral,FK Okzhetpes,0,1,2,0-1,2023_kz1.txt
17.00,FK Kairat,FK Atyrau,2,2,X,2-1,2023_kz1.txt
19.00,Kaysar Kyzylorda,FK Kyzylzhar,0,1,2,0-1,2023_kz1.txt
14.00,Shakter Karaganda,FK Ordabasy,1,4,2,0-1,2023_kz1.txt
,Zhetysu Taldykorgan,FK Astana,0,2,2,0-0,2023_kz1.txt
16.00,FK Aktobe,FK Okzhetpes,5,1,1,3-1,2023_kz1.txt
18.00,FK Aksu,FK Kairat,1,3,2,0-1,2023_kz1.txt
14.00,Kaspiy Aktau,Tobyl Kostanay,0,1,2,0-0,2023_kz1.txt
16.00,FK Atyrau,Kaysar Kyzylorda,2,1,1,2-1,2023_kz1.txt
18.00,FK Kyzylzhar,FK Makhtaaral,1,0,1,1-0,2023_kz1.txt
19.00,FK Ordabasy,Zhetysu Taldykorgan,2,0,1,2-0,2023_kz1.txt
,Tobyl Kostanay,Shakter Karaganda,2,1,1,1-0,2023_kz1.txt
,FK Kairat,Kaspiy Aktau,3,1,1,2-1,2023_kz1.txt
21.00,FK Astana,FK Aktobe,1,4,2,0-2,2023_kz1.txt
,Kaysar Kyzylorda,FK Aksu,2,2,X,2-2,2023_kz1.txt
15.00,FK Makhtaaral,FK Atyrau,0,1,2,0-1,2023_kz1.txt
17.00,FK Okzhetpes,FK Kyzylzhar,0,1,2,0-1,2023_kz1.txt
14.00,Kaspiy Aktau,Kaysar Kyzylorda,1,3,2,0-2,2023_kz1.txt
16.00,Shakter Karaganda,FK Kairat,1,1,X,0-0,2023_kz1.txt
18.00,FK Aksu,FK Makhtaaral,2,1,1,0-1,2023_kz1.txt
15.00,Zhetysu Taldykorgan,Tobyl Kostanay,1,1,X,1-1,2023_kz1.txt
17.00,FK Aktobe,FK Kyzylzhar,1,3,2,0-1,2023_kz1.txt
,FK Atyrau,FK Okzhetpes,0,4,2,0-1,2023_kz1.txt
19.00,FK Astana,FK Ordabasy,2,0,1,0-0,2023_kz1.txt
14.00,FK Okzhetpes,FK Aksu,3,0,1,1-0,2023_kz1.txt
16.00,FK Kyzylzhar,FK Atyrau,1,0,1,0-0,2023_kz1.txt
,FK Makhtaaral,Kaspiy Aktau,3,1,1,1-1,2023_kz1.txt
20.00,Kaysar Kyzylorda,Shakter Karaganda,2,1,1,2-1,2023_kz1.txt
17.00,FK Kairat,Zhetysu Taldykorgan,2,3,2,1-0,2023_kz1.txt
19.00,Tobyl Kostanay,FK Astana,0,1,2,0-0,2023_kz1.txt
21.00,FK Ordabasy,FK Aktobe,1,1,X,0-0,2023_kz1.txt
15.00,Kaspiy Aktau,FK Okzhetpes,2,1,1,2-0,2023_kz1.txt
17.00,Shakter Karaganda,FK Makhtaaral,3,0,1,3-0,2023_kz1.txt
,Zhetysu Taldykorgan,Kaysar Kyzylorda,0,2,2,0-1,2023_kz1.txt
15.00,FK Aksu,FK Kyzylzhar,0,2,2,0-0,2023_kz1.txt
17.00,FK Aktobe,FK Atyrau,4,0,1,1-0,2023_kz1.txt
19.00,FK Astana,FK Kairat,0,3,2,0-1,2023_kz1.txt
21.00,FK Ordabasy,Tobyl Kostanay,4,1,1,1-1,2023_kz1.txt
15.00,FK Kyzylzhar,Kaspiy Aktau,1,1,X,1-1,2023_kz1.txt
17.00,FK Makhtaaral,Zhetysu Taldykorgan,1,2,2,0-2,2023_kz1.txt
14.00,FK Okzhetpes,Shakter Karaganda,1,1,X,0-0,2023_kz1.txt
16.00,FK Atyrau,FK Aksu,2,1,1,0-0,2023_kz1.txt
,Tobyl Kostanay,FK Aktobe,2,2,X,0-1,2023_kz1.txt
18.00,FK Kairat,FK Ordabasy,2,2,X,1-0,2023_kz1.txt
20.00,Kaysar Kyzylorda,FK Astana,1,2,2,0-0,2023_kz1.txt
17.00,FK Aktobe,FK Aksu,2,1,1,1-0,2023_kz1.txt
,Tobyl Kostanay,FK Kairat,2,3,2,1-0,2023_kz1.txt
19.00,FK Astana,FK Makhtaaral,2,0,1,2-0,2023_kz1.txt
21.00,FK Ordabasy,Kaysar Kyzylorda,4,0,1,1-0,2023_kz1.txt
15.00,Zhetysu Taldykorgan,FK Okzhetpes,1,0,1,0-0,2023_kz1.txt
17.00,Kaspiy Aktau,FK Atyrau,1,1,X,0-0,2023_kz1.txt
19.00,Shakter Karaganda,FK Kyzylzhar,1,0,1,0-0,2023_kz1.txt
15.00,FK Aksu,Kaspiy Aktau,0,1,2,0-1,2023_kz1.txt
17.00,FK Kyzylzhar,Zhetysu Taldykorgan,1,0,1,0-0,2023_kz1.txt
19.00,FK Atyrau,Shakter Karaganda,2,1,1,1-1,2023_kz1.txt
21.00,FK Makhtaaral,FK Ordabasy,1,2,2,0-1,2023_kz1.txt
15.00,FK Okzhetpes,FK Astana,0,0,X,,2023_kz1.txt
17.00,FK Kairat,FK Aktobe,2,1,1,0-0,2023_kz1.txt
19.00,Kaysar Kyzylorda,Tobyl Kostanay,1,0,1,0-0,2023_kz1.txt
17.00,Shakter Karaganda,FK Aksu,2,1,1,1-1,2023_kz1.txt
,Zhetysu Taldykorgan,FK Atyrau,0,3,2,0-2,2023_kz1.txt
19.00,FK Astana,FK Kyzylzhar,3,2,1,2-1,2023_kz1.txt
16.00,Tobyl Kostanay,FK Makhtaaral,1,0,1,0-0,2023_kz1.txt
18.00,FK Kairat,Kaysar Kyzylorda,0,3,2,0-3,2023_kz1.txt
20.00,FK Aktobe,Kaspiy Aktau,0,0,X,,2023_kz1.txt
21.00,FK Ordabasy,FK Okzhetpes,1,0,1,1-0,2023_kz1.txt
15.00,FK Aksu,Zhetysu Taldykorgan,2,1,1,1-0,2023_kz1.txt
17.00,Kaspiy Aktau,Shakter Karaganda,1,1,X,0-0,2023_kz1.txt
18.00,FK Makhtaaral,FK Kairat,3,1,1,2-0,2023_kz1.txt
14.00,FK Okzhetpes,Tobyl Kostanay,1,2,2,1-1,2023_kz1.txt
16.00,FK Kyzylzhar,FK Ordabasy,0,1,2,0-0,2023_kz1.txt
18.00,FK Atyrau,FK Astana,0,0,X,,2023_kz1.txt
20.00,Kaysar Kyzylorda,FK Aktobe,0,1,2,0-0,2023_kz1.txt
19.00,FK Kairat,FK Okzhetpes,2,1,1,1-0,2023_kz1.txt
20.00,FK Astana,FK Aksu,1,0,1,1-0,2023_kz1.txt
,Tobyl Kostanay,FK Kyzylzhar,1,0,1,0-0,2023_kz1.txt
21.00,FK Aktobe,Shakter Karaganda,2,0,1,1-0,2023_kz1.txt
,FK Ordabasy,FK Atyrau,2,1,1,2-0,2023_kz1.txt
18.00,Zhetysu Taldykorgan,Kaspiy Aktau,3,2,1,1-2,2023_kz1.txt
20.00,Kaysar Kyzylorda,FK Makhtaaral,0,2,2,0-1,2023_kz1.txt
19.00,FK Atyrau,Tobyl Kostanay,3,0,1,1-0,2023_kz1.txt
20.00,Shakter Karaganda,Zhetysu Taldykorgan,0,1,2,0-1,2023_kz1.txt
21.00,FK Aksu,FK Ordabasy,0,1,2,0-0,2023_kz1.txt
18.00,FK Okzhetpes,Kaysar Kyzylorda,0,1,2,0-0,2023_kz1.txt
20.00,FK Aktobe,FK Makhtaaral,1,1,X,1-0,2023_kz1.txt
17.00,FK Kyzylzhar,FK Kairat,2,1,1,2-0,2023_kz1.txt
19.00,Kaspiy Aktau,FK Astana,1,2,2,0-1,2023_kz1.txt
18.00,FK Astana,Kaspiy Aktau,3,1,1,2-0,2023_kz1.txt
,FK Kairat,FK Kyzylzhar,3,0,1,1-0,2023_kz1.txt
18.00,FK Makhtaaral,FK Aktobe,1,2,2,1-1,2023_kz1.txt
,Zhetysu Taldykorgan,Shakter Karaganda,1,3,2,0-2,2023_kz1.txt
21.00,Kaysar Kyzylorda,FK Okzhetpes,0,1,2,0-1,2023_kz1.txt
20.00,Tobyl Kostanay,FK Atyrau,1,0,1,0-0,2023_kz1.txt
21.00,FK Ordabasy,FK Aksu,2,0,1,1-0,2023_kz1.txt
20.00,FK Aksu,FK Astana,0,1,2,0-0,2023_kz1.txt
17.00,FK Okzhetpes,FK Kairat,0,1,2,0-1,2023_kz1.txt
19.00,FK Makhtaaral,Kaysar Kyzylorda,2,2,X,1-1,2023_kz1.txt
,Shakter Karaganda,FK Aktobe,0,1,2,0-0,2023_kz1.txt
20.00,FK Atyrau,FK Ordabasy,1,1,X,1-0,2023_kz1.txt
20.00,Kaspiy Aktau,Zhetysu Taldykorgan,1,2,2,1-0,2023_kz1.txt
15.00,FK Kyzylzhar,Tobyl Kostanay,1,1,X,0-1,2023_kz1.txt
18.00,Zhetysu Taldykorgan,FK Aksu,1,1,X,1-1,2023_kz1.txt
19.00,FK Astana,FK Atyrau,0,0,X,,2023_kz1.txt
20.00,FK Aktobe,Kaysar Kyzylorda,1,0,1,1-0,2023_kz1.txt
21.00,FK Ordabasy,FK Kyzylzhar,2,1,1,0-1,2023_kz1.txt
18.00,Shakter Karaganda,Kaspiy Aktau,1,0,1,1-0,2023_kz1.txt
19.00,FK Kairat,FK Makhtaaral,2,2,X,2-2,2023_kz1.txt
21.00,Tobyl Kostanay,FK Okzhetpes,2,0,1,1-0,2023_kz1.txt
20.00,FK Okzhetpes,FK Ordabasy,0,4,2,0-2,2023_kz1.txt
19.00,FK Kyzylzhar,FK Astana,1,0,1,0-0,2023_kz1.txt
21.00,FK Aksu,Shakter Karaganda,2,1,1,1-0,2023_kz1.txt
,Kaysar Kyzylorda,FK Kairat,0,0,X,,2023_kz1.txt
19.00,Kaspiy Aktau,FK Aktobe,2,2,X,2-1,2023_kz1.txt
20.00,FK Atyrau,Zhetysu Taldykorgan,0,1,2,0-0,2023_kz1.txt
16.00,FK Makhtaaral,Tobyl Kostanay,1,1,X,0-1,2023_kz1.txt
18.00,Zhetysu Taldykorgan,FK Kyzylzhar,1,1,X,1-1,2023_kz1.txt
19.00,Kaspiy Aktau,FK Aksu,3,1,1,2-0,2023_kz1.txt
21.00,Shakter Karaganda,FK Atyrau,2,2,X,2-1,2023_kz1.txt
19.45,Tobyl Kostanay,Kaysar Kyzylorda,0,2,2,0-1,2023_kz1.txt
21.00,FK Aktobe,FK Kairat,4,2,1,2-2,2023_kz1.txt
19.00,FK Astana,FK Okzhetpes,5,2,1,3-0,2023_kz1.txt
20.00,FK Ordabasy,FK Makhtaaral,1,0,1,0-0,2023_kz1.txt
18.00,FK Makhtaaral,FK Astana,0,1,2,0-1,2023_kz1.txt
17.00,FK Okzhetpes,Zhetysu Taldykorgan,2,1,1,1-0,2023_kz1.txt
19.00,FK Atyrau,Kaspiy Aktau,1,0,1,1-0,2023_kz1.txt
17.00,FK Kyzylzhar,Shakter Karaganda,1,1,X,1-1,2023_kz1.txt
19.00,FK Kairat,Tobyl Kostanay,3,0,1,,2023_kz1.txt
21.00,FK Aksu,FK Aktobe,1,1,X,0-1,2023_kz1.txt
,Kaysar Kyzylorda,FK Ordabasy,2,3,2,0-2,2023_kz1.txt
17.00,Shakter Karaganda,FK Okzhetpes,2,0,1,0-0,2023_kz1.txt
19.00,Kaspiy Aktau,FK Kyzylzhar,1,2,2,0-0,2023_kz1.txt
21.00,FK Aksu,FK Atyrau,4,1,1,1-1,2023_kz1.txt
17.00,Zhetysu Taldykorgan,FK Makhtaaral,0,1,2,0-0,2023_kz1.txt
19.00,FK Astana,Kaysar Kyzylorda,1,1,X,0-0,2023_kz1.txt
20.00,FK Aktobe,Tobyl Kostanay,1,1,X,0-1,2023_kz1.txt
21.00,FK Ordabasy,FK Kairat,1,0,1,0-0,2023_kz1.txt
17.00,FK Okzhetpes,Kaspiy Aktau,3,3,X,2-1,2023_kz1.txt
18.00,FK Makhtaaral,Shakter Karaganda,3,1,1,3-1,2023_kz1.txt
21.00,Kaysar Kyzylorda,Zhetysu Taldykorgan,1,1,X,1-0,2023_kz1.txt
17.00,FK Kyzylzhar,FK Aksu,1,0,1,1-0,2023_kz1.txt
19.00,FK Atyrau,FK Aktobe,0,0,X,,2023_kz1.txt
,FK Kairat,FK Astana,1,0,1,0-0,2023_kz1.txt
21.00,Tobyl Kostanay,FK Ordabasy,0,0,X,,2023_kz1.txt
15.00,FK Aksu,FK Okzhetpes,0,1,2,0-1,2023_kz1.txt
17.00,Kaspiy Aktau,FK Makhtaaral,0,2,2,0-1,2023_kz1.txt
18.00,FK Atyrau,FK Kyzylzhar,0,0,X,,2023_kz1.txt
19.00,FK Astana,Tobyl Kostanay,2,1,1,1-0,2023_kz1.txt
21.00,FK Aktobe,FK Ordabasy,2,1,1,0-1,2023_kz1.txt
16.00,Zhetysu Taldykorgan,FK Kairat,1,2,2,1-1,2023_kz1.txt
18.00,Shakter Karaganda,Kaysar Kyzylorda,2,2,X,0-0,2023_kz1.txt
15.00,FK Kyzylzhar,FK Aktobe,0,0,X,,2023_kz1.txt
17.00,FK Makhtaaral,FK Aksu,2,0,1,1-0,2023_kz1.txt
19.00,FK Kairat,Shakter Karaganda,0,0,X,,2023_kz1.txt
20.00,Kaysar Kyzylorda,Kaspiy Aktau,3,1,1,0-1,2023_kz1.txt
15.00,FK Okzhetpes,FK Atyrau,0,0,X,,2023_kz1.txt
18.00,Tobyl Kostanay,Zhetysu Taldykorgan,1,2,2,1-1,2023_kz1.txt
19.00,FK Ordabasy,FK Astana,1,2,2,0-1,2023_kz1.txt
17.00,Shakter Karaganda,Tobyl Kostanay,2,1,1,0-1,2023_kz1.txt
19.00,FK Aktobe,FK Astana,2,0,1,1-0,2023_kz1.txt
15.00,FK Aksu,Kaysar Kyzylorda,2,0,1,1-0,2023_kz1.txt
,FK Kyzylzhar,FK Okzhetpes,1,2,2,0-2,2023_kz1.txt
16.00,Zhetysu Taldykorgan,FK Ordabasy,1,2,2,0-0,2023_kz1.txt
17.00,FK Atyrau,FK Makhtaaral,2,0,1,2-0,2023_kz1.txt
,Kaspiy Aktau,FK Kairat,1,1,X,1-0,2023_kz1.txt
16.00,FK Makhtaaral,FK Kyzylzhar,2,1,1,1-0,2023_kz1.txt
18.00,FK Kairat,FK Aksu,4,1,1,2-0,2023_kz1.txt
,Tobyl Kostanay,Kaspiy Aktau,1,1,X,1-0,2023_kz1.txt
20.00,FK Astana,Zhetysu Taldykorgan,2,1,1,1-0,2023_kz1.txt
14.00,FK Okzhetpes,FK Aktobe,1,1,X,1-0,2023_kz1.txt
17.00,Kaysar Kyzylorda,FK Atyrau,1,0,1,0-0,2023_kz1.txt
19.00,FK Ordabasy,Shakter Karaganda,3,1,1,3-0,2023_kz1.txt
15.00,FK Aksu,Tobyl Kostanay,0,3,2,0-0,2023_kz1.txt
,FK Atyrau,FK Kairat,0,0,X,,2023_kz1.txt
,FK Kyzylzhar,Kaysar Kyzylorda,0,1,2,0-0,2023_kz1.txt
17.00,FK Aktobe,Zhetysu Taldykorgan,2,2,X,1-2,2023_kz1.txt
,Kaspiy Aktau,FK Ordabasy,1,0,1,0-0,2023_kz1.txt
,FK Okzhetpes,FK Makhtaaral,1,1,X,0-1,2023_kz1.txt
,Shakter Karaganda,FK Astana,1,1,X,0-1,2023_kz1.txt
14.30,FK Astana,FK Zhenis,2,0,1,1-0,2024_kz1.txt
17.00,Kaysar Kyzylorda,FK Aktobe,1,3,2,0-1,2024_kz1.txt
14.00,FK Kairat,FK Kyzylzhar,2,1,1,1-0,2024_kz1.txt
,FK Yelimay,FK Atyrau,0,0,X,,2024_kz1.txt
16.30,FK Ordabasy,Shakter Karaganda,5,0,1,3-0,2024_kz1.txt
19.00,Tobyl Kostanay,FK Turan,2,0,1,1-0,2024_kz1.txt
17.00,Zhetysu Taldykorgan,FK Astana,0,2,2,0-0,2024_kz1.txt
14.30,Kaysar Kyzylorda,FK Kyzylzhar,0,3,2,0-1,2024_kz1.txt
17.00,FK Atyrau,FK Ordabasy,1,1,X,0-0,2024_kz1.txt
19.30,Tobyl Kostanay,FK Yelimay,4,2,1,2-1,2024_kz1.txt
14.30,FK Zhenis,Shakter Karaganda,1,0,1,1-0,2024_kz1.txt
17.00,FK Turan,FK Kairat,0,0,X,,2024_kz1.txt
14.00,Shakter Karaganda,FK Turan,0,2,2,0-2,2024_kz1.txt
16.30,FK Atyrau,Zhetysu Taldykorgan,0,1,2,0-0,2024_kz1.txt
14.00,FK Aktobe,FK Zhenis,3,0,1,2-0,2024_kz1.txt
,FK Kyzylzhar,Tobyl Kostanay,0,0,X,,2024_kz1.txt
16.30,FK Astana,FK Yelimay,0,1,2,0-0,2024_kz1.txt
19.00,FK Ordabasy,FK Kairat,1,2,2,0-1,2024_kz1.txt
14.00,FK Kyzylzhar,FK Zhenis,4,0,1,1-0,2024_kz1.txt
16.30,FK Yelimay,Kaysar Kyzylorda,1,0,1,0-0,2024_kz1.txt
19.00,FK Kairat,Zhetysu Taldykorgan,0,0,X,,2024_kz1.txt
14.00,FK Aktobe,FK Atyrau,1,1,X,1-0,2024_kz1.txt
16.30,Shakter Karaganda,FK Astana,1,0,1,1-0,2024_kz1.txt
19.00,FK Turan,FK Ordabasy,0,1,2,0-1,2024_kz1.txt
14.00,Kaysar Kyzylorda,FK Atyrau,1,1,X,0-0,2024_kz1.txt
,FK Zhenis,FK Turan,1,0,1,1-0,2024_kz1.txt
16.30,FK Ordabasy,FK Kyzylzhar,1,1,X,0-1,2024_kz1.txt
19.00,FK Kairat,FK Aktobe,1,3,2,0-1,2024_kz1.txt
16.30,FK Astana,Tobyl Kostanay,2,2,X,1-1,2024_kz1.txt
19.00,Zhetysu Taldykorgan,Shakter Karaganda,1,0,1,1-0,2024_kz1.txt
14.00,Tobyl Kostanay,FK Zhenis,1,1,X,1-0,2024_kz1.txt
16.30,FK Atyrau,FK Kyzylzhar,2,0,1,0-0,2024_kz1.txt
,FK Turan,FK Astana,0,2,2,0-2,2024_kz1.txt
19.00,Kaysar Kyzylorda,FK Kairat,1,0,1,0-0,2024_kz1.txt
14.00,FK Yelimay,FK Ordabasy,1,1,X,1-1,2024_kz1.txt
