home_team,away_team,home_score,away_score,result,city,country,source_file
Japan,Thailand,3,0,1,Nagoya,Japan,1978_kirin_cup.txt
Japan,Indonesia,4,0,1,Tokyo,Japan,1979_kirin_cup.txt
Japan,China PR,0,0,X,Saitama,Japan,1981_kirin_cup.txt
Japan,Singapore,2,0,1,Hiroshima,Japan,1982_kirin_cup.txt
Japan,Syria,1,0,1,Tokyo,Japan,1983_kirin_cup.txt
Japan,China PR,1,0,1,Saitama,Japan,1984_kirin_cup.txt
China PR,Republic of Ireland,0,1,2,Sapporo,Japan,1984_kirin_cup.txt
Japan,Uruguay,1,4,2,Tokyo,Japan,1985_kirin_cup.txt
Japan,Algeria,2,1,1,Matsuyama,Japan,1986_kirin_cup.txt
Japan,Senegal,2,2,X,Hiroshima,Japan,1987_kirin_cup.txt
Japan,China PR,0,3,2,Nagoya,Japan,1988_kirin_cup.txt
Japan,Thailand,1,0,1,Tendo,Japan,1991_kirin_cup.txt
Japan,Argentina,0,1,2,Tokyo,Japan,1992_kirin_cup.txt
Argentina,Wales,1,0,1,Gifu,Japan,1992_kirin_cup.txt
Japan,Wales,0,1,2,Matsuyama,Japan,1992_kirin_cup.txt
Japan,Hungary,0,1,2,Fukuoka,Japan,1993_kirin_cup.txt
Hungary,United States,0,0,X,Nagoya,Japan,1993_kirin_cup.txt
Japan,United States,3,1,1,Tokyo,Japan,1993_kirin_cup.txt
Japan,Australia,1,1,X,Hiroshima,Japan,1994_kirin_cup.txt
Australia,France,0,1,2,Kobe,Japan,1994_kirin_cup.txt
Japan,France,1,4,2,Tokyo,Japan,1994_kirin_cup.txt
Japan,Scotland,0,0,X,Hiroshima,Japan,1995_kirin_cup.txt
Ecuador,Scotland,1,2,2,Toyama,Japan,1995_kirin_cup.txt
Japan,Ecuador,3,0,1,Tokyo,Japan,1995_kirin_cup.txt
Mexico,Serbia,0,0,X,Shizuoka,Japan,1996_kirin_cup.txt
Japan,Serbia,1,0,1,Tokyo,Japan,1996_kirin_cup.txt
Japan,Mexico,3,2,1,Fukuoka,Japan,1996_kirin_cup.txt
Japan,Croatia,4,3,1,Tokyo,Japan,1997_kirin_cup.txt
Croatia,Turkey,1,1,X,Sendai,Japan,1997_kirin_cup.txt
Japan,Turkey,1,0,1,Osaka,Japan,1997_kirin_cup.txt
Japan,Paraguay,1,1,X,Tokyo,Japan,1998_kirin_cup.txt
Czech Republic,Paraguay,1,0,1,Kobe,Japan,1998_kirin_cup.txt
Japan,Czech Republic,0,0,X,Yokohama,Japan,1998_kirin_cup.txt
Belgium,Peru,1,1,X,Kyoto,Japan,1999_kirin_cup.txt
