time,home_team,away_team,home_score,away_score,result,ht_score,source_file
17.00,KF Dukagjini,KF Malisheva,0,1,2,0-0,2023-24_kos1.txt
,FC Prishtina,KF Feronikeli,3,1,1,1-0,2023-24_kos1.txt
17.00,KF Liria,KF Ballkani,0,1,2,0-0,2023-24_kos1.txt
,Drita Gjilan,KF Llapi,2,0,1,0-0,2023-24_kos1.txt
15.00,KF Fushë Kosova,KF Gjilani,2,0,1,1-0,2023-24_kos1.txt
17.00,KF Liria,Drita Gjilan,0,0,X,,2023-24_kos1.txt
,KF Malisheva,KF Fushë Kosova,6,1,1,1-1,2023-24_kos1.txt
17.00,KF Ballkani,KF Feronikeli,2,0,1,1-0,2023-24_kos1.txt
,KF Llapi,KF Dukagjini,3,0,1,0-0,2023-24_kos1.txt
17.00,KF Gjilani,FC Prishtina,0,0,X,,2023-24_kos1.txt
16.00,FC Prishtina,KF Malisheva,3,1,1,2-0,2023-24_kos1.txt
,KF Feronikeli,KF Gjilani,1,0,1,0-0,2023-24_kos1.txt
16.00,KF Fushë Kosova,KF Llapi,1,2,2,1-0,2023-24_kos1.txt
,KF Dukagjini,KF Liria,0,0,X,,2023-24_kos1.txt
13.00,Drita Gjilan,KF Ballkani,2,1,1,2-1,2023-24_kos1.txt
16.00,KF Liria,KF Fushë Kosova,2,1,1,1-0,2023-24_kos1.txt
,KF Malisheva,KF Feronikeli,4,1,1,1-1,2023-24_kos1.txt
16.00,KF Ballkani,KF Gjilani,2,1,1,1-0,2023-24_kos1.txt
,Drita Gjilan,KF Dukagjini,2,2,X,2-1,2023-24_kos1.txt
,KF Llapi,FC Prishtina,0,0,X,,2023-24_kos1.txt
15.00,KF Feronikeli,KF Llapi,0,3,2,0-1,2023-24_kos1.txt
,KF Fushë Kosova,Drita Gjilan,1,1,X,0-1,2023-24_kos1.txt
,KF Gjilani,KF Malisheva,1,0,1,0-0,2023-24_kos1.txt
15.00,FC Prishtina,KF Liria,1,1,X,1-0,2023-24_kos1.txt
,KF Dukagjini,KF Ballkani,1,1,X,1-0,2023-24_kos1.txt
15.00,KF Dukagjini,KF Fushë Kosova,1,0,1,0-0,2023-24_kos1.txt
,KF Llapi,KF Gjilani,2,1,1,1-0,2023-24_kos1.txt
15.00,KF Ballkani,KF Malisheva,3,2,1,2-1,2023-24_kos1.txt
,KF Liria,KF Feronikeli,3,5,2,3-0,2023-24_kos1.txt
,Drita Gjilan,FC Prishtina,3,0,1,0-0,2023-24_kos1.txt
15.00,KF Fushë Kosova,KF Ballkani,0,2,2,0-2,2023-24_kos1.txt
,KF Gjilani,KF Liria,1,0,1,0-0,2023-24_kos1.txt
,KF Malisheva,KF Llapi,2,3,2,1-0,2023-24_kos1.txt
15.00,FC Prishtina,KF Dukagjini,2,2,X,2-1,2023-24_kos1.txt
