home_team,away_team,home_score,away_score,result,city,country,source_file
Syria,Palestine,2,0,1,Damascus,Syria,1974_kuneitra_cup.txt
Algeria,Lebanon,4,1,1,Damascus,Syria,1974_kuneitra_cup.txt
Yemen,Sudan,0,6,2,Damascus,Syria,1974_kuneitra_cup.txt
Algeria,Jordan,6,0,1,Damascus,Syria,1974_kuneitra_cup.txt
Libya,Yemen,9,1,1,Damascus,Syria,1974_kuneitra_cup.txt
Palestine,Sudan,1,3,2,Damascus,Syria,1974_kuneitra_cup.txt
Morocco,Tunisia,3,1,1,Damascus,Syria,1974_kuneitra_cup.txt
Libya,Palestine,0,0,X,Damascus,Syria,1974_kuneitra_cup.txt
Algeria,Tunisia,0,1,2,Damascus,Syria,1974_kuneitra_cup.txt
Libya,Sudan,1,3,2,Damascus,Syria,1974_kuneitra_cup.txt
Syria,Yemen,6,0,1,Damascus,Syria,1974_kuneitra_cup.txt
Palestine,Yemen,7,1,1,Damascus,Syria,1974_kuneitra_cup.txt
Morocco,Sudan,2,0,1,Damascus,Syria,1974_kuneitra_cup.txt
Sudan,Tunisia,1,3,2,Damascus,Syria,1974_kuneitra_cup.txt
Syria,Morocco,1,1,X,Damascus,Syria   [Morocco wins on penalties],1974_kuneitra_cup.txt
