time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.00,FC Hegelmann,DFK Dainava,3,0,1,1-0,2023_lt1.txt
,duva,FC Hegelmann,2,0,1,1-0,2023_lt1.txt
,iugas,DFK Dainava,0,1,2,0-0,2023_lt1.txt
,iauliai,FC Hegelmann,3,1,1,1-0,2023_lt1.txt
19.30,FK Riteriai,DFK Dainava,0,0,X,,2023_lt1.txt
,algiris,FK Riteriai,1,0,1,0-0,2023_lt1.txt
,dai,FC Hegelmann,0,5,2,0-3,2023_lt1.txt
,iugas,FK Riteriai,1,1,X,1-1,2023_lt1.txt
,duva,DFK Dainava,2,0,1,1-0,2023_lt1.txt
13.00,FC Hegelmann,FK Riteriai,0,1,2,0-0,2023_lt1.txt
,ys,DFK Dainava,0,0,X,,2023_lt1.txt
,algiris,FK Riteriai,3,1,1,2-0,2023_lt1.txt
,algiris,FC Hegelmann,1,0,1,0-0,2023_lt1.txt
,iauliai,FK Riteriai,1,1,X,0-0,2023_lt1.txt
15.00,DFK Dainava,FC Hegelmann,1,0,1,0-0,2023_lt1.txt
,ys,FK Riteriai,3,1,1,0-1,2023_lt1.txt
,iugas,FC Hegelmann,2,0,1,1-0,2023_lt1.txt
,dai,DFK Dainava,2,1,1,1-1,2023_lt1.txt
15.00,DFK Dainava,FK Riteriai,5,0,1,1-0,2023_lt1.txt
,algiris,DFK Dainava,1,0,1,1-0,2023_lt1.txt
,iauliai,DFK Dainava,2,0,1,1-0,2023_lt1.txt
19.00,FK Riteriai,FC Hegelmann,0,4,2,0-2,2023_lt1.txt
,dai,FK Riteriai,1,1,X,0-0,2023_lt1.txt
,ys,FC Hegelmann,1,0,1,1-0,2023_lt1.txt
,duva,FK Riteriai,0,0,X,,2023_lt1.txt
,algiris,DFK Dainava,0,0,X,,2023_lt1.txt
,algiris,FC Hegelmann,4,0,1,1-0,2023_lt1.txt
13.00,FC Hegelmann,DFK Dainava,0,0,X,,2023_lt1.txt
,iauliai,FK Riteriai,2,0,1,1-0,2023_lt1.txt
,ys,FK Riteriai,1,0,1,1-0,2023_lt1.txt
