time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.00,Marsaxlokk FC,Naxxar Lions FC,5,1,1,2-0,2023-24_mt1.txt
18.00,Hamrun Spartans,Balzan FC,1,0,1,0-0,2023-24_mt1.txt
,ira United,Hibernians FC,0,4,2,0-2,2023-24_mt1.txt
18.00,Birkirkara FC,Sliema Wanderers,1,0,1,0-0,2023-24_mt1.txt
,ija FC,Floriana FC,0,4,2,0-2,2023-24_mt1.txt
20.00,Valletta FC,Sirens FC,2,0,1,1-0,2023-24_mt1.txt
20.15,Mosta FC,Gudja United,0,0,X,,2023-24_mt1.txt
19.00,Sirens FC,Mosta FC,1,1,X,0-0,2023-24_mt1.txt
18.00,Floriana FC,Birkirkara FC,2,0,1,0-0,2023-24_mt1.txt
20.15,Naxxar Lions FC,Hamrun Spartans,0,4,2,0-2,2023-24_mt1.txt
18.00,Sliema Wanderers,Valletta FC,1,0,1,0-0,2023-24_mt1.txt
20.00,Gudja United,Marsaxlokk FC,1,1,X,1-1,2023-24_mt1.txt
,ija FC,Balzan FC,0,1,2,0-1,2023-24_mt1.txt
19.00,Floriana FC,Hibernians FC,2,0,1,1-0,2023-24_mt1.txt
,ira United,Naxxar Lions FC,1,1,X,0-0,2023-24_mt1.txt
18.00,Hamrun Spartans,Gudja United,3,0,1,2-0,2023-24_mt1.txt
,Marsaxlokk FC,Sirens FC,3,1,1,3-0,2023-24_mt1.txt
19.00,Birkirkara FC,Valletta FC,1,1,X,1-0,2023-24_mt1.txt
20.00,Mosta FC,Sliema Wanderers,0,3,2,0-0,2023-24_mt1.txt
15.00,Hibernians FC,Birkirkara FC,0,1,2,0-0,2023-24_mt1.txt
17.15,Valletta FC,Mosta FC,1,1,X,0-1,2023-24_mt1.txt
11.00,Balzan FC,Floriana FC,0,3,2,0-0,2023-24_mt1.txt
,Sirens FC,Hamrun Spartans,0,4,2,0-2,2023-24_mt1.txt
17.00,Sliema Wanderers,Marsaxlokk FC,0,1,2,0-0,2023-24_mt1.txt
15.00,Birkirkara FC,Mosta FC,0,2,2,0-1,2023-24_mt1.txt
,Floriana FC,Naxxar Lions FC,1,1,X,1-1,2023-24_mt1.txt
,ija FC,Gudja United,0,0,X,,2023-24_mt1.txt
17.15,Hamrun Spartans,Sliema Wanderers,1,1,X,1-0,2023-24_mt1.txt
11.00,Marsaxlokk FC,Valletta FC,0,1,2,0-0,2023-24_mt1.txt
15.00,Hibernians FC,Balzan FC,0,2,2,0-0,2023-24_mt1.txt
,ira United,Sirens FC,1,0,1,0-0,2023-24_mt1.txt
15.00,Valletta FC,Hamrun Spartans,1,2,2,0-2,2023-24_mt1.txt
17.30,Naxxar Lions FC,Hibernians FC,0,0,X,,2023-24_mt1.txt
18.00,Mosta FC,Marsaxlokk FC,3,2,1,2-1,2023-24_mt1.txt
15.00,Balzan FC,Birkirkara FC,0,3,2,0-2,2023-24_mt1.txt
,Gudja United,Floriana FC,1,1,X,0-0,2023-24_mt1.txt
14.00,Birkirkara FC,Marsaxlokk FC,0,2,2,0-1,2023-24_mt1.txt
