time,home_team,away_team,home_score,away_score,result,ht_score,source_file
,ti,Spartanii Sportul,4,0,1,1-0,2023-24_md1.txt
,i,Dacia Buiucani,3,0,1,1-0,2023-24_md1.txt
19.00,FC Zimbru,FC Milsami,0,1,2,0-0,2023-24_md1.txt
20.00,CS Petrocub,FC Sheriff,0,1,2,0-0,2023-24_md1.txt
,ti,FC Zimbru,1,2,2,1-0,2023-24_md1.txt
18.00,Dacia Buiucani,CS Petrocub,0,1,2,0-1,2023-24_md1.txt
,Spartanii Sportul,FC Sheriff,0,2,2,0-1,2023-24_md1.txt
18.00,FC Zimbru,Spartanii Sportul,2,0,1,0-0,2023-24_md1.txt
20.00,CS Petrocub,FC Milsami,2,0,1,0-0,2023-24_md1.txt
20.00,FC Sheriff,Dacia Buiucani,5,0,1,4-0,2023-24_md1.txt
18.00,Spartanii Sportul,Dacia Buiucani,1,4,2,1-2,2023-24_md1.txt
,ti,CS Petrocub,0,1,2,0-0,2023-24_md1.txt
20.00,FC Milsami,FC Sheriff,2,0,1,1-0,2023-24_md1.txt
17.00,Dacia Buiucani,FC Milsami,1,2,2,0-1,2023-24_md1.txt
19.00,CS Petrocub,FC Zimbru,0,2,2,0-0,2023-24_md1.txt
,i,Spartanii Sportul,1,1,X,0-0,2023-24_md1.txt
,ti,Dacia Buiucani,2,2,X,1-0,2023-24_md1.txt
,i,CS Petrocub,0,4,2,0-1,2023-24_md1.txt
16.00,Spartanii Sportul,FC Milsami,1,2,2,1-0,2023-24_md1.txt
19.00,FC Zimbru,FC Sheriff,0,1,2,0-1,2023-24_md1.txt
18.00,CS Petrocub,Spartanii Sportul,3,2,1,2-0,2023-24_md1.txt
16.00,Dacia Buiucani,FC Zimbru,1,3,2,0-1,2023-24_md1.txt
18.00,FC Milsami,FC Zimbru,1,0,1,0-0,2023-24_md1.txt
18.00,FC Sheriff,CS Petrocub,0,0,X,,2023-24_md1.txt
,FC Sheriff,Spartanii Sportul,4,0,1,2-0,2023-24_md1.txt
,i,FC Milsami,3,0,1,0-0,2023-24_md1.txt
17.00,CS Petrocub,Dacia Buiucani,0,0,X,,2023-24_md1.txt
14.00,Spartanii Sportul,FC Zimbru,0,1,2,0-0,2023-24_md1.txt
17.00,FC Milsami,CS Petrocub,1,1,X,1-1,2023-24_md1.txt
14.00,Dacia Buiucani,FC Sheriff,0,4,2,0-1,2023-24_md1.txt
13.00,Dacia Buiucani,Spartanii Sportul,1,1,X,0-1,2023-24_md1.txt
,i,FC Zimbru,0,1,2,0-0,2023-24_md1.txt
17.00,FC Sheriff,FC Milsami,2,1,1,1-0,2023-24_md1.txt
