home_team,away_team,home_score,away_score,result,city,country,source_file
Denmark,Sweden,2,3,2,Copenhagen,Denmark,1924_nordic_championship.txt
Norway,Denmark,1,3,2,Kristiania,Norway,1924_nordic_championship.txt
Sweden,Norway,6,1,1,Solna,Sweden,1924_nordic_championship.txt
Sweden,Denmark,0,2,2,Stockholm,Sweden,1925_nordic_championship.txt
Denmark,Norway,5,1,1,Copenhagen,Denmark,1925_nordic_championship.txt
Norway,Sweden,3,7,2,Oslo,Norway,1925_nordic_championship.txt
Sweden,Norway,3,2,1,Stockholm,Sweden,1926_nordic_championship.txt
Norway,Denmark,2,2,X,Oslo,Norway,1926_nordic_championship.txt
Denmark,Sweden,2,0,1,Copenhagen,Denmark,1926_nordic_championship.txt
Sweden,Denmark,0,0,X,Stockholm,Sweden,1927_nordic_championship.txt
Norway,Sweden,3,5,2,Oslo,Norway,1927_nordic_championship.txt
Denmark,Norway,3,1,1,Copenhagen,Denmark,1927_nordic_championship.txt
Sweden,Norway,6,1,1,Stockholm,Sweden,1928_nordic_championship.txt
Norway,Denmark,2,3,2,Oslo,Norway,1928_nordic_championship.txt
Denmark,Sweden,3,1,1,Copenhagen,Denmark,1928_nordic_championship.txt
Sweden,Finland,3,1,1,Stockholm,Sweden,1929_nordic_championship.txt
Sweden,Denmark,3,2,1,Gothenburg,Sweden,1929_nordic_championship.txt
Norway,Finland,4,0,1,Oslo,Norway,1929_nordic_championship.txt
Denmark,Norway,2,5,2,Copenhagen,Denmark,1929_nordic_championship.txt
Norway,Sweden,2,1,1,Oslo,Norway,1929_nordic_championship.txt
Denmark,Finland,8,0,1,Copenhagen,Denmark,1929_nordic_championship.txt
Norway,Finland,6,2,1,Oslo,Norway,1930_nordic_championship.txt
Finland,Denmark,1,6,2,Helsinki,Finland,1930_nordic_championship.txt
Denmark,Sweden,6,1,1,Copenhagen,Denmark,1930_nordic_championship.txt
Sweden,Norway,6,3,1,Stockholm,Sweden,1930_nordic_championship.txt
Norway,Denmark,1,0,1,Oslo,Norway,1930_nordic_championship.txt
Finland,Sweden,4,4,X,Helsinki,Finland,1930_nordic_championship.txt
Denmark,Norway,3,1,1,Copenhagen,Denmark,1931_nordic_championship.txt
Sweden,Denmark,3,1,1,Stockholm,Sweden,1931_nordic_championship.txt
Sweden,Finland,8,2,1,Stockholm,Sweden,1931_nordic_championship.txt
Finland,Norway,4,4,X,Helsinki,Finland,1931_nordic_championship.txt
Norway,Sweden,2,1,1,Oslo,Norway,1931_nordic_championship.txt
Denmark,Finland,2,3,2,Copenhagen,Denmark,1931_nordic_championship.txt
Finland,Sweden,1,3,2,Helsinki,Finland,1932_nordic_championship.txt
Norway,Finland,2,1,1,Oslo,Norway,1932_nordic_championship.txt
Denmark,Sweden,3,1,1,Copenhagen,Denmark,1932_nordic_championship.txt
Sweden,Norway,1,4,2,Gothenburg,Sweden,1932_nordic_championship.txt
Finland,Denmark,4,2,1,Helsinki,Finland,1932_nordic_championship.txt
Norway,Denmark,1,2,2,Oslo,Norway,1932_nordic_championship.txt
Denmark,Norway,2,2,X,Copenhagen,Denmark,1933_nordic_championship.txt
Sweden,Denmark,2,3,2,Stockholm,Sweden,1933_nordic_championship.txt
Sweden,Finland,2,0,1,Stockholm,Sweden,1933_nordic_championship.txt
Finland,Norway,1,5,2,Helsinki,Finland,1933_nordic_championship.txt
Norway,Sweden,0,1,2,Oslo,Norway,1933_nordic_championship.txt
Denmark,Finland,2,0,1,Copenhagen,Denmark,1933_nordic_championship.txt
Denmark,Sweden,3,5,2,Copenhagen,Denmark,1934_nordic_championship.txt
Sweden,Norway,3,3,X,Stockholm,Sweden,1934_nordic_championship.txt
Finland,Denmark,2,1,1,Helsinki,Finland,1934_nordic_championship.txt
Norway,Finland,4,2,1,Oslo,Norway,1934_nordic_championship.txt
Finland,Sweden,5,4,1,Helsinki,Finland,1934_nordic_championship.txt
Norway,Denmark,3,1,1,Oslo,Norway,1934_nordic_championship.txt
Sweden,Finland,2,2,X,Stockholm,Sweden,1935_nordic_championship.txt
