time,home_team,away_team,home_score,away_score,result,ht_score,source_file
,tip,Sileks Kratovo,2,1,1,2-1,2023-24_mk1.txt
,FK AP Brera Strumica,Vardar Skopje,1,0,1,0-0,2023-24_mk1.txt
,FC Struga,KF Gostivari,2,0,1,1-0,2023-24_mk1.txt
,GFK Tikvesh,Makedonija GP,1,0,1,1-0,2023-24_mk1.txt
,FK Voska Sport,KF Shkëndija 79,0,1,2,0-0,2023-24_mk1.txt
,ki,KF Shkupi,3,1,1,1-0,2023-24_mk1.txt
17.00,FK AP Brera Strumica,FK Voska Sport,2,0,1,1-0,2023-24_mk1.txt
,KF Gostivari,GFK Tikvesh,0,3,2,0-1,2023-24_mk1.txt
,Vardar Skopje,KF Shkupi,0,1,2,0-0,2023-24_mk1.txt
14.00,KF Shkëndija 79,FC Struga,1,0,1,0-0,2023-24_mk1.txt
,tip,KF Gostivari,2,1,1,1-0,2023-24_mk1.txt
,ki,Makedonija GP,1,0,1,1-0,2023-24_mk1.txt
,KF Shkupi,Sileks Kratovo,1,1,X,1-0,2023-24_mk1.txt
,GFK Tikvesh,KF Shkëndija 79,1,2,2,1-2,2023-24_mk1.txt
,FK Voska Sport,Vardar Skopje,3,2,1,2-0,2023-24_mk1.txt
17.00,FC Struga,FK AP Brera Strumica,1,2,2,0-1,2023-24_mk1.txt
,Makedonija GP,KF Shkupi,0,0,X,,2023-24_mk1.txt
,Vardar Skopje,Sileks Kratovo,2,2,X,1-0,2023-24_mk1.txt
16.30,FK AP Brera Strumica,GFK Tikvesh,2,0,1,0-0,2023-24_mk1.txt
15.00,FK Voska Sport,FC Struga,0,1,2,0-0,2023-24_mk1.txt
,tip,FK AP Brera Strumica,1,0,1,1-0,2023-24_mk1.txt
,ki,KF Shkëndija 79,1,2,2,1-0,2023-24_mk1.txt
,KF Shkupi,KF Gostivari,3,1,1,1-0,2023-24_mk1.txt
,Sileks Kratovo,Makedonija GP,2,2,X,1-2,2023-24_mk1.txt
,GFK Tikvesh,FK Voska Sport,1,1,X,1-0,2023-24_mk1.txt
13.00,FC Struga,Vardar Skopje,4,0,1,0-0,2023-24_mk1.txt
,KF Gostivari,Sileks Kratovo,1,2,2,0-1,2023-24_mk1.txt
,KF Shkëndija 79,KF Shkupi,0,0,X,,2023-24_mk1.txt
,Vardar Skopje,Makedonija GP,2,1,1,2-0,2023-24_mk1.txt
16.00,FC Struga,GFK Tikvesh,3,1,1,3-1,2023-24_mk1.txt
