time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.45,Coleraine FC,Ballymena United,2,1,1,1-1,2023-24_nir1.txt
15.00,Glenavon FC,Glentoran FC,0,1,2,0-0,2023-24_nir1.txt
,Newry City FC,Loughgall FC,0,3,2,0-3,2023-24_nir1.txt
19.45,Larne FC,Dungannon Swifts,4,4,X,1-1,2023-24_nir1.txt
19.45,Crusaders FC,Carrick Rangers,9,0,1,5-0,2023-24_nir1.txt
,Linfield FC,Cliftonville FC,2,1,1,1-0,2023-24_nir1.txt
19.45,Ballymena United,Crusaders FC,1,2,2,0-2,2023-24_nir1.txt
,Glentoran FC,Larne FC,1,2,2,0-0,2023-24_nir1.txt
,Loughgall FC,Coleraine FC,1,2,2,1-2,2023-24_nir1.txt
15.00,Carrick Rangers,Newry City FC,0,2,2,0-2,2023-24_nir1.txt
,Cliftonville FC,Glenavon FC,3,0,1,3-0,2023-24_nir1.txt
,Dungannon Swifts,Linfield FC,2,3,2,1-1,2023-24_nir1.txt
19.45,Carrick Rangers,Coleraine FC,2,0,1,2-0,2023-24_nir1.txt
,Crusaders FC,Dungannon Swifts,2,0,1,0-0,2023-24_nir1.txt
,Larne FC,Ballymena United,3,0,1,0-0,2023-24_nir1.txt
,Linfield FC,Glenavon FC,4,2,1,1-1,2023-24_nir1.txt
,Loughgall FC,Glentoran FC,0,1,2,0-1,2023-24_nir1.txt
,Newry City FC,Cliftonville FC,0,3,2,0-3,2023-24_nir1.txt
19.45,Ballymena United,Linfield FC,0,1,2,0-0,2023-24_nir1.txt
15.00,Cliftonville FC,Carrick Rangers,4,0,1,3-0,2023-24_nir1.txt
,Coleraine FC,Larne FC,0,0,X,,2023-24_nir1.txt
,Dungannon Swifts,Loughgall FC,1,2,2,0-1,2023-24_nir1.txt
,Glenavon FC,Newry City FC,1,3,2,0-1,2023-24_nir1.txt
19.45,Glentoran FC,Crusaders FC,2,2,X,1-1,2023-24_nir1.txt
19.45,Ballymena United,Glentoran FC,0,2,2,0-1,2023-24_nir1.txt
,Dungannon Swifts,Coleraine FC,2,2,X,0-0,2023-24_nir1.txt
,Loughgall FC,Glenavon FC,2,2,X,2-0,2023-24_nir1.txt
15.00,Linfield FC,Carrick Rangers,3,3,X,2-2,2023-24_nir1.txt
,Newry City FC,Crusaders FC,0,4,2,0-2,2023-24_nir1.txt
17.30,Cliftonville FC,Larne FC,1,1,X,1-1,2023-24_nir1.txt
19.45,Carrick Rangers,Dungannon Swifts,2,1,1,1-1,2023-24_nir1.txt
15.00,Coleraine FC,Linfield FC,1,3,2,0-1,2023-24_nir1.txt
,Crusaders FC,Loughgall FC,1,1,X,0-0,2023-24_nir1.txt
,Glenavon FC,Ballymena United,1,0,1,1-0,2023-24_nir1.txt
,Glentoran FC,Cliftonville FC,1,0,1,0-0,2023-24_nir1.txt
,Larne FC,Newry City FC,4,0,1,3-0,2023-24_nir1.txt
15.00,Carrick Rangers,Ballymena United,0,1,2,0-1,2023-24_nir1.txt
,Dungannon Swifts,Glenavon FC,3,1,1,1-1,2023-24_nir1.txt
17.30,Newry City FC,Glentoran FC,2,4,2,2-2,2023-24_nir1.txt
19.45,Cliftonville FC,Coleraine FC,5,0,1,1-0,2023-24_nir1.txt
,Linfield FC,Crusaders FC,2,0,1,2-0,2023-24_nir1.txt
,Loughgall FC,Larne FC,1,0,1,0-0,2023-24_nir1.txt
19.45,Larne FC,Linfield FC,2,0,1,1-0,2023-24_nir1.txt
15.00,Ballymena United,Loughgall FC,1,3,2,1-0,2023-24_nir1.txt
,Coleraine FC,Newry City FC,3,1,1,1-0,2023-24_nir1.txt
,Glenavon FC,Carrick Rangers,2,1,1,0-0,2023-24_nir1.txt
,Glentoran FC,Dungannon Swifts,0,0,X,,2023-24_nir1.txt
19.45,Crusaders FC,Cliftonville FC,0,3,2,0-2,2023-24_nir1.txt
19.45,Glentoran FC,Coleraine FC,1,2,2,1-0,2023-24_nir1.txt
,Larne FC,Carrick Rangers,4,1,1,3-0,2023-24_nir1.txt
,Newry City FC,Dungannon Swifts,2,2,X,1-2,2023-24_nir1.txt
15.00,Ballymena United,Cliftonville FC,0,2,2,0-1,2023-24_nir1.txt
,Crusaders FC,Glenavon FC,2,0,1,1-0,2023-24_nir1.txt
,Loughgall FC,Linfield FC,0,2,2,0-1,2023-24_nir1.txt
15.00,Carrick Rangers,Glentoran FC,2,1,1,0-1,2023-24_nir1.txt
,Cliftonville FC,Loughgall FC,1,1,X,1-1,2023-24_nir1.txt
,Coleraine FC,Crusaders FC,0,4,2,0-1,2023-24_nir1.txt
,Dungannon Swifts,Ballymena United,0,1,2,0-0,2023-24_nir1.txt
,Linfield FC,Newry City FC,6,1,1,4-0,2023-24_nir1.txt
17.30,Glenavon FC,Larne FC,0,4,2,0-0,2023-24_nir1.txt
19.45,Larne FC,Crusaders FC,1,1,X,0-0,2023-24_nir1.txt
,Linfield FC,Glentoran FC,2,0,1,2-0,2023-24_nir1.txt
15.00,Ballymena United,Newry City FC,0,2,2,0-1,2023-24_nir1.txt
,Cliftonville FC,Dungannon Swifts,5,0,1,2-0,2023-24_nir1.txt
,Coleraine FC,Glenavon FC,4,1,1,1-1,2023-24_nir1.txt
,Loughgall FC,Carrick Rangers,3,4,2,1-3,2023-24_nir1.txt
19.45,Carrick Rangers,Linfield FC,1,2,2,0-0,2023-24_nir1.txt
,Crusaders FC,Ballymena United,1,0,1,1-0,2023-24_nir1.txt
,Dungannon Swifts,Larne FC,0,0,X,,2023-24_nir1.txt
,Glenavon FC,Cliftonville FC,0,1,2,0-0,2023-24_nir1.txt
,Glentoran FC,Loughgall FC,6,0,1,4-0,2023-24_nir1.txt
,Newry City FC,Coleraine FC,0,2,2,0-1,2023-24_nir1.txt
19.45,Cliftonville FC,Linfield FC,0,1,2,0-0,2023-24_nir1.txt
,Larne FC,Carrick Rangers,2,0,1,1-0,2023-24_nir1.txt
15.00,Ballymena United,Coleraine FC,3,1,1,0-0,2023-24_nir1.txt
,Dungannon Swifts,Crusaders FC,1,4,2,1-0,2023-24_nir1.txt
,Glentoran FC,Glenavon FC,3,1,1,3-0,2023-24_nir1.txt
,Loughgall FC,Newry City FC,3,1,1,0-0,2023-24_nir1.txt
15.00,Ballymena United,Dungannon Swifts,1,1,X,1-0,2023-24_nir1.txt
,Carrick Rangers,Glenavon FC,1,3,2,1-2,2023-24_nir1.txt
,Coleraine FC,Cliftonville FC,1,2,2,0-0,2023-24_nir1.txt
,Crusaders FC,Glentoran FC,1,1,X,1-1,2023-24_nir1.txt
,Linfield FC,Loughgall FC,5,1,1,1-1,2023-24_nir1.txt
17.30,Newry City FC,Larne FC,1,2,2,0-0,2023-24_nir1.txt
19.45,Larne FC,Cliftonville FC,2,1,1,2-0,2023-24_nir1.txt
15.00,Crusaders FC,Coleraine FC,0,2,2,0-0,2023-24_nir1.txt
,Glenavon FC,Dungannon Swifts,1,0,1,1-0,2023-24_nir1.txt
,Glentoran FC,Carrick Rangers,2,3,2,1-0,2023-24_nir1.txt
,Loughgall FC,Ballymena United,5,2,1,3-1,2023-24_nir1.txt
,Newry City FC,Linfield FC,0,3,2,0-0,2023-24_nir1.txt
15.00,Ballymena United,Glenavon FC,0,1,2,0-1,2023-24_nir1.txt
,Cliftonville FC,Newry City FC,1,0,1,1-0,2023-24_nir1.txt
,Dungannon Swifts,Carrick Rangers,2,3,2,1-0,2023-24_nir1.txt
,Loughgall FC,Crusaders FC,1,2,2,0-0,2023-24_nir1.txt
17.30,Linfield FC,Larne FC,1,2,2,1-1,2023-24_nir1.txt
19.45,Coleraine FC,Glentoran FC,0,0,X,,2023-24_nir1.txt
20.00,Larne FC,Coleraine FC,2,0,1,1-0,2023-24_nir1.txt
15.00,Dungannon Swifts,Newry City FC,4,1,1,3-1,2023-24_nir1.txt
,Glenavon FC,Loughgall FC,2,0,1,2-0,2023-24_nir1.txt
,Glentoran FC,Ballymena United,5,0,1,4-0,2023-24_nir1.txt
14.00,Carrick Rangers,Cliftonville FC,0,3,2,0-1,2023-24_nir1.txt
19.45,Crusaders FC,Linfield FC,0,1,2,0-1,2023-24_nir1.txt
19.45,Larne FC,Glentoran FC,2,1,1,1-0,2023-24_nir1.txt
,Newry City FC,Glenavon FC,0,3,2,0-2,2023-24_nir1.txt
15.00,Cliftonville FC,Crusaders FC,3,0,1,1-0,2023-24_nir1.txt
,Coleraine FC,Carrick Rangers,1,1,X,0-1,2023-24_nir1.txt
,Linfield FC,Ballymena United,4,0,1,2-0,2023-24_nir1.txt
17.45,Loughgall FC,Dungannon Swifts,1,2,2,0-1,2023-24_nir1.txt
19.45,Glentoran FC,Linfield FC,4,0,1,3-0,2023-24_nir1.txt
15.00,Ballymena United,Larne FC,0,0,X,,2023-24_nir1.txt
,Carrick Rangers,Loughgall FC,2,2,X,1-0,2023-24_nir1.txt
,Crusaders FC,Newry City FC,1,1,X,1-0,2023-24_nir1.txt
,Dungannon Swifts,Cliftonville FC,1,4,2,1-0,2023-24_nir1.txt
,Glenavon FC,Coleraine FC,1,1,X,0-0,2023-24_nir1.txt
19.45,Carrick Rangers,Crusaders FC,0,1,2,0-1,2023-24_nir1.txt
,Larne FC,Glenavon FC,4,1,1,1-0,2023-24_nir1.txt
20.00,Newry City FC,Ballymena United,0,0,X,,2023-24_nir1.txt
15.00,Cliftonville FC,Glentoran FC,2,2,X,1-1,2023-24_nir1.txt
,Coleraine FC,Loughgall FC,3,2,1,2-1,2023-24_nir1.txt
,Linfield FC,Dungannon Swifts,4,3,1,1-3,2023-24_nir1.txt
19.45,Ballymena United,Carrick Rangers,0,2,2,0-1,2023-24_nir1.txt
,Crusaders FC,Larne FC,0,3,2,0-0,2023-24_nir1.txt
15.00,Coleraine FC,Dungannon Swifts,2,3,2,0-1,2023-24_nir1.txt
,Glenavon FC,Linfield FC,0,2,2,0-1,2023-24_nir1.txt
,Glentoran FC,Newry City FC,1,0,1,1-0,2023-24_nir1.txt
,Loughgall FC,Cliftonville FC,1,4,2,0-2,2023-24_nir1.txt
19.45,Larne FC,Loughgall FC,1,0,1,1-0,2023-24_nir1.txt
,Linfield FC,Coleraine FC,2,1,1,0-0,2023-24_nir1.txt
,Newry City FC,Carrick Rangers,0,1,2,0-0,2023-24_nir1.txt
15.00,Cliftonville FC,Ballymena United,2,0,1,1-0,2023-24_nir1.txt
,Dungannon Swifts,Glentoran FC,1,2,2,1-0,2023-24_nir1.txt
,Glenavon FC,Crusaders FC,1,3,2,0-1,2023-24_nir1.txt
15.00,Ballymena United,Coleraine FC,3,1,1,0-1,2023-24_nir1.txt
,Carrick Rangers,Larne FC,1,2,2,0-1,2023-24_nir1.txt
,Cliftonville FC,Crusaders FC,2,1,1,1-0,2023-24_nir1.txt
,Linfield FC,Glentoran FC,2,0,1,1-0,2023-24_nir1.txt
,Loughgall FC,Dungannon Swifts,2,1,1,1-1,2023-24_nir1.txt
,Newry City FC,Glenavon FC,0,4,2,0-3,2023-24_nir1.txt
15.00,Coleraine FC,Loughgall FC,1,3,2,0-1,2023-24_nir1.txt
,Crusaders FC,Carrick Rangers,2,0,1,0-0,2023-24_nir1.txt
,Dungannon Swifts,Newry City FC,5,0,1,3-0,2023-24_nir1.txt
,Glenavon FC,Ballymena United,0,1,2,0-1,2023-24_nir1.txt
,Larne FC,Linfield FC,1,1,X,1-1,2023-24_nir1.txt
19.45,Glentoran FC,Cliftonville FC,2,2,X,2-0,2023-24_nir1.txt
19.45,Crusaders FC,Larne FC,0,2,2,0-1,2023-24_nir1.txt
15.00,Ballymena United,Dungannon Swifts,2,4,2,1-3,2023-24_nir1.txt
,Carrick Rangers,Glenavon FC,0,2,2,0-1,2023-24_nir1.txt
,Glentoran FC,Coleraine FC,6,0,1,2-0,2023-24_nir1.txt
,Loughgall FC,Linfield FC,1,2,2,0-0,2023-24_nir1.txt
,Newry City FC,Cliftonville FC,1,2,2,1-0,2023-24_nir1.txt
15.00,Cliftonville FC,Ballymena United,3,0,1,1-0,2023-24_nir1.txt
,Coleraine FC,Carrick Rangers,0,2,2,0-0,2023-24_nir1.txt
,Dungannon Swifts,Larne FC,0,2,2,0-2,2023-24_nir1.txt
,Linfield FC,Crusaders FC,1,0,1,1-0,2023-24_nir1.txt
19.45,Loughgall FC,Newry City FC,0,0,X,,2023-24_nir1.txt
19.45,Glenavon FC,Glentoran FC,0,0,X,,2023-24_nir1.txt
19.45,Carrick Rangers,Cliftonville FC,0,1,2,0-0,2023-24_nir1.txt
20.00,Larne FC,Newry City FC,3,0,1,1-0,2023-24_nir1.txt
15.00,Ballymena United,Loughgall FC,0,1,2,0-0,2023-24_nir1.txt
,Coleraine FC,Glenavon FC,1,0,1,0-0,2023-24_nir1.txt
,Crusaders FC,Glentoran FC,1,2,2,0-1,2023-24_nir1.txt
,Linfield FC,Dungannon Swifts,1,2,2,0-0,2023-24_nir1.txt
19.45,Larne FC,Loughgall FC,2,0,1,1-0,2023-24_nir1.txt
,Newry City FC,Ballymena United,1,1,X,0-0,2023-24_nir1.txt
15.00,Cliftonville FC,Coleraine FC,4,1,1,2-0,2023-24_nir1.txt
,Dungannon Swifts,Crusaders FC,2,2,X,0-1,2023-24_nir1.txt
