time,home_team,away_team,home_score,away_score,result,ht_score,source_file
14.30,Rosenborg BK,Viking FK,1,0,1,0-0,2023_no1.txt
17.00,Aalesunds FK,Vålerenga IF,0,1,2,0-0,2023_no1.txt
,Hamarkameratene,Sandefjord Fotball,2,0,1,2-0,2023_no1.txt
,Stabæk IF,Odds BK,0,0,X,,2023_no1.txt
,Tromsø IL,Molde FK,1,0,1,0-0,2023_no1.txt
19.15,SK Brann,FK Haugesund,3,0,1,2-0,2023_no1.txt
18.30,Lillestrøm SK,Strømsgodset IF,4,3,1,2-2,2023_no1.txt
18.00,Viking FK,Lillestrøm SK,2,0,1,0-0,2023_no1.txt
,Glimt,Stabæk IF,4,0,1,3-0,2023_no1.txt
,FK Haugesund,Hamarkameratene,3,2,1,1-0,2023_no1.txt
,Molde FK,Rosenborg BK,1,1,X,1-1,2023_no1.txt
,Odds BK,SK Brann,2,0,1,1-0,2023_no1.txt
,Sandefjord Fotball,Tromsø IL,0,0,X,,2023_no1.txt
,Strømsgodset IF,Aalesunds FK,1,0,1,1-0,2023_no1.txt
19.15,Vålerenga IF,Sarpsborg 08,0,2,2,0-0,2023_no1.txt
18.00,SK Brann,Vålerenga IF,3,1,1,1-1,2023_no1.txt
,Hamarkameratene,Strømsgodset IF,2,0,1,0-0,2023_no1.txt
,Rosenborg BK,Sandefjord Fotball,1,1,X,0-1,2023_no1.txt
,Sarpsborg 08,Odds BK,0,0,X,,2023_no1.txt
,Stabæk IF,FK Haugesund,3,0,1,1-0,2023_no1.txt
,Tromsø IL,Viking FK,1,1,X,1-0,2023_no1.txt
19.15,Lillestrøm SK,Molde FK,2,1,1,2-1,2023_no1.txt
,Glimt,SK Brann,2,2,X,0-2,2023_no1.txt
17.00,FK Haugesund,Sarpsborg 08,0,0,X,,2023_no1.txt
,Molde FK,Stabæk IF,2,3,2,1-2,2023_no1.txt
,Sandefjord Fotball,Aalesunds FK,4,0,1,2-0,2023_no1.txt
,Strømsgodset IF,Tromsø IL,0,1,2,0-0,2023_no1.txt
,Viking FK,Hamarkameratene,7,3,1,0-1,2023_no1.txt
19.15,Odds BK,Rosenborg BK,0,0,X,,2023_no1.txt
18.00,Vålerenga IF,Lillestrøm SK,3,4,2,3-1,2023_no1.txt
18.00,Rosenborg BK,Vålerenga IF,1,3,2,0-1,2023_no1.txt
17.00,Aalesunds FK,FK Haugesund,0,0,X,,2023_no1.txt
,Hamarkameratene,Molde FK,0,4,2,0-1,2023_no1.txt
,Stabæk IF,Sarpsborg 08,1,1,X,0-0,2023_no1.txt
,Tromsø IL,Odds BK,0,1,2,0-0,2023_no1.txt
,Viking FK,Strømsgodset IF,1,1,X,0-0,2023_no1.txt
19.00,SK Brann,Sandefjord Fotball,0,0,X,,2023_no1.txt
19.00,Odds BK,Lillestrøm SK,0,1,2,0-0,2023_no1.txt
,Glimt,Rosenborg BK,3,2,1,2-1,2023_no1.txt
,Hamarkameratene,Tromsø IL,1,2,2,0-1,2023_no1.txt
,Molde FK,Strømsgodset IF,3,2,1,1-0,2023_no1.txt
,Sandefjord Fotball,Viking FK,1,2,2,1-1,2023_no1.txt
,Sarpsborg 08,SK Brann,2,1,1,2-0,2023_no1.txt
