home_team,away_team,home_score,away_score,result,city,country,source_file
New Caledonia,Tahiti,1,2,2,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Zealand,Fiji,5,1,1,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Caledonia,Vanuatu,4,1,1,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Zealand,Tahiti,1,1,X,Auckland,New Zealand,1973_oceania_nations_cup.txt
Fiji,New Caledonia,0,2,2,Auckland,New Zealand,1973_oceania_nations_cup.txt
Vanuatu,Tahiti,0,1,2,Auckland,New Zealand,1973_oceania_nations_cup.txt
Fiji,Vanuatu,1,2,2,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Zealand,New Caledonia,2,1,1,Auckland,New Zealand,1973_oceania_nations_cup.txt
Fiji,Tahiti,0,4,2,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Zealand,Vanuatu,3,1,1,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Caledonia,Vanuatu,2,1,1,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Zealand,Tahiti,2,0,1,Auckland,New Zealand,1973_oceania_nations_cup.txt
New Caledonia,Australia,0,8,2,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
Vanuatu,Papua New Guinea,3,4,2,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
Fiji,Solomon Islands,3,1,1,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
New Zealand,Tahiti,1,3,2,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
Australia,Papua New Guinea,11,2,1,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
New Caledonia,Vanuatu,4,3,1,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
Fiji,New Zealand,4,0,1,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
Solomon Islands,Tahiti,1,12,2,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
Australia,Vanuatu,1,0,1,Nouméa,New Caledonia,1980_oceania_nations_cup.txt
