home_team,away_team,home_score,away_score,result,city,country,source_file
Algeria,Palestine,2,0,1,Baghdad,Iraq,1972_palestine_cup.txt
Iraq,Egypt,0,0,X,Baghdad,Iraq,1972_palestine_cup.txt
Kuwait,Libya,3,2,1,Baghdad,Iraq,1972_palestine_cup.txt
Syria,Yemen DPR,1,0,1,Baghdad,Iraq,1972_palestine_cup.txt
Algeria,Qatar,3,0,1,Baghdad,Iraq,1972_palestine_cup.txt
Palestine,Syria,1,3,2,Baghdad,Iraq,1972_palestine_cup.txt
Egypt,Kuwait,2,0,1,Baghdad,Iraq,1972_palestine_cup.txt
Iraq,Libya,3,0,1,Baghdad,Iraq,1972_palestine_cup.txt
Palestine,Yemen DPR,1,2,2,Baghdad,Iraq,1972_palestine_cup.txt
Syria,Qatar,3,2,1,Baghdad,Iraq,1972_palestine_cup.txt
Egypt,Libya,1,1,X,Baghdad,Iraq,1972_palestine_cup.txt
Iraq,Kuwait,3,1,1,Baghdad,Iraq,1972_palestine_cup.txt
Algeria,Syria,0,1,2,Baghdad,Iraq,1972_palestine_cup.txt
Qatar,Yemen DPR,1,2,2,Baghdad,Iraq,1972_palestine_cup.txt
Algeria,Yemen DPR,4,1,1,Baghdad,Iraq,1972_palestine_cup.txt
Palestine,Qatar,7,2,1,Baghdad,Iraq,1972_palestine_cup.txt
Iraq,Algeria,3,1,1,Baghdad,Iraq,1972_palestine_cup.txt
Egypt,Syria,4,2,1,Baghdad,Iraq,1972_palestine_cup.txt
Algeria,Syria,3,1,1,Baghdad,Iraq,1972_palestine_cup.txt
Iraq,Egypt,1,3,2,Baghdad,Iraq,1972_palestine_cup.txt
Syria,Palestine,1,1,X,Tripoli,Libya,1973_palestine_cup.txt
Libya,United Arab Emirates,2,2,X,Benghazi,Libya,1973_palestine_cup.txt
Egypt,Yemen DPR,6,1,1,Tripoli,Libya,1973_palestine_cup.txt
Algeria,United Arab Emirates,2,0,1,Benghazi,Libya,1973_palestine_cup.txt
Iraq,Yemen,2,0,1,Benghazi,Libya,1973_palestine_cup.txt
Palestine,Yemen DPR,1,0,1,Tripoli,Libya,1973_palestine_cup.txt
Syria,Tunisia,1,4,2,Tripoli,Libya,1973_palestine_cup.txt
Libya,Yemen,10,0,1,Benghazi,Libya,1973_palestine_cup.txt
Algeria,Iraq,0,0,X,Benghazi,Libya,1973_palestine_cup.txt
Egypt,Tunisia,0,1,2,Tripoli,Libya,1973_palestine_cup.txt
Yemen,United Arab Emirates,1,1,X,Benghazi,Libya,1973_palestine_cup.txt
Syria,Yemen DPR,7,1,1,Tripoli,Libya,1973_palestine_cup.txt
Egypt,Palestine,2,0,1,Tripoli,Libya,1973_palestine_cup.txt
Algeria,Yemen,15,1,1,Benghazi,Libya,1973_palestine_cup.txt
Libya,Iraq,0,0,X,Benghazi,Libya,1973_palestine_cup.txt
Tunisia,Yemen DPR,2,0,1,Tripoli,Libya,1973_palestine_cup.txt
Egypt,Syria,0,2,2,Tripoli,Libya,1973_palestine_cup.txt
Iraq,United Arab Emirates,3,1,1,Benghazi,Libya,1973_palestine_cup.txt
Libya,Algeria,0,2,2,Benghazi,Libya,1973_palestine_cup.txt
Palestine,Tunisia,2,6,2,Tripoli,Libya,1973_palestine_cup.txt
Algeria,Syria,0,0,X,Benghazi,Libya   [Syria wins on penalties],1973_palestine_cup.txt
Iraq,Tunisia,0,2,2,Tripoli,Libya,1973_palestine_cup.txt
Algeria,Iraq,0,0,X,Tripoli,Libya   [Algeria wins on penalties],1973_palestine_cup.txt
Syria,Tunisia,0,4,2,Tripoli,Libya,1973_palestine_cup.txt
Egypt,Yemen DPR,5,0,1,Tunis,Tunisia,1975_palestine_cup.txt
Palestine,Sudan,0,0,X,Tunis,Tunisia,1975_palestine_cup.txt
Tunisia,United Arab Emirates,3,0,1,Tunis,Tunisia,1975_palestine_cup.txt
Iraq,United Arab Emirates,5,0,1,Tunis,Tunisia,1975_palestine_cup.txt
Libya,Syria,2,3,2,Tunis,Tunisia,1975_palestine_cup.txt
Palestine,Sudan,0,1,2,Tunis,Tunisia,1975_palestine_cup.txt
Saudi Arabia,Yemen DPR,0,1,2,Tunis,Tunisia,1975_palestine_cup.txt
Egypt,Saudi Arabia,2,1,1,Tunis,Tunisia,1975_palestine_cup.txt
Libya,Syria,1,0,1,Tunis,Tunisia   [Syria wins on penalties],1975_palestine_cup.txt
Tunisia,Iraq,1,1,X,Tunis,Tunisia,1975_palestine_cup.txt
Egypt,Sudan,3,1,1,Tunis,Tunisia,1975_palestine_cup.txt
Iraq,Syria,4,0,1,Tunis,Tunisia,1975_palestine_cup.txt
Egypt,Iraq,1,0,1,Tunis,Tunisia,1975_palestine_cup.txt
Sudan,Syria,1,0,1,Tunis,Tunisia,1975_palestine_cup.txt
