home_team,away_team,home_score,away_score,result,city,country,source_file
Chile,Panama,6,1,1,Santiago,Chile,1952_pan_american_championship.txt
Mexico,Uruguay,1,3,2,Santiago,Chile,1952_pan_american_championship.txt
Panama,Peru,1,7,2,Santiago,Chile,1952_pan_american_championship.txt
Chile,Mexico,4,0,1,Santiago,Chile,1952_pan_american_championship.txt
Peru,Uruguay,2,5,2,Santiago,Chile,1952_pan_american_championship.txt
Chile,Peru,3,2,1,Santiago,Chile,1952_pan_american_championship.txt
Brazil,Mexico,2,0,1,Santiago,Chile,1952_pan_american_championship.txt
Panama,Uruguay,1,6,2,Santiago,Chile,1952_pan_american_championship.txt
Brazil,Peru,0,0,X,Santiago,Chile,1952_pan_american_championship.txt
Mexico,Panama,4,2,1,Santiago,Chile,1952_pan_american_championship.txt
Brazil,Panama,5,0,1,Santiago,Chile,1952_pan_american_championship.txt
Chile,Uruguay,2,0,1,Santiago,Chile,1952_pan_american_championship.txt
Brazil,Uruguay,4,2,1,Santiago,Chile,1952_pan_american_championship.txt
Chile,Brazil,0,3,2,Santiago,Chile,1952_pan_american_championship.txt
Mexico,Peru,0,3,2,Santiago,Chile,1952_pan_american_championship.txt
Mexico,Costa Rica,1,1,X,Mexico City,Mexico,1956_pan_american_championship.txt
Argentina,Peru,0,0,X,Mexico City,Mexico,1956_pan_american_championship.txt
Brazil,Chile,2,1,1,Mexico City,Mexico,1956_pan_american_championship.txt
Mexico,Peru,0,2,2,Mexico City,Mexico,1956_pan_american_championship.txt
Argentina,Costa Rica,4,3,1,Mexico City,Mexico,1956_pan_american_championship.txt
Brazil,Peru,1,0,1,Mexico City,Mexico,1956_pan_american_championship.txt
Chile,Costa Rica,1,2,2,Mexico City,Mexico,1956_pan_american_championship.txt
Mexico,Brazil,1,2,2,Mexico City,Mexico,1956_pan_american_championship.txt
Argentina,Chile,3,0,1,Mexico City,Mexico,1956_pan_american_championship.txt
Brazil,Costa Rica,7,1,1,Mexico City,Mexico,1956_pan_american_championship.txt
Mexico,Argentina,0,0,X,Mexico City,Mexico,1956_pan_american_championship.txt
Chile,Peru,2,2,X,Mexico City,Mexico,1956_pan_american_championship.txt
Costa Rica,Peru,4,2,1,Mexico City,Mexico,1956_pan_american_championship.txt
Argentina,Brazil,2,2,X,Mexico City,Mexico,1956_pan_american_championship.txt
Brazil,Mexico,2,2,X,San José,Costa Rica,1960_pan_american_championship.txt
Costa Rica,Argentina,0,0,X,San José,Costa Rica,1960_pan_american_championship.txt
Argentina,Mexico,3,2,1,San José,Costa Rica,1960_pan_american_championship.txt
Costa Rica,Brazil,3,0,1,San José,Costa Rica,1960_pan_american_championship.txt
Argentina,Brazil,2,1,1,San José,Costa Rica,1960_pan_american_championship.txt
Brazil,Mexico,2,1,1,San José,Costa Rica,1960_pan_american_championship.txt
Costa Rica,Argentina,0,2,2,San José,Costa Rica,1960_pan_american_championship.txt
Argentina,Mexico,2,0,1,San José,Costa Rica,1960_pan_american_championship.txt
Costa Rica,Brazil,0,4,2,San José,Costa Rica,1960_pan_american_championship.txt
Argentina,Brazil,0,1,2,San José,Costa Rica,1960_pan_american_championship.txt
