time,home_team,away_team,home_score,away_score,result,ht_score,source_file
15.00,FKS Stal Mielec,KS Cracovia,2,2,X,2-0,2023-24_pl1.txt
15.00,Górnik Zabrze,Radomiak Radom,0,2,2,0-0,2023-24_pl1.txt
,bie Lubin,Ruch Chorzów,2,1,1,0-1,2023-24_pl1.txt
,,Górnik Zabrze,2,0,1,1-0,2023-24_pl1.txt
15.00,FKS Stal Mielec,Piast Gliwice,0,0,X,,2023-24_pl1.txt
,,Radomiak Radom,2,0,1,1-0,2023-24_pl1.txt
19.00,KS Cracovia,Legia Warszawa,2,0,1,1-0,2023-24_pl1.txt
,,Korona Kielce,2,1,1,1-0,2023-24_pl1.txt
17.30,Górnik Zabrze,Piast Gliwice,0,0,X,,2023-24_pl1.txt
20.00,Radomiak Radom,KS Cracovia,0,1,2,0-1,2023-24_pl1.txt
20.00,Legia Warszawa,Ruch Chorzów,3,0,1,2-0,2023-24_pl1.txt
,omice,FKS Stal Mielec,1,0,1,0-0,2023-24_pl1.txt
17.30,Korona Kielce,Górnik Zabrze,0,1,2,0-0,2023-24_pl1.txt
,Szczecin,Radomiak Radom,0,2,2,0-2,2023-24_pl1.txt
,omice,Legia Warszawa,1,1,X,1-1,2023-24_pl1.txt
,,Ruch Chorzów,2,2,X,2-1,2023-24_pl1.txt
,stochowa,FKS Stal Mielec,2,0,1,1-0,2023-24_pl1.txt
20.00,Legia Warszawa,Korona Kielce,1,0,1,1-0,2023-24_pl1.txt
19.00,KS Cracovia,Piast Gliwice,1,1,X,1-0,2023-24_pl1.txt
18.00,FKS Stal Mielec,Radomiak Radom,2,0,1,2-0,2023-24_pl1.txt
,,KS Cracovia,0,0,X,,2023-24_pl1.txt
20.00,Piast Gliwice,Ruch Chorzów,0,0,X,,2023-24_pl1.txt
,ystok,Górnik Zabrze,4,1,1,3-1,2023-24_pl1.txt
,Szczecin,Legia Warszawa,3,4,2,1-1,2023-24_pl1.txt
20.30,Ruch Chorzów,FKS Stal Mielec,1,1,X,1-1,2023-24_pl1.txt
15.00,Radomiak Radom,Piast Gliwice,1,1,X,0-0,2023-24_pl1.txt
17.30,KS Cracovia,Korona Kielce,0,0,X,,2023-24_pl1.txt
,,Górnik Zabrze,1,1,X,0-1,2023-24_pl1.txt
20.30,Górnik Zabrze,Ruch Chorzów,1,0,1,0-0,2023-24_pl1.txt
,Szczecin,Korona Kielce,3,1,1,1-1,2023-24_pl1.txt
20.00,Piast Gliwice,Legia Warszawa,1,1,X,1-0,2023-24_pl1.txt
,ystok,Radomiak Radom,3,2,1,2-2,2023-24_pl1.txt
,,KS Cracovia,2,0,1,1-0,2023-24_pl1.txt
,aw,Piast Gliwice,1,0,1,1-0,2023-24_pl1.txt
,,FKS Stal Mielec,2,1,1,2-1,2023-24_pl1.txt
17.30,Legia Warszawa,Górnik Zabrze,2,1,1,1-1,2023-24_pl1.txt
18.00,FKS Stal Mielec,Korona Kielce,2,3,2,1-2,2023-24_pl1.txt
,,KS Cracovia,0,2,2,0-2,2023-24_pl1.txt
,omice,Ruch Chorzów,2,2,X,2-0,2023-24_pl1.txt
,stochowa,Radomiak Radom,3,0,1,1-0,2023-24_pl1.txt
,ystok,Legia Warszawa,2,0,1,2-0,2023-24_pl1.txt
,,FKS Stal Mielec,1,0,1,0-0,2023-24_pl1.txt
,bie Lubin,Piast Gliwice,1,1,X,1-0,2023-24_pl1.txt
,aw,Górnik Zabrze,1,1,X,1-0,2023-24_pl1.txt
,omice,KS Cracovia,1,1,X,1-0,2023-24_pl1.txt
,aw,Legia Warszawa,4,0,1,0-0,2023-24_pl1.txt
12.30,Radomiak Radom,Korona Kielce,1,1,X,0-0,2023-24_pl1.txt
,,Ruch Chorzów,2,1,1,0-1,2023-24_pl1.txt
,,Górnik Zabrze,0,5,2,0-1,2023-24_pl1.txt
,,Piast Gliwice,1,1,X,1-1,2023-24_pl1.txt
,bie Lubin,Radomiak Radom,2,3,2,0-2,2023-24_pl1.txt
15.00,Legia Warszawa,FKS Stal Mielec,1,3,2,0-1,2023-24_pl1.txt
18.00,Piast Gliwice,Korona Kielce,0,0,X,,2023-24_pl1.txt
