time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.30,SL Benfica,Vitória Guimarães,3,2,1,3-0,2018-19_pt1.txt
16.30,Vitória Setúbal,CD Aves,2,0,1,1-0,2018-19_pt1.txt
19.00,CD Tondela,Belenenses SAD,0,1,2,0-0,2018-19_pt1.txt
21.00,FC Porto,GD Chaves,5,0,1,3-0,2018-19_pt1.txt
16.00,CS Marítimo,CD Santa Clara,1,0,1,0-0,2018-19_pt1.txt
,CD Feirense,Rio Ave FC,2,0,1,2-0,2018-19_pt1.txt
18.30,Moreirense FC,Sporting CP,1,3,2,1-1,2018-19_pt1.txt
20.30,Sporting Braga,CD Nacional,4,2,1,2-2,2018-19_pt1.txt
20.15,Portimonense SC,Boavista,0,2,2,0-0,2018-19_pt1.txt
20.30,CD Aves,CD Tondela,2,2,X,1-1,2018-19_pt1.txt
16.30,GD Chaves,Portimonense SC,2,0,1,2-0,2018-19_pt1.txt
19.00,Boavista,SL Benfica,0,2,2,0-1,2018-19_pt1.txt
21.00,Sporting CP,Vitória Setúbal,2,1,1,1-1,2018-19_pt1.txt
16.00,Rio Ave FC,CS Marítimo,3,1,1,2-0,2018-19_pt1.txt
,CD Nacional,Moreirense FC,1,2,2,0-1,2018-19_pt1.txt
18.30,Belenenses SAD,FC Porto,2,3,2,0-1,2018-19_pt1.txt
20.30,CD Santa Clara,Sporting Braga,3,3,X,0-3,2018-19_pt1.txt
20.15,Vitória Guimarães,CD Feirense,0,1,2,0-0,2018-19_pt1.txt
20.30,CS Marítimo,GD Chaves,2,1,1,0-1,2018-19_pt1.txt
16.30,Portimonense SC,CD Santa Clara,2,2,X,0-1,2018-19_pt1.txt
19.00,SL Benfica,Sporting CP,1,1,X,0-0,2018-19_pt1.txt
21.00,FC Porto,Vitória Guimarães,2,3,2,2-0,2018-19_pt1.txt
16.00,Vitória Setúbal,CD Nacional,1,2,2,0-1,2018-19_pt1.txt
,CD Feirense,Boavista,1,1,X,0-1,2018-19_pt1.txt
18.30,CD Tondela,Rio Ave FC,1,1,X,0-1,2018-19_pt1.txt
20.30,Sporting Braga,CD Aves,3,1,1,0-0,2018-19_pt1.txt
20.15,Moreirense FC,Belenenses SAD,1,1,X,0-0,2018-19_pt1.txt
19.00,GD Chaves,Sporting Braga,0,1,2,0-1,2018-19_pt1.txt
21.15,Vitória Guimarães,CD Tondela,1,0,1,1-0,2018-19_pt1.txt
16.30,Belenenses SAD,Vitória Setúbal,0,0,X,,2018-19_pt1.txt
19.00,CD Santa Clara,Boavista,4,2,1,1-1,2018-19_pt1.txt
21.00,Sporting CP,CD Feirense,1,0,1,0-0,2018-19_pt1.txt
16.00,Rio Ave FC,Portimonense SC,2,1,1,0-1,2018-19_pt1.txt
,CD Aves,CS Marítimo,0,1,2,0-1,2018-19_pt1.txt
18.30,CD Nacional,SL Benfica,0,4,2,0-2,2018-19_pt1.txt
20.30,FC Porto,Moreirense FC,3,0,1,2-0,2018-19_pt1.txt
20.30,Boavista,GD Chaves,1,2,2,0-1,2018-19_pt1.txt
16.30,CD Santa Clara,Rio Ave FC,1,3,2,0-0,2018-19_pt1.txt
19.00,CS Marítimo,Belenenses SAD,0,0,X,,2018-19_pt1.txt
21.00,Vitória Setúbal,FC Porto,0,2,2,0-1,2018-19_pt1.txt
16.00,CD Tondela,Moreirense FC,2,0,1,1-0,2018-19_pt1.txt
,CD Feirense,CD Nacional,0,0,X,,2018-19_pt1.txt
18.30,SL Benfica,CD Aves,2,0,1,1-0,2018-19_pt1.txt
20.30,Portimonense SC,Vitória Guimarães,3,2,1,1-0,2018-19_pt1.txt
20.15,Sporting Braga,Sporting CP,1,0,1,0-0,2018-19_pt1.txt
21.15,GD Chaves,SL Benfica,2,2,X,0-1,2018-19_pt1.txt
20.30,FC Porto,CD Tondela,1,0,1,0-0,2018-19_pt1.txt
16.30,Moreirense FC,CD Feirense,1,0,1,0-0,2018-19_pt1.txt
19.00,Rio Ave FC,Boavista,2,1,1,2-0,2018-19_pt1.txt
21.00,Sporting CP,CS Marítimo,2,0,1,2-0,2018-19_pt1.txt
16.00,CD Nacional,CD Santa Clara,0,3,2,0-1,2018-19_pt1.txt
18.30,Vitória Guimarães,Vitória Setúbal,1,1,X,0-0,2018-19_pt1.txt
20.30,Belenenses SAD,Sporting Braga,0,3,2,0-2,2018-19_pt1.txt
20.15,CD Aves,Portimonense SC,3,0,1,1-0,2018-19_pt1.txt
15.30,CD Tondela,CD Nacional,1,1,X,0-0,2018-19_pt1.txt
18.00,CD Santa Clara,GD Chaves,1,0,1,0-0,2018-19_pt1.txt
20.30,CD Feirense,Belenenses SAD,0,0,X,,2018-19_pt1.txt
15.30,Vitória Setúbal,Moreirense FC,3,0,1,1-0,2018-19_pt1.txt
18.00,CS Marítimo,Vitória Guimarães,1,3,2,0-1,2018-19_pt1.txt
20.30,Sporting Braga,Rio Ave FC,1,1,X,1-1,2018-19_pt1.txt
15.00,Boavista,CD Aves,1,0,1,0-0,2018-19_pt1.txt
17.30,SL Benfica,FC Porto,1,0,1,0-0,2018-19_pt1.txt
20.00,Portimonense SC,Sporting CP,4,2,1,2-0,2018-19_pt1.txt
19.00,CD Nacional,Portimonense SC,0,1,2,0-1,2018-19_pt1.txt
21.15,Vitória Guimarães,Sporting Braga,1,1,X,1-1,2018-19_pt1.txt
15.30,CD Aves,CD Santa Clara,1,2,2,0-2,2018-19_pt1.txt
18.00,Rio Ave FC,GD Chaves,1,0,1,0-0,2018-19_pt1.txt
20.30,Belenenses SAD,SL Benfica,2,0,1,2-0,2018-19_pt1.txt
15.00,Moreirense FC,CS Marítimo,1,0,1,0-0,2018-19_pt1.txt
,CD Tondela,Vitória Setúbal,1,2,2,0-1,2018-19_pt1.txt
17.30,FC Porto,CD Feirense,2,0,1,1-0,2018-19_pt1.txt
20.00,Sporting CP,Boavista,3,0,1,1-0,2018-19_pt1.txt
