time,home_team,away_team,home_score,away_score,result,ht_score,source_file
,i,UTA Arad,1,1,X,0-1,2023-24_ro1.txt
,ti,Sepsi OSK,0,0,X,,2023-24_ro1.txt
,ti,Universitatea Cluj,1,1,X,1-1,2023-24_ro1.txt
21.30,FC Universitatea Craiova,FCSB,1,3,2,0-2,2023-24_ro1.txt
,ti,CS Universitatea Craiova,0,2,2,0-0,2023-24_ro1.txt
18.30,Sepsi OSK,FC Universitatea Craiova,1,0,1,0-0,2023-24_ro1.txt
21.30,UTA Arad,CFR Cluj,1,3,2,1-2,2023-24_ro1.txt
,a,FC Voluntari,4,1,1,1-1,2023-24_ro1.txt
,i,FC Hermannstadt,1,3,2,0-1,2023-24_ro1.txt
18.30,FC Universitatea Craiova,Universitatea Cluj,3,4,2,0-1,2023-24_ro1.txt
18.30,FC Hermannstadt,UTA Arad,2,1,1,0-1,2023-24_ro1.txt
,i,FCSB,0,2,2,0-1,2023-24_ro1.txt
21.30,CFR Cluj,CS Universitatea Craiova,1,1,X,1-1,2023-24_ro1.txt
,ti,FC Voluntari,0,2,2,0-0,2023-24_ro1.txt
,ti,Sepsi OSK,0,3,2,0-1,2023-24_ro1.txt
21.30,CS Universitatea Craiova,FC Hermannstadt,1,0,1,1-0,2023-24_ro1.txt
,ani,FC Universitatea Craiova,0,1,2,0-1,2023-24_ro1.txt
21.30,FCSB,CFR Cluj,1,0,1,0-0,2023-24_ro1.txt
20.30,FC Universitatea Craiova,FC Voluntari,3,1,1,3-0,2023-24_ro1.txt
,i,Universitatea Cluj,1,1,X,0-0,2023-24_ro1.txt
,i,CS Universitatea Craiova,1,4,2,1-0,2023-24_ro1.txt
20.00,FC Hermannstadt,FCSB,2,2,X,1-1,2023-24_ro1.txt
20.00,CFR Cluj,Sepsi OSK,3,0,1,1-0,2023-24_ro1.txt
,a,UTA Arad,2,2,X,1-2,2023-24_ro1.txt
,ti,FC Universitatea Craiova,4,3,1,2-1,2023-24_ro1.txt
21.30,CS Universitatea Craiova,UTA Arad,3,0,1,1-0,2023-24_ro1.txt
18.30,Sepsi OSK,FC Hermannstadt,1,1,X,1-0,2023-24_ro1.txt
21.30,Universitatea Cluj,CFR Cluj,3,4,2,2-1,2023-24_ro1.txt
,i,FC Voluntari,2,2,X,2-0,2023-24_ro1.txt
