time,home_team,away_team,home_score,away_score,result,ht_score,source_file
16.30,FK Ural,Anzhi Makhachkala,0,1,2,0-0,2018-19_ru1.txt
19.00,Spartak Moskva,FK Orenburg,1,0,1,1-0,2018-19_ru1.txt
21.30,FK Rostov,Akhmat Grozny,1,0,1,1-0,2018-19_ru1.txt
14.00,Enisey Krasnoyarsk,Zenit St. Petersburg,0,2,2,0-0,2018-19_ru1.txt
16.30,Arsenal Tula,Dinamo Moskva,0,0,X,,2018-19_ru1.txt
19.00,Rubin Kazan,FK Krasnodar,2,1,1,2-1,2018-19_ru1.txt
18.00,FK Ufa,Lokomotiv Moskva,0,0,X,,2018-19_ru1.txt
19.00,Krylia Sovetov,CSKA Moskva,0,0,X,,2018-19_ru1.txt
19.30,Dinamo Moskva,Rubin Kazan,1,1,X,1-0,2018-19_ru1.txt
14.00,FK Ural,FK Krasnodar,1,2,2,1-0,2018-19_ru1.txt
16.30,Zenit St. Petersburg,Arsenal Tula,1,0,1,0-0,2018-19_ru1.txt
19.00,Lokomotiv Moskva,Spartak Moskva,0,0,X,,2018-19_ru1.txt
16.30,Krylia Sovetov,FK Orenburg,0,3,2,0-3,2018-19_ru1.txt
19.00,CSKA Moskva,FK Rostov,0,1,2,0-1,2018-19_ru1.txt
21.30,Akhmat Grozny,Enisey Krasnoyarsk,1,0,1,0-0,2018-19_ru1.txt
17.30,FK Ufa,Anzhi Makhachkala,3,0,1,1-0,2018-19_ru1.txt
17.30,FK Ural,Dinamo Moskva,1,1,X,0-0,2018-19_ru1.txt
16.30,Enisey Krasnoyarsk,CSKA Moskva,1,1,X,0-0,2018-19_ru1.txt
19.00,Spartak Moskva,Anzhi Makhachkala,1,0,1,0-0,2018-19_ru1.txt
21.30,FK Rostov,Krylia Sovetov,0,1,2,0-1,2018-19_ru1.txt
14.00,FK Orenburg,Lokomotiv Moskva,1,0,1,0-0,2018-19_ru1.txt
16.30,Arsenal Tula,Akhmat Grozny,3,1,1,0-1,2018-19_ru1.txt
17.30,FK Ufa,FK Krasnodar,0,1,2,0-0,2018-19_ru1.txt
20.00,Rubin Kazan,Zenit St. Petersburg,0,1,2,0-0,2018-19_ru1.txt
19.30,Anzhi Makhachkala,FK Orenburg,1,3,2,1-0,2018-19_ru1.txt
