time,home_team,away_team,home_score,away_score,result,ht_score,source_file
21.15,SS Pennarossa,FC Fiorentino,0,1,2,0-0,2023-24_sm1.txt
,SS Cosmos,FC Domagnano,4,1,1,2-1,2023-24_sm1.txt
,Dogana,SP Tre Penne,1,1,X,0-0,2023-24_sm1.txt
15.00,SP Tre Fiori,SS Virtus,0,1,2,0-0,2023-24_sm1.txt
,SS Murata,SC Faetano,5,0,1,1-0,2023-24_sm1.txt
15.00,SS San Giovanni,San Marino Academy,3,1,1,1-0,2023-24_sm1.txt
,SP La Fiorita,AC Libertas,3,1,1,1-0,2023-24_sm1.txt
21.15,SS Virtus,SS Pennarossa,1,0,1,1-0,2023-24_sm1.txt
15.00,FC Fiorentino,SP Cailungo,0,1,2,0-0,2023-24_sm1.txt
,AC Libertas,SS Murata,1,4,2,1-3,2023-24_sm1.txt
,SS San Giovanni,SP Tre Fiori,0,1,2,0-0,2023-24_sm1.txt
,Falciano,SS Cosmos,0,0,X,,2023-24_sm1.txt
,SC Faetano,SP La Fiorita,1,4,2,0-2,2023-24_sm1.txt
,SP Tre Penne,San Marino Academy,3,1,1,1-1,2023-24_sm1.txt
15.00,SC Faetano,AC Libertas,1,2,2,1-1,2023-24_sm1.txt
,Dogana,SS Virtus,1,2,2,1-0,2023-24_sm1.txt
,SP Tre Fiori,FC Fiorentino,1,0,1,1-0,2023-24_sm1.txt
,SS Cosmos,SS San Giovanni,0,0,X,,2023-24_sm1.txt
15.00,SP Cailungo,SP Tre Penne,1,4,2,1-2,2023-24_sm1.txt
,San Marino Academy,SS Pennarossa,4,0,1,1-0,2023-24_sm1.txt
18.15,SS Murata,FC Domagnano,1,0,1,0-0,2023-24_sm1.txt
21.15,FC Fiorentino,SS Cosmos,3,3,X,1-2,2023-24_sm1.txt
,SS Virtus,AC Libertas,2,1,1,1-1,2023-24_sm1.txt
,Dogana,SP La Fiorita,0,1,2,0-0,2023-24_sm1.txt
,SS Pennarossa,SP Tre Fiori,0,3,2,0-2,2023-24_sm1.txt
,SS San Giovanni,SS Murata,0,1,2,0-0,2023-24_sm1.txt
,SP Tre Penne,SC Faetano,6,1,1,1-1,2023-24_sm1.txt
,Falciano,FC Domagnano,1,1,X,0-1,2023-24_sm1.txt
21.15,San Marino Academy,SP Cailungo,0,1,2,0-1,2023-24_sm1.txt
21.15,SS Virtus,FC Fiorentino,4,0,1,4-0,2023-24_sm1.txt
,SP Tre Penne,SS San Giovanni,5,0,1,3-0,2023-24_sm1.txt
15.00,SP Cailungo,SS Cosmos,0,3,2,0-1,2023-24_sm1.txt
,FC Domagnano,SC Faetano,3,4,2,1-2,2023-24_sm1.txt
,AC Libertas,San Marino Academy,2,2,X,0-1,2023-24_sm1.txt
18.15,SP La Fiorita,SS Murata,2,1,1,0-1,2023-24_sm1.txt
21.15,SS Murata,SP Cailungo,3,0,1,3-0,2023-24_sm1.txt
,Falciano,SS San Giovanni,2,1,1,1-0,2023-24_sm1.txt
15.00,FC Domagnano,AC Libertas,1,0,1,0-0,2023-24_sm1.txt
,SS Cosmos,SP La Fiorita,1,1,X,0-0,2023-24_sm1.txt
18.15,SP Tre Penne,SS Pennarossa,3,2,1,2-2,2023-24_sm1.txt
15.00,SC Faetano,SP Tre Fiori,3,3,X,2-3,2023-24_sm1.txt
,San Marino Academy,SS Virtus,0,3,2,0-1,2023-24_sm1.txt
,Dogana,San Marino Academy,2,2,X,2-0,2023-24_sm1.txt
,SS Pennarossa,FC Domagnano,1,2,2,1-2,2023-24_sm1.txt
,SS San Giovanni,FC Fiorentino,2,0,1,2-0,2023-24_sm1.txt
,SS Virtus,SP La Fiorita,2,1,1,1-0,2023-24_sm1.txt
15.00,SP Cailungo,SC Faetano,4,1,1,2-0,2023-24_sm1.txt
,SP Tre Fiori,SS Cosmos,5,0,1,4-0,2023-24_sm1.txt
,SP Tre Penne,SS Murata,3,0,1,2-0,2023-24_sm1.txt
,AC Libertas,SP Cailungo,2,1,1,0-1,2023-24_sm1.txt
,SS San Giovanni,SP La Fiorita,0,3,2,0-2,2023-24_sm1.txt
,SS Cosmos,SP Tre Penne,1,1,X,1-1,2023-24_sm1.txt
18.15,FC Domagnano,SS Virtus,0,1,2,0-0,2023-24_sm1.txt
15.00,FC Fiorentino,San Marino Academy,3,2,1,2-0,2023-24_sm1.txt
,SS Murata,SS Pennarossa,5,0,1,3-0,2023-24_sm1.txt
15.00,SP Cailungo,FC Domagnano,1,1,X,1-0,2023-24_sm1.txt
,SS Pennarossa,SP La Fiorita,0,3,2,0-3,2023-24_sm1.txt
,Falciano,SS Murata,0,2,2,0-2,2023-24_sm1.txt
18.15,San Marino Academy,SP Tre Fiori,1,2,2,0-2,2023-24_sm1.txt
,SP Tre Penne,FC Fiorentino,6,0,1,2-0,2023-24_sm1.txt
,Dogana,SS Cosmos,0,4,2,0-2,2023-24_sm1.txt
,AC Libertas,SS San Giovanni,1,1,X,1-0,2023-24_sm1.txt
,SS Virtus,SC Faetano,6,1,1,3-0,2023-24_sm1.txt
15.00,FC Domagnano,SP Tre Penne,0,0,X,,2023-24_sm1.txt
,SP La Fiorita,SP Tre Fiori,1,0,1,0-0,2023-24_sm1.txt
18.15,SS San Giovanni,SC Faetano,0,2,2,0-1,2023-24_sm1.txt
,SS Cosmos,San Marino Academy,4,0,1,2-0,2023-24_sm1.txt
,Falciano,SS Virtus,0,2,2,0-1,2023-24_sm1.txt
,SP Cailungo,SS Pennarossa,0,0,X,,2023-24_sm1.txt
,AC Libertas,FC Fiorentino,0,1,2,0-0,2023-24_sm1.txt
15.00,SS Pennarossa,SS Cosmos,1,5,2,1-4,2023-24_sm1.txt
,San Marino Academy,SC Faetano,2,0,1,1-0,2023-24_sm1.txt
,SP Tre Penne,AC Libertas,2,1,1,0-0,2023-24_sm1.txt
,SS Virtus,SS Murata,2,0,1,1-0,2023-24_sm1.txt
