time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.10,Al Taawoun,Al Fayha,1,0,1,0-0,2024-25_sa1.txt
21.00,Al Wehda,Al Riyadh,3,3,X,1-0,2024-25_sa1.txt
,Al Nassr,Al Ra'ed,1,1,X,1-0,2024-25_sa1.txt
19.10,Damac FC,Al Khaleej,0,1,2,0-1,2024-25_sa1.txt
21.00,Al Ahli SFC,Al Orobah,2,0,1,1-0,2024-25_sa1.txt
,Al Qadsiah,Al Fateh,3,0,1,1-0,2024-25_sa1.txt
19.10,Al Kholood,Al Ittihad,0,1,2,0-0,2024-25_sa1.txt
21.00,Al Okhdood,Al Hilal,0,3,2,0-3,2024-25_sa1.txt
,Al Shabab,Al Ettifaq,0,1,2,0-0,2024-25_sa1.txt
18.45,Al Fateh,Al Ahli SFC,1,0,1,0-0,2024-25_sa1.txt
21.00,Al Ra'ed,Al Qadsiah,0,1,2,0-0,2024-25_sa1.txt
,Al Fayha,Al Nassr,1,4,2,0-2,2024-25_sa1.txt
18.45,Al Ettifaq,Al Okhdood,1,0,1,0-0,2024-25_sa1.txt
21.00,Al Hilal,Damac FC,3,2,1,1-0,2024-25_sa1.txt
,Al Wehda,Al Orobah,2,1,1,1-1,2024-25_sa1.txt
18.55,Al Riyadh,Al Kholood,3,1,1,1-0,2024-25_sa1.txt
21.00,Al Khaleej,Al Shabab,0,1,2,0-0,2024-25_sa1.txt
,Al Ittihad,Al Taawoun,2,1,1,0-0,2024-25_sa1.txt
18.45,Al Taawoun,Al Khaleej,2,0,1,1-0,2024-25_sa1.txt
18.50,Damac FC,Al Okhdood,3,1,1,3-0,2024-25_sa1.txt
21.00,Al Nassr,Al Ahli SFC,1,1,X,0-0,2024-25_sa1.txt
18.20,Al Fateh,Al Ettifaq,1,2,2,0-1,2024-25_sa1.txt
18.45,Al Fayha,Al Ra'ed,0,5,2,0-3,2024-25_sa1.txt
21.00,Al Riyadh,Al Hilal,0,3,2,0-0,2024-25_sa1.txt
18.20,Al Qadsiah,Al Shabab,0,1,2,0-1,2024-25_sa1.txt
18.50,Al Kholood,Al Orobah,3,3,X,1-1,2024-25_sa1.txt
21.00,Al Ittihad,Al Wehda,7,1,1,3-1,2024-25_sa1.txt
18.40,Al Okhdood,Al Qadsiah,0,0,X,,2024-25_sa1.txt
18.55,Al Orobah,Al Fateh,1,0,1,0-0,2024-25_sa1.txt
21.00,Al Wehda,Al Kholood,0,1,2,0-0,2024-25_sa1.txt
18.15,Al Khaleej,Al Fayha,0,0,X,,2024-25_sa1.txt
18.55,Al Ahli SFC,Damac FC,4,2,1,1-1,2024-25_sa1.txt
21.00,Al Ettifaq,Al Nassr,0,3,2,0-1,2024-25_sa1.txt
18.30,Al Shabab,Al Taawoun,1,0,1,1-0,2024-25_sa1.txt
18.35,Al Ra'ed,Al Riyadh,1,2,2,0-0,2024-25_sa1.txt
21.00,Al Hilal,Al Ittihad,3,1,1,3-0,2024-25_sa1.txt
18.20,Al Nassr,Al Wehda,2,0,1,1-0,2024-25_sa1.txt
21.00,Al Qadsiah,Al Ahli SFC,1,0,1,1-0,2024-25_sa1.txt
,Al Ittihad,Al Khaleej,4,1,1,0-1,2024-25_sa1.txt
18.10,Al Fateh,Al Okhdood,2,4,2,2-1,2024-25_sa1.txt
18.45,Al Orobah,Damac FC,1,0,1,1-0,2024-25_sa1.txt
21.00,Al Kholood,Al Hilal,2,4,2,0-3,2024-25_sa1.txt
18.25,Al Fayha,Al Riyadh,2,0,1,2-0,2024-25_sa1.txt
21.00,Al Taawoun,Al Ettifaq,1,1,X,1-0,2024-25_sa1.txt
,Al Shabab,Al Ra'ed,2,1,1,1-1,2024-25_sa1.txt
18.00,Al Ettifaq,Al Ra'ed,0,1,2,0-1,2024-25_sa1.txt
21.00,Al Okhdood,Al Ittihad,1,2,2,0-0,2024-25_sa1.txt
,Al Wehda,Al Fayha,2,2,X,1-0,2024-25_sa1.txt
18.00,Al Khaleej,Al Kholood,1,0,1,0-0,2024-25_sa1.txt
18.15,Al Riyadh,Al Qadsiah,2,1,1,1-0,2024-25_sa1.txt
21.00,Damac FC,Al Shabab,1,0,1,0-0,2024-25_sa1.txt
18.15,Al Nassr,Al Orobah,3,0,1,2-0,2024-25_sa1.txt
18.25,Al Taawoun,Al Fateh,2,0,1,1-0,2024-25_sa1.txt
21.00,Al Ahli SFC,Al Hilal,1,2,2,1-0,2024-25_sa1.txt
17.45,Al Khaleej,Al Ahli SFC,0,3,2,0-0,2024-25_sa1.txt
18.00,Al Hilal,Al Fayha,3,0,1,1-0,2024-25_sa1.txt
21.00,Al Shabab,Al Nassr,1,2,2,0-0,2024-25_sa1.txt
18.05,Al Ra'ed,Al Wehda,2,2,X,0-0,2024-25_sa1.txt
18.20,Damac FC,Al Taawoun,2,2,X,0-1,2024-25_sa1.txt
21.00,Al Ittihad,Al Qadsiah,3,1,1,1-1,2024-25_sa1.txt
17.45,Al Fateh,Al Kholood,1,1,X,0-1,2024-25_sa1.txt
18.20,Al Okhdood,Al Riyadh,0,1,2,0-0,2024-25_sa1.txt
21.00,Al Ettifaq,Al Orobah,2,3,2,2-1,2024-25_sa1.txt
18.15,Al Orobah,Al Shabab,0,3,2,0-1,2024-25_sa1.txt
21.00,Al Riyadh,Al Ittihad,0,1,2,0-1,2024-25_sa1.txt
,Al Wehda,Al Khaleej,1,3,2,1-0,2024-25_sa1.txt
17.40,Al Qadsiah,Damac FC,2,1,1,1-0,2024-25_sa1.txt
18.05,Al Kholood,Al Nassr,3,3,X,2-2,2024-25_sa1.txt
21.00,Al Ahli SFC,Al Okhdood,1,1,X,0-1,2024-25_sa1.txt
18.00,Al Fayha,Al Ettifaq,1,1,X,1-0,2024-25_sa1.txt
18.05,Al Ra'ed,Al Fateh,2,1,1,1-0,2024-25_sa1.txt
21.00,Al Hilal,Al Taawoun,2,0,1,1-0,2024-25_sa1.txt
17.50,Al Shabab,Al Wehda,3,1,1,1-0,2024-25_sa1.txt
18.10,Al Okhdood,Al Orobah,4,0,1,1-0,2024-25_sa1.txt
21.00,Al Ittihad,Al Ahli SFC,1,0,1,1-0,2024-25_sa1.txt
17.35,Al Khaleej,Al Ra'ed,4,0,1,2-0,2024-25_sa1.txt
18.15,Damac FC,Al Riyadh,2,2,X,1-1,2024-25_sa1.txt
21.00,Al Nassr,Al Hilal,1,1,X,1-0,2024-25_sa1.txt
17.35,Al Fateh,Al Fayha,1,1,X,0-1,2024-25_sa1.txt
17.55,Al Taawoun,Al Kholood,1,1,X,1-1,2024-25_sa1.txt
21.00,Al Ettifaq,Al Qadsiah,0,2,2,0-2,2024-25_sa1.txt
17.30,Al Qadsiah,Al Fayha,2,0,1,2-0,2024-25_sa1.txt
18.00,Al Kholood,Al Shabab,0,2,2,0-0,2024-25_sa1.txt
20.00,Al Orobah,Al Ittihad,0,2,2,0-1,2024-25_sa1.txt
17.45,Al Hilal,Al Ettifaq,3,1,1,1-0,2024-25_sa1.txt
18.20,Al Ahli SFC,Al Ra'ed,2,0,1,0-0,2024-25_sa1.txt
20.00,Al Riyadh,Al Nassr,0,1,2,0-1,2024-25_sa1.txt
17.30,Al Fateh,Al Khaleej,1,2,2,0-0,2024-25_sa1.txt
18.15,Al Wehda,Damac FC,2,3,2,0-1,2024-25_sa1.txt
20.00,Al Taawoun,Al Okhdood,1,0,1,0-0,2024-25_sa1.txt
17.50,Al Fayha,Al Ahli SFC,0,1,2,0-1,2024-25_sa1.txt
18.05,Al Okhdood,Al Shabab,1,1,X,0-1,2024-25_sa1.txt
20.00,Al Nassr,Al Qadsiah,1,2,2,1-1,2024-25_sa1.txt
16.20,Al Ra'ed,Al Orobah,3,1,1,2-1,2024-25_sa1.txt
18.15,Al Wehda,Al Taawoun,1,0,1,1-0,2024-25_sa1.txt
20.00,Al Khaleej,Al Hilal,3,2,1,1-2,2024-25_sa1.txt
16.40,Damac FC,Al Kholood,2,1,1,1-1,2024-25_sa1.txt
17.40,Al Riyadh,Al Ettifaq,0,0,X,,2024-25_sa1.txt
20.00,Al Ittihad,Al Fateh,2,0,1,0-0,2024-25_sa1.txt
17.45,Al Fayha,Al Orobah,0,1,2,0-0,2024-25_sa1.txt
18.05,Al Okhdood,Al Kholood,1,2,2,0-1,2024-25_sa1.txt
20.00,Al Fateh,Al Riyadh,1,2,2,1-0,2024-25_sa1.txt
17.25,Al Qadsiah,Al Khaleej,1,0,1,0-0,2024-25_sa1.txt
17.40,Al Nassr,Damac FC,2,0,1,1-0,2024-25_sa1.txt
20.00,Al Ahli SFC,Al Wehda,1,0,1,0-0,2024-25_sa1.txt
16.20,Al Ra'ed,Al Taawoun,0,1,2,0-0,2024-25_sa1.txt
17.25,Al Ettifaq,Al Ittihad,0,4,2,0-1,2024-25_sa1.txt
20.00,Al Shabab,Al Hilal,1,2,2,1-1,2024-25_sa1.txt
18.10,Damac FC,Al Fayha,2,2,X,1-0,2024-25_sa1.txt
18.15,Al Wehda,Al Okhdood,2,3,2,1-3,2024-25_sa1.txt
20.00,Al Shabab,Al Fateh,2,2,X,0-0,2024-25_sa1.txt
17.50,Al Kholood,Al Qadsiah,0,3,2,0-1,2024-25_sa1.txt
17.55,Al Orobah,Al Riyadh,0,1,2,0-0,2024-25_sa1.txt
20.00,Al Ittihad,Al Nassr,2,1,1,0-0,2024-25_sa1.txt
15.55,Al Khaleej,Al Ettifaq,1,2,2,1-1,2024-25_sa1.txt
20.00,Al Taawoun,Al Ahli SFC,2,4,2,2-1,2024-25_sa1.txt
,Al Hilal,Al Ra'ed,3,2,1,1-1,2024-25_sa1.txt
17.45,Al Fateh,Al Wehda,1,2,2,0-2,2024-25_sa1.txt
18.00,Al Riyadh,Al Khaleej,2,2,X,0-1,2024-25_sa1.txt
20.00,Al Nassr,Al Okhdood,3,1,1,2-1,2024-25_sa1.txt
17.40,Al Ettifaq,Al Kholood,2,3,2,1-1,2024-25_sa1.txt
18.05,Al Ra'ed,Damac FC,0,2,2,0-1,2024-25_sa1.txt
20.00,Al Ahli SFC,Al Shabab,3,2,1,2-0,2024-25_sa1.txt
16.45,Al Orobah,Al Hilal,0,5,2,0-1,2024-25_sa1.txt
17.40,Al Qadsiah,Al Taawoun,0,3,2,0-2,2024-25_sa1.txt
20.00,Al Fayha,Al Ittihad,1,1,X,0-0,2024-25_sa1.txt
18.05,Al Shabab,Al Riyadh,2,1,1,0-0,2024-25_sa1.txt
18.30,Damac FC,Al Ettifaq,0,3,2,0-2,2024-25_sa1.txt
20.00,Al Kholood,Al Ahli SFC,1,0,1,0-0,2024-25_sa1.txt
16.55,Al Okhdood,Al Fayha,1,2,2,1-1,2024-25_sa1.txt
18.05,Al Hilal,Al Fateh,9,0,1,4-0,2024-25_sa1.txt
20.00,Al Ittihad,Al Ra'ed,4,1,1,2-0,2024-25_sa1.txt
16.15,Al Khaleej,Al Orobah,3,0,1,2-0,2024-25_sa1.txt
18.40,Al Wehda,Al Qadsiah,0,3,2,0-1,2024-25_sa1.txt
20.00,Al Taawoun,Al Nassr,1,1,X,1-0,2024-25_sa1.txt
18.10,Al Fayha,Al Kholood,1,0,1,0-0,2024-25_sa1.txt
18.15,Al Ra'ed,Al Okhdood,0,2,2,0-1,2024-25_sa1.txt
20.00,Al Ettifaq,Al Ahli SFC,1,2,2,0-1,2024-25_sa1.txt
17.50,Al Khaleej,Al Nassr,1,3,2,0-0,2024-25_sa1.txt
18.10,Al Riyadh,Al Taawoun,1,0,1,0-0,2024-25_sa1.txt
20.00,Al Hilal,Al Wehda,4,1,1,2-0,2024-25_sa1.txt
17.00,Al Orobah,Al Qadsiah,0,2,2,0-2,2024-25_sa1.txt
17.55,Al Fateh,Damac FC,2,1,1,0-0,2024-25_sa1.txt
20.00,Al Ittihad,Al Shabab,2,1,1,2-1,2024-25_sa1.txt
16.50,Al Kholood,Al Ra'ed,2,1,1,0-1,2024-25_sa1.txt
20.00,Al Wehda,Al Ettifaq,2,2,X,1-0,2024-25_sa1.txt
18.20,Al Taawoun,Al Orobah,0,0,X,,2024-25_sa1.txt
18.30,Al Okhdood,Al Khaleej,1,2,2,0-0,2024-25_sa1.txt
18.45,Al Ahli SFC,Al Riyadh,5,0,1,1-0,2024-25_sa1.txt
20.00,Al Nassr,Al Fateh,3,1,1,1-0,2024-25_sa1.txt
17.05,Damac FC,Al Ittihad,2,1,1,1-1,2024-25_sa1.txt
18.10,Al Shabab,Al Fayha,2,1,1,1-0,2024-25_sa1.txt
20.00,Al Qadsiah,Al Hilal,2,1,1,1-0,2024-25_sa1.txt
17.00,Al Orobah,Al Ahli SFC,0,2,2,0-1,2024-25_sa1.txt
18.15,Al Riyadh,Al Wehda,1,0,1,0-0,2024-25_sa1.txt
20.00,Al Ra'ed,Al Nassr,1,2,2,0-1,2024-25_sa1.txt
16.45,Al Fayha,Al Taawoun,0,0,X,,2024-25_sa1.txt
18.15,Al Hilal,Al Okhdood,4,0,1,3-0,2024-25_sa1.txt
20.00,Al Ettifaq,Al Shabab,3,1,1,2-1,2024-25_sa1.txt
16.25,Al Khaleej,Damac FC,1,1,X,1-1,2024-25_sa1.txt
18.00,Al Fateh,Al Qadsiah,1,1,X,0-1,2024-25_sa1.txt
20.00,Al Ittihad,Al Kholood,4,3,1,2-2,2024-25_sa1.txt
18.05,Al Qadsiah,Al Ra'ed,2,0,1,1-0,2024-25_sa1.txt
18.20,Al Shabab,Al Khaleej,5,1,1,1-1,2024-25_sa1.txt
20.00,Al Taawoun,Al Ittihad,1,2,2,1-1,2024-25_sa1.txt
16.05,Al Orobah,Al Wehda,4,2,1,2-1,2024-25_sa1.txt
18.20,Al Nassr,Al Fayha,3,0,1,1-0,2024-25_sa1.txt
20.00,Al Ahli SFC,Al Fateh,2,0,1,1-0,2024-25_sa1.txt
16.55,Al Kholood,Al Riyadh,3,2,1,0-1,2024-25_sa1.txt
18.40,Al Okhdood,Al Ettifaq,0,2,2,0-1,2024-25_sa1.txt
20.00,Damac FC,Al Hilal,2,2,X,0-1,2024-25_sa1.txt
17.10,Al Okhdood,Damac FC,0,0,X,,2024-25_sa1.txt
18.25,Al Shabab,Al Qadsiah,2,3,2,1-0,2024-25_sa1.txt
20.30,Al Ahli SFC,Al Nassr,2,3,2,0-1,2024-25_sa1.txt
17.10,Al Orobah,Al Kholood,2,0,1,0-0,2024-25_sa1.txt
18.05,Al Ettifaq,Al Fateh,1,2,2,1-2,2024-25_sa1.txt
20.00,Al Hilal,Al Riyadh,1,1,X,0-1,2024-25_sa1.txt
16.35,Al Khaleej,Al Taawoun,0,1,2,0-0,2024-25_sa1.txt
18.30,Al Ra'ed,Al Fayha,0,2,2,0-0,2024-25_sa1.txt
20.30,Al Wehda,Al Ittihad,1,4,2,1-2,2024-25_sa1.txt
18.15,Al Fateh,Al Orobah,1,0,1,1-0,2024-25_sa1.txt
18.30,Al Fayha,Al Khaleej,0,0,X,,2024-25_sa1.txt
20.00,Al Riyadh,Al Ra'ed,1,3,2,0-2,2024-25_sa1.txt
17.20,Damac FC,Al Ahli SFC,0,2,2,0-1,2024-25_sa1.txt
18.10,Al Qadsiah,Al Okhdood,2,0,1,1-0,2024-25_sa1.txt
20.00,Al Nassr,Al Ettifaq,2,3,2,0-0,2024-25_sa1.txt
16.00,Al Kholood,Al Wehda,1,0,1,1-0,2024-25_sa1.txt
17.05,Al Taawoun,Al Shabab,2,2,X,1-2,2024-25_sa1.txt
21.15,Al Ittihad,Al Hilal,4,1,1,2-1,2024-25_sa1.txt
17.15,Al Okhdood,Al Fateh,1,3,2,1-1,2024-25_sa1.txt
18.50,Damac FC,Al Orobah,1,2,2,0-0,2024-25_sa1.txt
17.10,Al Ra'ed,Al Shabab,1,2,2,0-1,2024-25_sa1.txt
18.30,Al Hilal,Al Kholood,5,1,1,4-0,2024-25_sa1.txt
20.00,Al Wehda,Al Nassr,0,2,2,0-0,2024-25_sa1.txt
20.30,Al Ahli SFC,Al Qadsiah,4,1,1,3-0,2024-25_sa1.txt
18.15,Al Ettifaq,Al Taawoun,1,0,1,0-0,2024-25_sa1.txt
18.30,Al Riyadh,Al Fayha,0,0,X,,2024-25_sa1.txt
20.00,Al Khaleej,Al Ittihad,1,1,X,0-0,2024-25_sa1.txt
22.00,Al Orobah,Al Nassr,2,1,1,1-0,2024-25_sa1.txt
,Al Hilal,Al Ahli SFC,2,3,2,0-0,2024-25_sa1.txt
,Al Shabab,Damac FC,2,0,1,0-0,2024-25_sa1.txt
22.00,Al Fayha,Al Wehda,0,0,X,,2024-25_sa1.txt
,Al Kholood,Al Khaleej,2,1,1,2-1,2024-25_sa1.txt
,Al Fateh,Al Taawoun,1,2,2,1-0,2024-25_sa1.txt
22.00,Al Ra'ed,Al Ettifaq,1,1,X,0-0,2024-25_sa1.txt
,Al Ittihad,Al Okhdood,1,1,X,1-0,2024-25_sa1.txt
,Al Qadsiah,Al Riyadh,1,0,1,0-0,2024-25_sa1.txt
22.00,Al Qadsiah,Al Ittihad,1,1,X,0-0,2024-25_sa1.txt
,Al Kholood,Al Fateh,2,1,1,1-0,2024-25_sa1.txt
23.00,Al Wehda,Al Ra'ed,3,1,1,1-1,2024-25_sa1.txt
22.00,Al Ahli SFC,Al Khaleej,2,2,X,1-2,2024-25_sa1.txt
,Al Fayha,Al Hilal,0,2,2,0-1,2024-25_sa1.txt
,Al Nassr,Al Shabab,2,2,X,2-1,2024-25_sa1.txt
22.00,Al Riyadh,Al Okhdood,1,0,1,0-0,2024-25_sa1.txt
,Al Orobah,Al Ettifaq,1,2,2,0-1,2024-25_sa1.txt
,Al Taawoun,Damac FC,3,0,1,3-0,2024-25_sa1.txt
22.00,Al Ittihad,Al Riyadh,2,1,1,0-0,2024-25_sa1.txt
,Al Shabab,Al Orobah,6,0,1,2-0,2024-25_sa1.txt
,Al Fateh,Al Ra'ed,3,1,1,1-0,2024-25_sa1.txt
22.00,Al Khaleej,Al Wehda,0,2,2,0-1,2024-25_sa1.txt
,Damac FC,Al Qadsiah,1,0,1,0-0,2024-25_sa1.txt
,Al Nassr,Al Kholood,3,1,1,3-0,2024-25_sa1.txt
22.00,Al Ettifaq,Al Fayha,0,2,2,0-1,2024-25_sa1.txt
,Al Taawoun,Al Hilal,0,2,2,0-1,2024-25_sa1.txt
,Al Okhdood,Al Ahli SFC,2,1,1,0-1,2024-25_sa1.txt
17.30,Al Kholood,Al Taawoun,0,2,2,0-0,2024-25_sa1.txt
17.45,Al Orobah,Al Okhdood,0,1,2,0-1,2024-25_sa1.txt
21.00,Al Hilal,Al Nassr,1,3,2,0-1,2024-25_sa1.txt
17.05,Al Qadsiah,Al Ettifaq,1,1,X,1-0,2024-25_sa1.txt
17.15,Al Riyadh,Damac FC,0,0,X,,2024-25_sa1.txt
21.00,Al Ahli SFC,Al Ittihad,2,2,X,0-0,2024-25_sa1.txt
17.25,Al Fayha,Al Fateh,1,1,X,0-1,2024-25_sa1.txt
19.00,Al Ra'ed,Al Khaleej,1,2,2,1-0,2024-25_sa1.txt
21.00,Al Wehda,Al Shabab,1,3,2,0-1,2024-25_sa1.txt
18.50,Al Shabab,Al Kholood,2,0,1,2-0,2024-25_sa1.txt
19.00,Damac FC,Al Wehda,0,1,2,0-0,2024-25_sa1.txt
21.00,Al Ittihad,Al Orobah,2,0,1,1-0,2024-25_sa1.txt
18.55,Al Okhdood,Al Taawoun,1,1,X,1-0,2024-25_sa1.txt
19.00,Al Ra'ed,Al Ahli SFC,0,2,2,0-1,2024-25_sa1.txt
21.00,Al Ettifaq,Al Hilal,1,1,X,1-0,2024-25_sa1.txt
18.35,Al Khaleej,Al Fateh,1,5,2,1-1,2024-25_sa1.txt
19.00,Al Fayha,Al Qadsiah,2,1,1,1-0,2024-25_sa1.txt
21.00,Al Nassr,Al Riyadh,2,1,1,0-1,2024-25_sa1.txt
18.40,Al Ettifaq,Al Riyadh,1,0,1,0-0,2024-25_sa1.txt
18.50,Al Hilal,Al Khaleej,3,0,1,1-0,2024-25_sa1.txt
,Al Shabab,Al Okhdood,0,0,X,,2024-25_sa1.txt
21.00,Al Fateh,Al Ittihad,2,0,1,1-0,2024-25_sa1.txt
19.05,Al Kholood,Damac FC,1,3,2,0-2,2024-25_sa1.txt
19.20,Al Ahli SFC,Al Fayha,5,0,1,3-0,2024-25_sa1.txt
