time,home_team,away_team,home_score,away_score,result,ht_score,source_file
15.00,Celtic FC,Livingston FC,3,1,1,2-0,2018-19_sco1.txt
,Hamilton Academical,Heart of Midlothian,1,4,2,1-1,2018-19_sco1.txt
,St. Mirren FC,Dundee FC,2,1,1,1-1,2018-19_sco1.txt
,Kilmarnock FC,St. Johnstone FC,2,0,1,0-0,2018-19_sco1.txt
13.00,Aberdeen FC,Rangers FC,1,1,X,0-1,2018-19_sco1.txt
15.00,Hibernian FC,Motherwell FC,3,0,1,2-0,2018-19_sco1.txt
12.30,Heart of Midlothian,Celtic FC,1,0,1,0-0,2018-19_sco1.txt
15.00,Dundee FC,Aberdeen FC,0,1,2,0-0,2018-19_sco1.txt
,Livingston FC,Kilmarnock FC,0,0,X,,2018-19_sco1.txt
,Motherwell FC,Hamilton Academical,0,1,2,0-0,2018-19_sco1.txt
15.00,Rangers FC,St. Mirren FC,2,0,1,2-0,2018-19_sco1.txt
,St. Johnstone FC,Hibernian FC,1,1,X,1-0,2018-19_sco1.txt
15.00,Hibernian FC,Aberdeen FC,1,1,X,0-1,2018-19_sco1.txt
,Kilmarnock FC,Heart of Midlothian,0,1,2,0-0,2018-19_sco1.txt
,St. Johnstone FC,Dundee FC,1,0,1,0-0,2018-19_sco1.txt
,St. Mirren FC,Livingston FC,0,2,2,0-2,2018-19_sco1.txt
12.15,Motherwell FC,Rangers FC,3,3,X,2-3,2018-19_sco1.txt
15.00,Celtic FC,Hamilton Academical,1,0,1,0-0,2018-19_sco1.txt
15.00,Aberdeen FC,Kilmarnock FC,0,2,2,0-1,2018-19_sco1.txt
,Dundee FC,Motherwell FC,1,3,2,0-0,2018-19_sco1.txt
,Hamilton Academical,St. Johnstone FC,1,2,2,0-2,2018-19_sco1.txt
,Heart of Midlothian,St. Mirren FC,4,1,1,4-1,2018-19_sco1.txt
,Livingston FC,Hibernian FC,2,1,1,0-0,2018-19_sco1.txt
12.00,Celtic FC,Rangers FC,1,0,1,0-0,2018-19_sco1.txt
19.45,St. Mirren FC,Celtic FC,0,0,X,,2018-19_sco1.txt
15.00,Hibernian FC,Kilmarnock FC,3,2,1,2-2,2018-19_sco1.txt
,Livingston FC,Hamilton Academical,1,0,1,1-0,2018-19_sco1.txt
,Motherwell FC,Heart of Midlothian,0,1,2,0-1,2018-19_sco1.txt
,Rangers FC,Dundee FC,4,0,1,3-0,2018-19_sco1.txt
,St. Johnstone FC,Aberdeen FC,1,1,X,1-0,2018-19_sco1.txt
15.00,Aberdeen FC,Motherwell FC,1,0,1,1-0,2018-19_sco1.txt
,Dundee FC,Hibernian FC,0,3,2,0-0,2018-19_sco1.txt
,Hamilton Academical,St. Mirren FC,3,0,1,2-0,2018-19_sco1.txt
,Heart of Midlothian,Livingston FC,0,0,X,,2018-19_sco1.txt
12.30,Kilmarnock FC,Celtic FC,2,1,1,0-1,2018-19_sco1.txt
15.00,Rangers FC,St. Johnstone FC,5,1,1,2-0,2018-19_sco1.txt
15.00,Celtic FC,Aberdeen FC,1,0,1,0-0,2018-19_sco1.txt
,Hamilton Academical,Dundee FC,0,2,2,0-1,2018-19_sco1.txt
,Heart of Midlothian,St. Johnstone FC,2,1,1,1-0,2018-19_sco1.txt
,Kilmarnock FC,Motherwell FC,3,1,1,2-1,2018-19_sco1.txt
,St. Mirren FC,Hibernian FC,0,1,2,0-1,2018-19_sco1.txt
13.30,Livingston FC,Rangers FC,1,0,1,1-0,2018-19_sco1.txt
15.00,Aberdeen FC,St. Mirren FC,4,1,1,3-0,2018-19_sco1.txt
,Dundee FC,Kilmarnock FC,1,2,2,1-1,2018-19_sco1.txt
,Hibernian FC,Hamilton Academical,6,0,1,3-0,2018-19_sco1.txt
,Motherwell FC,Livingston FC,1,1,X,1-0,2018-19_sco1.txt
15.00,Rangers FC,Heart of Midlothian,3,1,1,3-0,2018-19_sco1.txt
15.30,St. Johnstone FC,Celtic FC,0,6,2,0-5,2018-19_sco1.txt
15.00,Celtic FC,Hibernian FC,4,2,1,2-0,2018-19_sco1.txt
,Heart of Midlothian,Aberdeen FC,2,1,1,2-0,2018-19_sco1.txt
,Livingston FC,Dundee FC,4,0,1,2-0,2018-19_sco1.txt
,Motherwell FC,St. Johnstone FC,0,1,2,0-0,2018-19_sco1.txt
,St. Mirren FC,Kilmarnock FC,1,2,2,1-0,2018-19_sco1.txt
13.30,Hamilton Academical,Rangers FC,1,4,2,0-1,2018-19_sco1.txt
19.45,Dundee FC,Heart of Midlothian,0,3,2,0-2,2018-19_sco1.txt
15.00,Kilmarnock FC,Hamilton Academical,1,1,X,1-1,2018-19_sco1.txt
,St. Johnstone FC,St. Mirren FC,2,0,1,0-0,2018-19_sco1.txt
19.45,Aberdeen FC,Livingston FC,3,2,1,1-2,2018-19_sco1.txt
19.45,Celtic FC,Motherwell FC,3,0,1,3-0,2018-19_sco1.txt
,Hibernian FC,Rangers FC,0,0,X,,2018-19_sco1.txt
19.45,Aberdeen FC,Hamilton Academical,3,0,1,2-0,2018-19_sco1.txt
,Dundee FC,Celtic FC,0,5,2,0-4,2018-19_sco1.txt
,Heart of Midlothian,Hibernian FC,0,0,X,,2018-19_sco1.txt
,Livingston FC,St. Johnstone FC,0,1,2,0-1,2018-19_sco1.txt
,Rangers FC,Kilmarnock FC,1,1,X,1-1,2018-19_sco1.txt
,St. Mirren FC,Motherwell FC,0,2,2,0-1,2018-19_sco1.txt
12.30,St. Mirren FC,Rangers FC,0,2,2,0-0,2018-19_sco1.txt
15.00,Celtic FC,Heart of Midlothian,5,0,1,3-0,2018-19_sco1.txt
,Hamilton Academical,Livingston FC,1,0,1,0-0,2018-19_sco1.txt
,Hibernian FC,St. Johnstone FC,0,1,2,0-0,2018-19_sco1.txt
,Motherwell FC,Dundee FC,1,0,1,0-0,2018-19_sco1.txt
12.15,Kilmarnock FC,Aberdeen FC,1,2,2,1-0,2018-19_sco1.txt
19.45,Aberdeen FC,Hibernian FC,1,0,1,1-0,2018-19_sco1.txt
15.00,Dundee FC,St. Mirren FC,1,1,X,1-1,2018-19_sco1.txt
,Heart of Midlothian,Kilmarnock FC,0,1,2,0-0,2018-19_sco1.txt
,St. Johnstone FC,Hamilton Academical,4,0,1,2-0,2018-19_sco1.txt
12.00,Livingston FC,Celtic FC,0,0,X,,2018-19_sco1.txt
15.00,Rangers FC,Motherwell FC,7,1,1,3-1,2018-19_sco1.txt
12.30,Hamilton Academical,Celtic FC,0,3,2,0-1,2018-19_sco1.txt
15.00,Hibernian FC,Dundee FC,2,2,X,2-1,2018-19_sco1.txt
,Motherwell FC,Aberdeen FC,3,0,1,2-0,2018-19_sco1.txt
,Rangers FC,Livingston FC,3,0,1,1-0,2018-19_sco1.txt
,St. Johnstone FC,Kilmarnock FC,0,0,X,,2018-19_sco1.txt
,St. Mirren FC,Heart of Midlothian,2,0,1,0-0,2018-19_sco1.txt
15.00,Kilmarnock FC,Hibernian FC,3,0,1,2-0,2018-19_sco1.txt
,Livingston FC,Motherwell FC,2,0,1,1-0,2018-19_sco1.txt
,St. Mirren FC,Hamilton Academical,1,3,2,1-2,2018-19_sco1.txt
12.00,Heart of Midlothian,Rangers FC,1,2,2,1-2,2018-19_sco1.txt
19.45,Aberdeen FC,Dundee FC,5,1,1,2-0,2018-19_sco1.txt
19.45,Celtic FC,St. Johnstone FC,2,0,1,0-0,2018-19_sco1.txt
19.45,Dundee FC,Hamilton Academical,4,0,1,1-0,2018-19_sco1.txt
,Hibernian FC,St. Mirren FC,2,2,X,0-1,2018-19_sco1.txt
,Kilmarnock FC,Livingston FC,2,0,1,2-0,2018-19_sco1.txt
,Motherwell FC,Celtic FC,1,1,X,0-1,2018-19_sco1.txt
,Rangers FC,Aberdeen FC,0,1,2,0-1,2018-19_sco1.txt
,St. Johnstone FC,Heart of Midlothian,2,2,X,1-2,2018-19_sco1.txt
15.00,Aberdeen FC,St. Johnstone FC,0,2,2,0-0,2018-19_sco1.txt
,Celtic FC,Kilmarnock FC,5,1,1,4-0,2018-19_sco1.txt
,Hamilton Academical,Hibernian FC,0,1,2,0-0,2018-19_sco1.txt
,Heart of Midlothian,Motherwell FC,1,0,1,1-0,2018-19_sco1.txt
,Livingston FC,St. Mirren FC,3,1,1,0-1,2018-19_sco1.txt
13.30,Dundee FC,Rangers FC,1,1,X,1-1,2018-19_sco1.txt
19.45,Livingston FC,Heart of Midlothian,5,0,1,0-0,2018-19_sco1.txt
15.00,Kilmarnock FC,Dundee FC,3,1,1,0-0,2018-19_sco1.txt
,St. Johnstone FC,Motherwell FC,1,2,2,0-2,2018-19_sco1.txt
,St. Mirren FC,Aberdeen FC,1,2,2,1-1,2018-19_sco1.txt
12.30,Hibernian FC,Celtic FC,2,0,1,1-0,2018-19_sco1.txt
15.00,Rangers FC,Hamilton Academical,1,0,1,1-0,2018-19_sco1.txt
15.00,Aberdeen FC,Heart of Midlothian,2,0,1,1-0,2018-19_sco1.txt
,Celtic FC,Dundee FC,3,0,1,1-0,2018-19_sco1.txt
,Hamilton Academical,Kilmarnock FC,1,1,X,1-1,2018-19_sco1.txt
,Hibernian FC,Livingston FC,1,1,X,0-0,2018-19_sco1.txt
,Motherwell FC,St. Mirren FC,0,1,2,0-0,2018-19_sco1.txt
