home_team,away_team,home_score,away_score,result,city,country,source_file
Saint Kitts and Nevis,Trinidad and Tobago,4,1,1,Basseterre,Saint Kitts and Nevis,1998_skn_football_festival.txt
Jamaica,Martinique,0,0,X,Basseterre,Saint Kitts and Nevis,2001_skn_football_festival.txt
Saint Kitts and Nevis,Martinique,4,2,1,Basseterre,Saint Kitts and Nevis,2001_skn_football_festival.txt
Saint Kitts and Nevis,Jamaica,0,0,X,Basseterre,Saint Kitts and Nevis,2001_skn_football_festival.txt
Barbados,Trinidad and Tobago,0,0,X,Basseterre,Saint Kitts and Nevis,2002_skn_football_festival.txt
Saint Kitts and Nevis,Taiwan,3,0,1,Basseterre,Saint Kitts and Nevis,2002_skn_football_festival.txt
Saint Kitts and Nevis,Barbados,3,0,1,Basseterre,Saint Kitts and Nevis,2002_skn_football_festival.txt
Saint Kitts and Nevis,Trinidad and Tobago,2,1,1,Basseterre,Saint Kitts and Nevis,2002_skn_football_festival.txt
Saint Kitts and Nevis,Haiti,1,0,1,Basseterre,Saint Kitts and Nevis,2003_skn_football_festival.txt
Haiti,Trinidad and Tobago,2,0,1,Basseterre,Saint Kitts and Nevis,2003_skn_football_festival.txt
Saint Kitts and Nevis,Trinidad and Tobago,1,2,2,Basseterre,Saint Kitts and Nevis,2003_skn_football_festival.txt
