time,home_team,away_team,home_score,away_score,result,ht_score,source_file
18.00,MFK Skalica,Zlaté Moravce,2,0,1,0-0,2023-24_sk1.txt
,MFK Zemplín Michalovce,FC DAC 1904,0,0,X,,2023-24_sk1.txt
,ice,Slovan Bratislava,0,0,X,,2023-24_sk1.txt
,omberok,MFK Skalica,2,1,1,0-1,2023-24_sk1.txt
18.00,Slovan Bratislava,Dukla Banská Bystrica,2,2,X,1-1,2023-24_sk1.txt
,ín,MFK Zemplín Michalovce,2,0,1,1-0,2023-24_sk1.txt
18.00,Zlaté Moravce,Spartak Trnava,1,1,X,0-0,2023-24_sk1.txt
20.30,MFK Zemplín Michalovce,Dukla Banská Bystrica,0,3,2,0-2,2023-24_sk1.txt
,eleziarne Podbrezová,Zlaté Moravce,1,0,1,1-0,2023-24_sk1.txt
,MFK Skalica,Slovan Bratislava,1,2,2,0-2,2023-24_sk1.txt
,omberok,FC DAC 1904,1,1,X,1-0,2023-24_sk1.txt
20.30,Dukla Banská Bystrica,MFK Skalica,2,1,1,1-1,2023-24_sk1.txt
20.30,Zlaté Moravce,FC DAC 1904,0,2,2,0-1,2023-24_sk1.txt
15.00,Slovan Bratislava,MFK Zemplín Michalovce,5,1,1,4-1,2023-24_sk1.txt
18.00,FC DAC 1904,Dukla Banská Bystrica,1,2,2,0-0,2023-24_sk1.txt
,ilina,Zlaté Moravce,3,2,1,1-2,2023-24_sk1.txt
20.30,MFK Skalica,Spartak Trnava,0,0,X,,2023-24_sk1.txt
,omberok,Slovan Bratislava,1,2,2,0-0,2023-24_sk1.txt
,ice,Zlaté Moravce,1,0,1,1-0,2023-24_sk1.txt
18.00,MFK Skalica,MFK Zemplín Michalovce,2,1,1,0-1,2023-24_sk1.txt
,ín,FC DAC 1904,1,0,1,0-0,2023-24_sk1.txt
,eleziarne Podbrezová,MFK Skalica,1,0,1,0-0,2023-24_sk1.txt
,MFK Zemplín Michalovce,Spartak Trnava,3,4,2,1-4,2023-24_sk1.txt
,ilina,Dukla Banská Bystrica,1,4,2,0-3,2023-24_sk1.txt
17.30,FC DAC 1904,Slovan Bratislava,3,1,1,2-0,2023-24_sk1.txt
18.00,Dukla Banská Bystrica,Zlaté Moravce,1,1,X,0-1,2023-24_sk1.txt
,MFK Skalica,FC DAC 1904,0,1,2,0-1,2023-24_sk1.txt
,ilina,MFK Skalica,5,3,1,2-0,2023-24_sk1.txt
,ín,Dukla Banská Bystrica,1,0,1,0-0,2023-24_sk1.txt
,omberok,MFK Zemplín Michalovce,0,0,X,,2023-24_sk1.txt
18.00,FC DAC 1904,Spartak Trnava,0,1,2,0-0,2023-24_sk1.txt
,Zlaté Moravce,Slovan Bratislava,0,3,2,0-1,2023-24_sk1.txt
,omberok,Zlaté Moravce,2,0,1,1-0,2023-24_sk1.txt
18.00,Dukla Banská Bystrica,Spartak Trnava,1,2,2,0-1,2023-24_sk1.txt
17.30,Zlaté Moravce,MFK Zemplín Michalovce,2,2,X,1-0,2023-24_sk1.txt
,ín,MFK Skalica,0,0,X,,2023-24_sk1.txt
,ice,Dukla Banská Bystrica,2,4,2,2-1,2023-24_sk1.txt
,ilina,FC DAC 1904,5,1,1,3-1,2023-24_sk1.txt
17.30,Spartak Trnava,Slovan Bratislava,1,2,2,0-0,2023-24_sk1.txt
,eleziarne Podbrezová,Dukla Banská Bystrica,2,2,X,1-2,2023-24_sk1.txt
16.30,FC DAC 1904,MFK Zemplín Michalovce,2,1,1,1-1,2023-24_sk1.txt
,Zlaté Moravce,MFK Skalica,0,1,2,0-0,2023-24_sk1.txt
,ín,Spartak Trnava,2,3,2,1-1,2023-24_sk1.txt
,ice,FC DAC 1904,0,3,2,0-2,2023-24_sk1.txt
15.00,Dukla Banská Bystrica,Slovan Bratislava,1,4,2,1-1,2023-24_sk1.txt
,Spartak Trnava,Zlaté Moravce,1,0,1,1-0,2023-24_sk1.txt
15.00,Dukla Banská Bystrica,MFK Zemplín Michalovce,3,1,1,2-0,2023-24_sk1.txt
15.00,Slovan Bratislava,MFK Skalica,1,0,1,0-0,2023-24_sk1.txt
,ice,Spartak Trnava,0,2,2,0-0,2023-24_sk1.txt
15.00,FC DAC 1904,Zlaté Moravce,3,0,1,2-0,2023-24_sk1.txt
,MFK Skalica,Dukla Banská Bystrica,0,3,2,0-2,2023-24_sk1.txt
,MFK Zemplín Michalovce,Slovan Bratislava,0,2,2,0-2,2023-24_sk1.txt
,eleziarne Podbrezová,Spartak Trnava,1,2,2,1-0,2023-24_sk1.txt
,ice,MFK Zemplín Michalovce,2,1,1,1-0,2023-24_sk1.txt
,Dukla Banská Bystrica,FC DAC 1904,0,0,X,,2023-24_sk1.txt
15.00,Spartak Trnava,MFK Skalica,2,0,1,0-0,2023-24_sk1.txt
,ilina,Spartak Trnava,1,0,1,1-0,2023-24_sk1.txt
,eleziarne Podbrezová,Slovan Bratislava,0,6,2,0-4,2023-24_sk1.txt
,MFK Zemplín Michalovce,MFK Skalica,1,1,X,1-1,2023-24_sk1.txt
,omberok,Dukla Banská Bystrica,2,1,1,0-1,2023-24_sk1.txt
,ín,Zlaté Moravce,4,1,1,2-0,2023-24_sk1.txt
15.00,Spartak Trnava,MFK Zemplín Michalovce,1,0,1,1-0,2023-24_sk1.txt
17.30,Slovan Bratislava,FC DAC 1904,2,1,1,1-1,2023-24_sk1.txt
,ilina,Slovan Bratislava,0,4,2,0-2,2023-24_sk1.txt
15.00,FC DAC 1904,MFK Skalica,1,0,1,0-0,2023-24_sk1.txt
,eleziarne Podbrezová,MFK Zemplín Michalovce,2,1,1,1-0,2023-24_sk1.txt
,omberok,Spartak Trnava,1,0,1,1-0,2023-24_sk1.txt
,Zlaté Moravce,Dukla Banská Bystrica,0,2,2,0-0,2023-24_sk1.txt
15.00,Slovan Bratislava,Zlaté Moravce,4,1,1,2-0,2023-24_sk1.txt
17.30,Spartak Trnava,FC DAC 1904,1,2,2,0-1,2023-24_sk1.txt
,ice,MFK Skalica,2,1,1,2-1,2023-24_sk1.txt
,ilina,MFK Zemplín Michalovce,1,1,X,0-1,2023-24_sk1.txt
,Spartak Trnava,Dukla Banská Bystrica,2,0,1,2-0,2023-24_sk1.txt
,ín,Slovan Bratislava,0,2,2,0-0,2023-24_sk1.txt
,eleziarne Podbrezová,FC DAC 1904,0,0,X,,2023-24_sk1.txt
,MFK Zemplín Michalovce,Zlaté Moravce,4,1,1,1-1,2023-24_sk1.txt
,Slovan Bratislava,Spartak Trnava,2,0,1,1-0,2023-24_sk1.txt
,omberok,Slovan Bratislava,0,1,2,0-1,2023-24_sk1.txt
17.30,Spartak Trnava,FC DAC 1904,3,0,1,1-0,2023-24_sk1.txt
17.30,Slovan Bratislava,Spartak Trnava,0,2,2,0-1,2023-24_sk1.txt
,omberok,FC DAC 1904,1,1,X,0-1,2023-24_sk1.txt
,ilina,Slovan Bratislava,0,3,2,0-1,2023-24_sk1.txt
,omberok,Spartak Trnava,2,1,1,0-0,2023-24_sk1.txt
15.30,Slovan Bratislava,FC DAC 1904,0,0,X,,2023-24_sk1.txt
,eleziarne Podbrezová,Spartak Trnava,0,2,2,0-1,2023-24_sk1.txt
17.30,Spartak Trnava,Slovan Bratislava,1,2,2,1-0,2023-24_sk1.txt
,ilina,Spartak Trnava,2,0,1,1-0,2023-24_sk1.txt
17.30,FC DAC 1904,Slovan Bratislava,5,3,1,3-0,2023-24_sk1.txt
,eleziarne Podbrezová,FC DAC 1904,0,3,2,0-0,2023-24_sk1.txt
,eleziarne Podbrezová,Slovan Bratislava,2,1,1,1-0,2023-24_sk1.txt
17.30,FC DAC 1904,Spartak Trnava,1,0,1,0-0,2023-24_sk1.txt
,ilina,FC DAC 1904,2,3,2,1-0,2023-24_sk1.txt
15.00,Zlaté Moravce,MFK Zemplín Michalovce,0,2,2,0-0,2023-24_sk1.txt
,MFK Skalica,Dukla Banská Bystrica,1,2,2,0-1,2023-24_sk1.txt
,ín,MFK Skalica,1,3,2,1-3,2023-24_sk1.txt
,Dukla Banská Bystrica,Zlaté Moravce,0,0,X,,2023-24_sk1.txt
,MFK Skalica,MFK Zemplín Michalovce,0,0,X,,2023-24_sk1.txt
,ice,Dukla Banská Bystrica,0,1,2,0-0,2023-24_sk1.txt
,MFK Skalica,Zlaté Moravce,4,1,1,2-1,2023-24_sk1.txt
18.00,Dukla Banská Bystrica,MFK Zemplín Michalovce,0,1,2,0-0,2023-24_sk1.txt
,ice,MFK Skalica,1,2,2,0-1,2023-24_sk1.txt
,ín,Zlaté Moravce,4,0,1,2-0,2023-24_sk1.txt
18.00,MFK Zemplín Michalovce,MFK Skalica,1,3,2,1-1,2023-24_sk1.txt
,Zlaté Moravce,Dukla Banská Bystrica,0,1,2,0-0,2023-24_sk1.txt
17.30,MFK Zemplín Michalovce,Dukla Banská Bystrica,2,0,1,0-0,2023-24_sk1.txt
,ice,Zlaté Moravce,0,2,2,0-1,2023-24_sk1.txt
,ín,MFK Zemplín Michalovce,1,0,1,1-0,2023-24_sk1.txt
,Zlaté Moravce,MFK Skalica,1,0,1,1-0,2023-24_sk1.txt
,ín,Dukla Banská Bystrica,2,0,1,1-0,2023-24_sk1.txt
,MFK Zemplín Michalovce,Zlaté Moravce,3,0,1,2-0,2023-24_sk1.txt
,Dukla Banská Bystrica,MFK Skalica,2,2,X,1-0,2023-24_sk1.txt
,ice,MFK Zemplín Michalovce,2,0,1,1-0,2023-24_sk1.txt
18.00,MFK Skalica,MFK Zemplín Michalovce,0,0,X,,2024-25_sk1.txt
20.30,KFC Komárno,Slovan Bratislava,1,4,2,1-2,2024-25_sk1.txt
,ice,FC DAC 1904,2,2,X,1-1,2024-25_sk1.txt
,omberok,Dukla Banská Bystrica,1,1,X,1-0,2024-25_sk1.txt
18.00,Dukla Banská Bystrica,MFK Skalica,1,1,X,1-0,2024-25_sk1.txt
18.00,FC DAC 1904,KFC Komárno,2,0,1,1-0,2024-25_sk1.txt
,MFK Zemplín Michalovce,Spartak Trnava,0,0,X,,2024-25_sk1.txt
,ilina,MFK Zemplín Michalovce,3,1,1,1-0,2024-25_sk1.txt
,Dukla Banská Bystrica,FC DAC 1904,1,0,1,0-0,2024-25_sk1.txt
16.00,MFK Skalica,Slovan Bratislava,2,3,2,1-2,2024-25_sk1.txt
18.00,Spartak Trnava,KFC Komárno,3,2,1,1-2,2024-25_sk1.txt
18.00,MFK Zemplín Michalovce,FC DAC 1904,0,3,2,0-1,2024-25_sk1.txt
,eleziarne Podbrezová,MFK Skalica,7,1,1,3-0,2024-25_sk1.txt
,ín,Dukla Banská Bystrica,2,2,X,1-1,2024-25_sk1.txt
,ice,KFC Komárno,0,1,2,0-0,2024-25_sk1.txt
,MFK Skalica,Spartak Trnava,1,2,2,0-0,2024-25_sk1.txt
18.00,Dukla Banská Bystrica,Slovan Bratislava,0,2,2,0-0,2024-25_sk1.txt
,omberok,MFK Zemplín Michalovce,2,2,X,0-1,2024-25_sk1.txt
18.00,KFC Komárno,MFK Zemplín Michalovce,1,3,2,0-1,2024-25_sk1.txt
,eleziarne Podbrezová,Dukla Banská Bystrica,1,1,X,0-1,2024-25_sk1.txt
,ín,FC DAC 1904,0,3,2,0-2,2024-25_sk1.txt
18.00,Dukla Banská Bystrica,KFC Komárno,2,3,2,1-1,2024-25_sk1.txt
,ilina,MFK Skalica,3,2,1,1-1,2024-25_sk1.txt
20.30,FC DAC 1904,Slovan Bratislava,1,2,2,0-0,2024-25_sk1.txt
,ice,Spartak Trnava,1,1,X,1-1,2024-25_sk1.txt
,MFK Skalica,FC DAC 1904,1,3,2,1-1,2024-25_sk1.txt
15.30,Spartak Trnava,Dukla Banská Bystrica,1,0,1,1-0,2024-25_sk1.txt
,eleziarne Podbrezová,MFK Zemplín Michalovce,4,1,1,2-0,2024-25_sk1.txt
20.00,MFK Zemplín Michalovce,Slovan Bratislava,2,4,2,1-1,2024-25_sk1.txt
20.30,FC DAC 1904,Spartak Trnava,0,0,X,,2024-25_sk1.txt
,ilina,KFC Komárno,2,1,1,1-0,2024-25_sk1.txt
,omberok,MFK Skalica,1,2,2,1-0,2024-25_sk1.txt
,MFK Skalica,KFC Komárno,3,0,1,1-0,2024-25_sk1.txt
,eleziarne Podbrezová,Spartak Trnava,0,4,2,0-1,2024-25_sk1.txt
,Dukla Banská Bystrica,MFK Zemplín Michalovce,1,0,1,1-0,2024-25_sk1.txt
,omberok,FC DAC 1904,1,1,X,1-1,2024-25_sk1.txt
,ín,MFK Skalica,2,1,1,0-0,2024-25_sk1.txt
18.00,Spartak Trnava,Slovan Bratislava,0,1,2,0-0,2024-25_sk1.txt
,ilina,Dukla Banská Bystrica,2,0,1,0-0,2024-25_sk1.txt
15.30,MFK Zemplín Michalovce,MFK Skalica,2,1,1,2-0,2024-25_sk1.txt
,ín,Spartak Trnava,2,3,2,1-1,2024-25_sk1.txt
18.00,Slovan Bratislava,KFC Komárno,6,0,1,4-0,2024-25_sk1.txt
,KFC Komárno,FC DAC 1904,0,1,2,0-0,2024-25_sk1.txt
,Spartak Trnava,MFK Zemplín Michalovce,3,1,1,0-1,2024-25_sk1.txt
,eleziarne Podbrezová,Slovan Bratislava,1,3,2,0-0,2024-25_sk1.txt
,MFK Skalica,Dukla Banská Bystrica,1,0,1,0-0,2024-25_sk1.txt
15.30,Slovan Bratislava,MFK Skalica,3,1,1,3-0,2024-25_sk1.txt
18.00,KFC Komárno,Spartak Trnava,1,2,2,0-0,2024-25_sk1.txt
,FC DAC 1904,Dukla Banská Bystrica,0,0,X,,2024-25_sk1.txt
,ice,Slovan Bratislava,1,1,X,0-0,2024-25_sk1.txt
15.30,FC DAC 1904,MFK Zemplín Michalovce,0,1,2,0-0,2024-25_sk1.txt
,ilina,Spartak Trnava,3,1,1,3-1,2024-25_sk1.txt
,omberok,KFC Komárno,1,3,2,1-2,2024-25_sk1.txt
,Spartak Trnava,MFK Skalica,2,0,1,2-0,2024-25_sk1.txt
,eleziarne Podbrezová,FC DAC 1904,0,0,X,,2024-25_sk1.txt
,Slovan Bratislava,Dukla Banská Bystrica,3,1,1,0-1,2024-25_sk1.txt
,omberok,Spartak Trnava,0,2,2,0-1,2024-25_sk1.txt
,MFK Zemplín Michalovce,KFC Komárno,0,0,X,,2024-25_sk1.txt
,ilina,Slovan Bratislava,2,1,1,0-0,2024-25_sk1.txt
