time,home_team,away_team,home_score,away_score,result,ht_score,source_file
20.15,FC Koper,Olimpija Ljubljana,2,1,1,0-0,2023-24_si1.txt
17.30,NK Radomlje,NK Maribor,0,4,2,0-2,2023-24_si1.txt
20.15,NK Aluminij,NK Celje,2,2,X,1-0,2023-24_si1.txt
17.30,FC Koper,NK Radomlje,1,0,1,1-0,2023-24_si1.txt
,ale,NK Bravo,1,1,X,0-1,2023-24_si1.txt
,NK Maribor,NK Aluminij,1,0,1,0-0,2023-24_si1.txt
17.30,NK Radomlje,Olimpija Ljubljana,0,2,2,0-0,2023-24_si1.txt
13.00,NK Bravo,NK Celje,0,2,2,0-1,2023-24_si1.txt
,Mura,NK Maribor,0,0,X,,2023-24_si1.txt
17.30,NK Aluminij,FC Koper,3,2,1,2-1,2023-24_si1.txt
20.15,NK Radomlje,NK Aluminij,0,2,2,0-2,2023-24_si1.txt
17.30,NK Maribor,NK Bravo,2,1,1,2-0,2023-24_si1.txt
17.30,NK Bravo,FC Koper,0,3,2,0-1,2023-24_si1.txt
,Mura,NK Radomlje,0,2,2,0-2,2023-24_si1.txt
20.15,NK Aluminij,Olimpija Ljubljana,4,5,2,2-1,2023-24_si1.txt
,ka,NK Maribor,2,2,X,0-1,2023-24_si1.txt
,ale,NK Celje,1,2,2,0-1,2023-24_si1.txt
17.30,Olimpija Ljubljana,NK Celje,2,4,2,1-2,2023-24_si1.txt
20.15,NK Radomlje,NK Bravo,1,2,2,0-2,2023-24_si1.txt
15.00,NK Bravo,NK Aluminij,2,0,1,1-0,2023-24_si1.txt
,ale,FC Koper,1,2,2,1-1,2023-24_si1.txt
,ka,NK Radomlje,1,1,X,1-1,2023-24_si1.txt
17.30,NK Celje,NK Maribor,2,0,1,1-0,2023-24_si1.txt
,Mura,Olimpija Ljubljana,1,3,2,1-1,2023-24_si1.txt
,Mura,NK Bravo,1,1,X,1-0,2023-24_si1.txt
20.15,Olimpija Ljubljana,NK Maribor,2,1,1,1-0,2023-24_si1.txt
20.15,FC Koper,NK Celje,1,1,X,0-1,2023-24_si1.txt
,ale,NK Aluminij,2,1,1,0-1,2023-24_si1.txt
13.00,NK Bravo,Olimpija Ljubljana,4,2,1,1-2,2023-24_si1.txt
17.30,NK Celje,NK Radomlje,1,0,1,1-0,2023-24_si1.txt
20.15,NK Maribor,FC Koper,0,1,2,0-1,2023-24_si1.txt
,ka,NK Bravo,2,0,1,1-0,2023-24_si1.txt
17.30,NK Celje,NK Aluminij,1,3,2,1-0,2023-24_si1.txt
17.30,NK Maribor,NK Radomlje,3,1,1,0-1,2023-24_si1.txt
20.15,Olimpija Ljubljana,FC Koper,1,1,X,0-1,2023-24_si1.txt
,Mura,NK Celje,0,2,2,0-0,2023-24_si1.txt
,ka,Olimpija Ljubljana,0,2,2,0-0,2023-24_si1.txt
17.30,NK Radomlje,FC Koper,1,1,X,0-0,2023-24_si1.txt
20.15,NK Aluminij,NK Maribor,1,0,1,1-0,2023-24_si1.txt
17.30,NK Celje,NK Bravo,2,1,1,1-1,2023-24_si1.txt
17.30,Olimpija Ljubljana,NK Radomlje,1,1,X,1-1,2023-24_si1.txt
20.15,FC Koper,NK Aluminij,4,1,1,3-0,2023-24_si1.txt
,ka,NK Celje,0,4,2,0-3,2023-24_si1.txt
,ale,Olimpija Ljubljana,0,2,2,0-0,2023-24_si1.txt
15.00,NK Bravo,NK Maribor,2,1,1,0-0,2023-24_si1.txt
17.30,NK Aluminij,NK Radomlje,0,2,2,0-1,2023-24_si1.txt
,Mura,FC Koper,2,2,X,1-0,2023-24_si1.txt
17.30,FC Koper,NK Bravo,1,1,X,1-0,2023-24_si1.txt
17.30,Olimpija Ljubljana,NK Aluminij,0,0,X,,2023-24_si1.txt
,ka,FC Koper,0,1,2,0-1,2023-24_si1.txt
,Mura,NK Aluminij,1,0,1,0-0,2023-24_si1.txt
,ale,NK Maribor,1,2,2,1-1,2023-24_si1.txt
13.00,NK Bravo,NK Radomlje,0,2,2,0-1,2023-24_si1.txt
15.00,NK Celje,Olimpija Ljubljana,0,1,2,0-1,2023-24_si1.txt
17.30,NK Aluminij,NK Bravo,1,1,X,0-1,2023-24_si1.txt
15.00,NK Maribor,NK Celje,0,1,2,0-0,2023-24_si1.txt
,ale,NK Radomlje,3,0,1,2-0,2023-24_si1.txt
15.00,NK Maribor,Olimpija Ljubljana,3,1,1,3-0,2023-24_si1.txt
,ka,NK Aluminij,0,1,2,0-0,2023-24_si1.txt
15.00,NK Celje,FC Koper,2,0,1,2-0,2023-24_si1.txt
17.30,NK Radomlje,NK Celje,0,4,2,0-0,2023-24_si1.txt
17.30,FC Koper,NK Maribor,3,3,X,2-2,2023-24_si1.txt
17.30,Olimpija Ljubljana,NK Bravo,1,1,X,0-0,2023-24_si1.txt
15.00,NK Aluminij,NK Celje,1,3,2,0-2,2023-24_si1.txt
15.00,FC Koper,Olimpija Ljubljana,2,4,2,0-3,2023-24_si1.txt
17.30,NK Radomlje,NK Maribor,2,2,X,1-2,2023-24_si1.txt
,ale,NK Bravo,1,3,2,0-2,2023-24_si1.txt
17.30,FC Koper,NK Radomlje,0,1,2,0-0,2023-24_si1.txt
17.30,NK Maribor,NK Aluminij,7,0,1,4-0,2023-24_si1.txt
17.30,NK Aluminij,FC Koper,1,2,2,1-1,2023-24_si1.txt
15.00,NK Radomlje,Olimpija Ljubljana,1,3,2,0-2,2023-24_si1.txt
13.00,NK Bravo,NK Celje,0,0,X,,2023-24_si1.txt
,Mura,NK Maribor,3,0,1,,2023-24_si1.txt
17.30,NK Radomlje,NK Aluminij,1,2,2,0-1,2023-24_si1.txt
17.30,NK Maribor,NK Bravo,2,1,1,1-1,2023-24_si1.txt
17.30,NK Aluminij,Olimpija Ljubljana,0,4,2,0-3,2023-24_si1.txt
,ka,NK Maribor,0,0,X,,2023-24_si1.txt
,ale,NK Celje,2,1,1,0-0,2023-24_si1.txt
