home_team,away_team,home_score,away_score,result,city,country,source_file
Fiji,Papua New Guinea,3,1,1,Suva,Fiji,1963_south_pacific_games.txt
Solomon Islands,Vanuatu,6,3,1,Suva,Fiji,1963_south_pacific_games.txt
Fiji,Solomon Islands,5,0,1,Suva,Fiji,1963_south_pacific_games.txt
New Caledonia,Tahiti,2,1,1,Suva,Fiji,1963_south_pacific_games.txt
Solomon Islands,Tahiti,0,18,2,Suva,Fiji,1963_south_pacific_games.txt
Fiji,New Caledonia,2,8,2,Suva,Fiji,1963_south_pacific_games.txt
Papua New Guinea,Tahiti,3,4,2,Nouméa,New Caledonia,1966_south_pacific_games.txt
Tahiti,Wallis Islands and Futuna,5,0,1,Nouméa,New Caledonia,1966_south_pacific_games.txt
New Caledonia,Vanuatu,5,0,1,Nouméa,New Caledonia,1966_south_pacific_games.txt
New Caledonia,Solomon Islands,8,0,1,Nouméa,New Caledonia,1966_south_pacific_games.txt
Papua New Guinea,Wallis Islands and Futuna,9,1,1,Nouméa,New Caledonia,1966_south_pacific_games.txt
Solomon Islands,Vanuatu,4,4,X,Nouméa,New Caledonia,1966_south_pacific_games.txt
New Caledonia,Papua New Guinea,4,0,1,Nouméa,New Caledonia,1966_south_pacific_games.txt
Tahiti,Vanuatu,3,0,1,Nouméa,New Caledonia,1966_south_pacific_games.txt
New Caledonia,Tahiti,0,2,2,Nouméa,New Caledonia,1966_south_pacific_games.txt
Papua New Guinea,Vanuatu,2,5,2,Nouméa,New Caledonia,1966_south_pacific_games.txt
Fiji,Solomon Islands,5,1,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Tahiti,Vanuatu,3,3,X,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Papua New Guinea,New Caledonia,1,4,2,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
New Caledonia,Solomon Islands,1,1,X,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Papua New Guinea,Tahiti,1,3,2,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Fiji,Vanuatu,5,2,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Fiji,Tahiti,0,2,2,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Papua New Guinea,Solomon Islands,4,0,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
New Caledonia,Vanuatu,2,0,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Fiji,New Caledonia,0,11,2,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Solomon Islands,Tahiti,0,7,2,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Papua New Guinea,Vanuatu,2,1,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Vanuatu,Solomon Islands,7,2,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Papua New Guinea,Fiji,1,1,X,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
New Caledonia,Tahiti,2,1,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Papua New Guinea,Fiji,2,1,1,Port Moresby,Papua New Guinea,1969_south_pacific_games.txt
Fiji,New Caledonia,1,5,2,Papeete,Tahiti,1971_south_pacific_games.txt
Tahiti,Papua New Guinea,2,2,X,Papeete,Tahiti,1971_south_pacific_games.txt
Cook Islands,Papua New Guinea,1,16,2,Papeete,Tahiti,1971_south_pacific_games.txt
Fiji,Vanuatu,4,6,2,Papeete,Tahiti,1971_south_pacific_games.txt
New Caledonia,Vanuatu,0,0,X,Papeete,Tahiti,1971_south_pacific_games.txt
Tahiti,Cook Islands,30,0,1,Papeete,Tahiti,1971_south_pacific_games.txt
Cook Islands,Fiji,1,15,2,Papeete,Tahiti,1971_south_pacific_games.txt
New Caledonia,Papua New Guinea,4,0,1,Papeete,Tahiti,1971_south_pacific_games.txt
Tahiti,Vanuatu,1,2,2,Papeete,Tahiti,1971_south_pacific_games.txt
Tahiti,Papua New Guinea,8,1,1,Papeete,Tahiti,1971_south_pacific_games.txt
New Caledonia,Vanuatu,7,1,1,Papeete,Tahiti,1971_south_pacific_games.txt
New Caledonia,Tahiti,3,0,1,Tamuning,Guam,1975_south_pacific_games.txt
Vanuatu,Papua New Guinea,3,0,1,Tamuning,Guam,1975_south_pacific_games.txt
Guam,Solomon Islands,1,5,2,Tamuning,Guam,1975_south_pacific_games.txt
New Caledonia,Vanuatu,3,1,1,Tamuning,Guam,1975_south_pacific_games.txt
Papua New Guinea,Tahiti,2,4,2,Tamuning,Guam,1975_south_pacific_games.txt
Guam,Fiji,0,11,2,Tamuning,Guam,1975_south_pacific_games.txt
New Caledonia,Papua New Guinea,5,1,1,Tamuning,Guam,1975_south_pacific_games.txt
Vanuatu,Tahiti,0,3,2,Tamuning,Guam,1975_south_pacific_games.txt
