time,home_team,away_team,home_score,away_score,result,ht_score,source_file
15.00,Malmö FF,Kalmar FF,1,0,1,0-0,2023_se1.txt
17.30,Djurgårdens IF,IF Brommapojkarna,3,1,1,2-0,2023_se1.txt
15.00,Hammarby IF,Degerfors IF,3,1,1,1-1,2023_se1.txt
,IFK Norrköping,IK Sirius,1,1,X,0-1,2023_se1.txt
17.30,IFK Göteborg,IFK Värnamo,0,1,2,0-0,2023_se1.txt
17.45,Halmstads BK,AIK Solna,2,1,1,1-0,2023_se1.txt
19.00,Mjällby AIF,Varbergs BoIS,2,2,X,1-0,2023_se1.txt
19.10,IF Elfsborg,BK Häcken,0,2,2,0-1,2023_se1.txt
15.00,Degerfors IF,Halmstads BK,3,1,1,1-1,2023_se1.txt
,IF Brommapojkarna,Malmö FF,1,2,2,1-0,2023_se1.txt
15.00,BK Häcken,Hammarby IF,3,1,1,3-0,2023_se1.txt
17.30,IK Sirius,Djurgårdens IF,0,0,X,,2023_se1.txt
,Kalmar FF,IFK Göteborg,2,0,1,1-0,2023_se1.txt
13.00,IFK Värnamo,Mjällby AIF,0,1,2,0-1,2023_se1.txt
15.00,AIK Solna,IFK Norrköping,0,3,2,0-2,2023_se1.txt
,Varbergs BoIS,IF Elfsborg,0,0,X,,2023_se1.txt
15.00,IF Elfsborg,IF Brommapojkarna,5,0,1,2-0,2023_se1.txt
17.30,BK Häcken,Kalmar FF,1,3,2,0-2,2023_se1.txt
15.00,AIK Solna,Hammarby IF,2,0,1,1-0,2023_se1.txt
,IFK Norrköping,IFK Värnamo,2,1,1,1-1,2023_se1.txt
17.30,Halmstads BK,Djurgårdens IF,2,0,1,1-0,2023_se1.txt
,Mjällby AIF,Degerfors IF,2,0,1,1-0,2023_se1.txt
19.00,Varbergs BoIS,IK Sirius,1,1,X,1-0,2023_se1.txt
19.10,IFK Göteborg,Malmö FF,0,1,2,0-1,2023_se1.txt
15.00,Hammarby IF,Varbergs BoIS,2,0,1,1-0,2023_se1.txt
17.30,Degerfors IF,IF Elfsborg,1,2,2,1-1,2023_se1.txt
15.00,Djurgårdens IF,IFK Göteborg,1,0,1,1-0,2023_se1.txt
,Kalmar FF,Halmstads BK,2,0,1,1-0,2023_se1.txt
17.30,IK Sirius,BK Häcken,1,4,2,0-1,2023_se1.txt
19.00,IF Brommapojkarna,Mjällby AIF,2,0,1,1-0,2023_se1.txt
