time,home_team,away_team,home_score,away_score,result,ht_score,source_file
17.45,FC Aarau,FC Basel 1893,1,2,2,0-2,2014-15_ch1.txt
20.00,FC St. Gallen,BSC Young Boys,2,2,X,1-1,2014-15_ch1.txt
13.45,FC Thun,FC Vaduz,1,0,1,1-0,2014-15_ch1.txt
,FC Luzern,FC Sion,1,1,X,1-1,2014-15_ch1.txt
16.00,FC Zürich,Grasshopper Club Zürich,1,0,1,0-0,2014-15_ch1.txt
17.45,Grasshopper Club Zürich,FC Thun,2,3,2,2-2,2014-15_ch1.txt
20.00,FC Sion,FC St. Gallen,1,0,1,0-0,2014-15_ch1.txt
13.45,BSC Young Boys,FC Aarau,1,1,X,0-1,2014-15_ch1.txt
,FC Vaduz,FC Zürich,1,4,2,1-2,2014-15_ch1.txt
16.00,FC Basel 1893,FC Luzern,3,0,1,2-0,2014-15_ch1.txt
17.45,FC Thun,FC Basel 1893,2,3,2,0-2,2014-15_ch1.txt
20.00,Grasshopper Club Zürich,FC Sion,0,0,X,,2014-15_ch1.txt
13.45,FC Zürich,BSC Young Boys,2,1,1,0-0,2014-15_ch1.txt
16.00,FC St. Gallen,FC Luzern,2,1,1,0-1,2014-15_ch1.txt
19.45,FC Aarau,FC Vaduz,1,1,X,1-0,2014-15_ch1.txt
17.45,FC St. Gallen,FC Aarau,2,2,X,0-1,2014-15_ch1.txt
20.00,FC Basel 1893,FC Zürich,4,1,1,2-0,2014-15_ch1.txt
13.45,FC Sion,FC Vaduz,1,0,1,0-0,2014-15_ch1.txt
,FC Luzern,Grasshopper Club Zürich,1,1,X,1-1,2014-15_ch1.txt
16.00,BSC Young Boys,FC Thun,1,1,X,1-1,2014-15_ch1.txt
19.45,FC Aarau,FC Sion,1,0,1,0-0,2014-15_ch1.txt
,FC Zürich,FC Thun,2,1,1,1-0,2014-15_ch1.txt
19.45,FC Vaduz,FC Luzern,1,1,X,0-0,2014-15_ch1.txt
,BSC Young Boys,Grasshopper Club Zürich,4,0,1,1-0,2014-15_ch1.txt
20.00,FC Basel 1893,FC St. Gallen,0,2,2,0-2,2014-15_ch1.txt
17.45,FC Aarau,Grasshopper Club Zürich,1,2,2,0-1,2014-15_ch1.txt
20.00,FC Luzern,FC Zürich,1,1,X,1-1,2014-15_ch1.txt
13.45,FC Sion,FC Basel 1893,2,3,2,0-1,2014-15_ch1.txt
,FC Thun,FC St. Gallen,3,1,1,2-1,2014-15_ch1.txt
16.00,FC Vaduz,BSC Young Boys,0,2,2,0-1,2014-15_ch1.txt
17.45,FC Thun,FC Sion,2,1,1,1-0,2014-15_ch1.txt
20.00,FC Luzern,FC Aarau,1,1,X,1-0,2014-15_ch1.txt
13.45,Grasshopper Club Zürich,FC Vaduz,0,1,2,0-1,2014-15_ch1.txt
,FC St. Gallen,FC Zürich,0,2,2,0-0,2014-15_ch1.txt
16.00,FC Basel 1893,BSC Young Boys,3,1,1,2-1,2014-15_ch1.txt
17.45,Grasshopper Club Zürich,FC Basel 1893,3,1,1,2-1,2014-15_ch1.txt
20.00,FC Aarau,FC Thun,2,1,1,1-0,2014-15_ch1.txt
13.45,BSC Young Boys,FC Luzern,3,2,1,2-1,2014-15_ch1.txt
,FC Vaduz,FC St. Gallen,2,2,X,1-1,2014-15_ch1.txt
16.00,FC Zürich,FC Sion,4,1,1,1-1,2014-15_ch1.txt
19.45,FC Basel 1893,FC Vaduz,3,1,1,1-1,2014-15_ch1.txt
,FC Thun,FC Luzern,3,2,1,1-1,2014-15_ch1.txt
