time,home_team,away_team,home_score,away_score,result,ht_score,source_file
21.45,MKE Ankaragücü,Galatasaray,1,3,2,1-2,2018-19_tr1.txt
,Sivasspor,Alanyaspor,1,0,1,0-0,2018-19_tr1.txt
21.45,Fenerbahçe,Bursaspor,2,1,1,2-1,2018-19_tr1.txt
,ehir,Trabzonspor,2,0,1,1-0,2018-19_tr1.txt
,Atiker Konyaspor,BB Erzurumspor,3,2,1,2-1,2018-19_tr1.txt
,,Akhisar Belediyespor,2,1,1,2-0,2018-19_tr1.txt
,Göztepe,Yeni Malatyaspor,1,3,2,0-1,2018-19_tr1.txt
21.45,Kayserispor,Antalyaspor,2,0,1,1-0,2018-19_tr1.txt
21.45,Trabzonspor,Sivasspor,3,1,1,3-1,2018-19_tr1.txt
19.15,Bursaspor,Kayserispor,0,0,X,,2018-19_tr1.txt
21.45,Antalyaspor,Atiker Konyaspor,3,3,X,1-2,2018-19_tr1.txt
,Yeni Malatyaspor,Fenerbahçe,1,0,1,0-0,2018-19_tr1.txt
,Akhisar Belediyespor,Çaykur Rizespor,1,1,X,0-1,2018-19_tr1.txt
21.45,Alanyaspor,MKE Ankaragücü,0,2,2,0-0,2018-19_tr1.txt
,Galatasaray,Göztepe,1,0,1,1-0,2018-19_tr1.txt
19.15,Çaykur Rizespor,BB Erzurumspor,0,0,X,,2018-19_tr1.txt
19.15,MKE Ankaragücü,Trabzonspor,2,2,X,1-1,2018-19_tr1.txt
21.45,Göztepe,Fenerbahçe,1,0,1,0-0,2018-19_tr1.txt
,Kayserispor,Yeni Malatyaspor,0,0,X,,2018-19_tr1.txt
,,Antalyaspor,2,3,2,1-3,2018-19_tr1.txt
,Atiker Konyaspor,Bursaspor,1,1,X,1-1,2018-19_tr1.txt
,ehir,Akhisar Belediyespor,3,1,1,1-1,2018-19_tr1.txt
21.45,Galatasaray,Alanyaspor,6,0,1,1-0,2018-19_tr1.txt
21.45,Yeni Malatyaspor,Atiker Konyaspor,0,1,2,0-1,2018-19_tr1.txt
19.15,Fenerbahçe,Kayserispor,2,3,2,1-0,2018-19_tr1.txt
,Akhisar Belediyespor,Sivasspor,1,1,X,0-0,2018-19_tr1.txt
21.45,Trabzonspor,Galatasaray,4,0,1,3-0,2018-19_tr1.txt
,Alanyaspor,Göztepe,1,0,1,0-0,2018-19_tr1.txt
,a SK,MKE Ankaragücü,2,1,1,1-0,2018-19_tr1.txt
21.45,Antalyaspor,Çaykur Rizespor,2,1,1,0-1,2018-19_tr1.txt
17.00,MKE Ankaragücü,Akhisar Belediyespor,1,0,1,1-0,2018-19_tr1.txt
20.00,Göztepe,Kayserispor,2,0,1,2-0,2018-19_tr1.txt
,,Yeni Malatyaspor,2,1,1,0-0,2018-19_tr1.txt
17.00,Sivasspor,BB Erzurumspor,2,2,X,1-1,2018-19_tr1.txt
,ehir,Antalyaspor,4,0,1,1-0,2018-19_tr1.txt
20.00,Çaykur Rizespor,Bursaspor,1,1,X,0-1,2018-19_tr1.txt
,Atiker Konyaspor,Fenerbahçe,0,1,2,0-0,2018-19_tr1.txt
20.00,Alanyaspor,Trabzonspor,1,0,1,1-0,2018-19_tr1.txt
20.00,BB Erzurumspor,MKE Ankaragücü,0,1,2,0-0,2018-19_tr1.txt
13.30,Yeni Malatyaspor,Çaykur Rizespor,1,0,1,1-0,2018-19_tr1.txt
16.00,Kayserispor,Atiker Konyaspor,0,2,2,0-2,2018-19_tr1.txt
19.00,Trabzonspor,Göztepe,1,2,2,0-2,2018-19_tr1.txt
,a SK,Alanyaspor,1,2,2,0-1,2018-19_tr1.txt
19.00,Antalyaspor,Sivasspor,2,1,1,2-1,2018-19_tr1.txt
,Akhisar Belediyespor,Galatasaray,3,0,1,0-0,2018-19_tr1.txt
20.00,Galatasaray,BB Erzurumspor,1,0,1,0-0,2018-19_tr1.txt
,Alanyaspor,Akhisar Belediyespor,2,1,1,1-0,2018-19_tr1.txt
,,Kayserispor,2,0,1,1-0,2018-19_tr1.txt
13.30,Sivasspor,Bursaspor,2,0,1,1-0,2018-19_tr1.txt
16.00,Göztepe,Atiker Konyaspor,3,2,1,2-0,2018-19_tr1.txt
19.00,Çaykur Rizespor,Fenerbahçe,3,0,1,3-0,2018-19_tr1.txt
20.00,MKE Ankaragücü,Antalyaspor,0,1,2,0-1,2018-19_tr1.txt
,ehir,Yeni Malatyaspor,1,1,X,0-1,2018-19_tr1.txt
,a SK,Göztepe,3,1,1,1-0,2018-19_tr1.txt
13.30,Kayserispor,Çaykur Rizespor,2,2,X,0-1,2018-19_tr1.txt
16.00,BB Erzurumspor,Alanyaspor,1,0,1,0-0,2018-19_tr1.txt
,Bursaspor,MKE Ankaragücü,1,0,1,1-0,2018-19_tr1.txt
19.00,Antalyaspor,Galatasaray,0,1,2,0-0,2018-19_tr1.txt
13.30,Yeni Malatyaspor,Sivasspor,4,4,X,1-3,2018-19_tr1.txt
19.00,Akhisar Belediyespor,Trabzonspor,1,3,2,0-2,2018-19_tr1.txt
20.30,Galatasaray,Bursaspor,1,1,X,0-0,2018-19_tr1.txt
,a SK,Akhisar Belediyespor,5,0,1,0-0,2018-19_tr1.txt
,ehir,Kayserispor,1,0,1,1-0,2018-19_tr1.txt
19.00,Sivasspor,Fenerbahçe,0,0,X,,2018-19_tr1.txt
13.30,Çaykur Rizespor,Atiker Konyaspor,1,1,X,1-0,2018-19_tr1.txt
16.00,MKE Ankaragücü,Yeni Malatyaspor,1,0,1,1-0,2018-19_tr1.txt
,Alanyaspor,Antalyaspor,0,1,2,0-1,2018-19_tr1.txt
20.00,Trabzonspor,BB Erzurumspor,0,0,X,,2018-19_tr1.txt
20.30,Bursaspor,Alanyaspor,2,0,1,2-0,2018-19_tr1.txt
19.00,Antalyaspor,Trabzonspor,1,1,X,1-1,2018-19_tr1.txt
13.30,Kayserispor,Sivasspor,2,0,1,0-0,2018-19_tr1.txt
18.00,Yeni Malatyaspor,Galatasaray,2,0,1,1-0,2018-19_tr1.txt
20.30,Fenerbahçe,MKE Ankaragücü,1,3,2,0-1,2018-19_tr1.txt
20.00,Akhisar Belediyespor,Göztepe,1,0,1,1-0,2018-19_tr1.txt
,,Çaykur Rizespor,4,1,1,2-0,2018-19_tr1.txt
21.00,Galatasaray,Fenerbahçe,2,2,X,1-0,2018-19_tr1.txt
,a SK,Antalyaspor,1,2,2,1-1,2018-19_tr1.txt
16.00,Akhisar Belediyespor,BB Erzurumspor,1,1,X,1-1,2018-19_tr1.txt
13.30,MKE Ankaragücü,Kayserispor,3,1,1,2-0,2018-19_tr1.txt
16.00,Alanyaspor,Yeni Malatyaspor,0,1,2,0-1,2018-19_tr1.txt
19.00,Trabzonspor,Bursaspor,1,1,X,1-0,2018-19_tr1.txt
20.00,Göztepe,Çaykur Rizespor,2,0,1,1-0,2018-19_tr1.txt
,Sivasspor,Atiker Konyaspor,0,0,X,,2018-19_tr1.txt
20.00,Yeni Malatyaspor,Trabzonspor,5,0,1,2-0,2018-19_tr1.txt
