home_team,away_team,home_score,away_score,result,city,country,source_file
Congo,Equatorial Guinea,5,0,1,Brazzaville,Congo,1984_udeac_cup.txt
Chad,Cameroon,0,2,2,Brazzaville,Congo,1984_udeac_cup.txt
Chad,Gabon,3,3,X,Brazzaville,Congo,1984_udeac_cup.txt
Congo,Central African Republic,2,1,1,Brazzaville,Congo,1984_udeac_cup.txt
Cameroon,Gabon,0,0,X,Brazzaville,Congo,1984_udeac_cup.txt
Central African Republic,Equatorial Guinea,1,1,X,Brazzaville,Congo,1984_udeac_cup.txt
Chad,Equatorial Guinea,1,1,X,Brazzaville,Congo   [Chad wins on penalties],1984_udeac_cup.txt
Central African Republic,Cameroon,1,7,2,Brazzaville,Congo,1984_udeac_cup.txt
Congo,Gabon,3,0,1,Brazzaville,Congo,1984_udeac_cup.txt
Central African Republic,Gabon,2,2,X,Brazzaville,Congo   [Gabon wins on penalties],1984_udeac_cup.txt
Congo,Cameroon,2,2,X,Brazzaville,Congo   [Cameroon wins on penalties],1984_udeac_cup.txt
Gabon,Congo,1,0,1,Libreville,Gabon,1985_udeac_cup.txt
Cameroon,Equatorial Guinea,2,0,1,Libreville,Gabon,1985_udeac_cup.txt
Central African Republic,Congo,1,4,2,Libreville,Gabon,1985_udeac_cup.txt
Chad,Equatorial Guinea,1,1,X,Libreville,Gabon,1985_udeac_cup.txt
Gabon,Central African Republic,4,0,1,Libreville,Gabon,1985_udeac_cup.txt
Chad,Cameroon,2,2,X,Libreville,Gabon,1985_udeac_cup.txt
Gabon,Chad,3,0,1,Libreville,Gabon,1985_udeac_cup.txt
Congo,Cameroon,1,0,1,Libreville,Gabon,1985_udeac_cup.txt
Chad,Cameroon,1,2,2,Libreville,Gabon,1985_udeac_cup.txt
Gabon,Congo,3,0,1,Libreville,Gabon,1985_udeac_cup.txt
Equatorial Guinea,Cameroon,0,2,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Congo,Gabon,0,1,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Chad,Cameroon,1,3,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Central African Republic,Congo,1,3,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Equatorial Guinea,Chad,0,1,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Central African Republic,Gabon,0,1,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Congo,Cameroon,0,1,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Chad,Gabon,0,0,X,Malabo,Equatorial Guinea   [Chad wins on penalties],1986_udeac_cup.txt
Chad,Cameroon,1,4,2,Malabo,Equatorial Guinea,1986_udeac_cup.txt
Chad,Central African Republic,2,1,1,N'Djamena,Chad,1987_udeac_cup.txt
Cameroon,Equatorial Guinea,1,0,1,N'Djamena,Chad,1987_udeac_cup.txt
Central African Republic,Gabon,1,1,X,N'Djamena,Chad,1987_udeac_cup.txt
Cameroon,Equatorial Guinea,0,0,X,N'Djamena,Chad,1987_udeac_cup.txt
Chad,Gabon,1,1,X,N'Djamena,Chad,1987_udeac_cup.txt
Chad,Equatorial Guinea,4,0,1,N'Djamena,Chad,1987_udeac_cup.txt
Cameroon,Gabon,1,0,1,N'Djamena,Chad,1987_udeac_cup.txt
Chad,Cameroon,0,1,2,N'Djamena,Chad,1987_udeac_cup.txt
Equatorial Guinea,Gabon,0,0,X,N'Djamena,Chad   [Gabon wins on penalties],1987_udeac_cup.txt
Cameroon,Gabon,0,0,X,Douala,Cameroon,1988_udeac_cup.txt
Congo,Chad,2,1,1,Douala,Cameroon,1988_udeac_cup.txt
Cameroon,Equatorial Guinea,2,1,1,Douala,Cameroon,1988_udeac_cup.txt
Central African Republic,Chad,2,1,1,Douala,Cameroon,1988_udeac_cup.txt
Central African Republic,Congo,0,1,2,Douala,Cameroon,1988_udeac_cup.txt
Equatorial Guinea,Gabon,0,3,2,Douala,Cameroon,1988_udeac_cup.txt
Cameroon,Congo,2,0,1,Douala,Cameroon,1988_udeac_cup.txt
Central African Republic,Gabon,0,0,X,Douala,Cameroon   [Gabon wins on penalties],1988_udeac_cup.txt
Cameroon,Gabon,0,1,2,Douala,Cameroon,1988_udeac_cup.txt
Central African Republic,Congo,0,3,2,Douala,Cameroon,1988_udeac_cup.txt
Central African Republic,Chad,1,1,X,Bangui,Central African Republic,1989_udeac_cup.txt
Congo,Gabon,1,0,1,Bangui,Central African Republic,1989_udeac_cup.txt
Central African Republic,Cameroon,1,2,2,Bangui,Central African Republic,1989_udeac_cup.txt
Congo,Gabon,0,2,2,Bangui,Central African Republic,1989_udeac_cup.txt
Chad,Cameroon,0,1,2,Bangui,Central African Republic,1989_udeac_cup.txt
Chad,Congo,2,1,1,Bangui,Central African Republic,1989_udeac_cup.txt
Central African Republic,Gabon,2,0,1,Bangui,Central African Republic,1989_udeac_cup.txt
Chad,Cameroon,0,0,X,Bangui,Central African Republic   [Cameroon wins on penalties],1989_udeac_cup.txt
Chad,Gabon,0,2,2,Bangui,Central African Republic,1989_udeac_cup.txt
Central African Republic,Cameroon,1,2,2,Bangui,Central African Republic,1989_udeac_cup.txt
Congo,Chad,3,0,1,Brazzaville,Congo,1990_udeac_cup.txt
Cameroon,Gabon,2,1,1,Brazzaville,Congo,1990_udeac_cup.txt
Central African Republic,Gabon,0,1,2,Brazzaville,Congo,1990_udeac_cup.txt
Chad,Equatorial Guinea,1,0,1,Brazzaville,Congo,1990_udeac_cup.txt
Central African Republic,Cameroon,0,3,2,Brazzaville,Congo,1990_udeac_cup.txt
Congo,Equatorial Guinea,6,0,1,Brazzaville,Congo,1990_udeac_cup.txt
Chad,Cameroon,0,1,2,Brazzaville,Congo,1990_udeac_cup.txt
Congo,Gabon,1,0,1,Brazzaville,Congo,1990_udeac_cup.txt
Central African Republic,Equatorial Guinea,3,3,X,Brazzaville,Congo   [Central African Republic wins on penalties],1990_udeac_cup.txt
Chad,Gabon,2,1,1,Brazzaville,Congo,1990_udeac_cup.txt
Congo,Cameroon,2,1,1,Brazzaville,Congo,1990_udeac_cup.txt
