home_team,away_team,home_score,away_score,result,city,country,source_file
Czechoslovakia,Russia,0,3,2,Marseille,France,1960_uefa_euro.txt
France,Yugoslavia,4,5,2,Paris,France,1960_uefa_euro.txt
France,Czechoslovakia,0,2,2,Marseille,France,1960_uefa_euro.txt
Russia,Yugoslavia,2,1,1,Paris,France,1960_uefa_euro.txt
Denmark,Russia,0,3,2,Barcelona,Spain,1964_uefa_euro.txt
Spain,Hungary,2,1,1,Madrid,Spain,1964_uefa_euro.txt
Hungary,Denmark,3,1,1,Barcelona,Spain,1964_uefa_euro.txt
Spain,Russia,2,1,1,Madrid,Spain,1964_uefa_euro.txt
England,Yugoslavia,0,1,2,Florence,Italy,1968_uefa_euro.txt
Italy,Russia,0,0,X,Naples,Italy,1968_uefa_euro.txt
England,Russia,2,0,1,Rome,Italy,1968_uefa_euro.txt
Italy,Yugoslavia,1,1,X,Rome,Italy,1968_uefa_euro.txt
Italy,Yugoslavia,2,0,1,Rome,Italy,1968_uefa_euro.txt
Belgium,Germany,1,2,2,Antwerp,Belgium,1972_uefa_euro.txt
Hungary,Russia,0,1,2,Brussels,Belgium,1972_uefa_euro.txt
Belgium,Hungary,2,1,1,Liège,Belgium,1972_uefa_euro.txt
Germany,Russia,3,0,1,Brussels,Belgium,1972_uefa_euro.txt
Czechoslovakia,Netherlands,3,1,1,Zagreb,Yugoslavia,1976_uefa_euro.txt
Yugoslavia,Germany,2,4,2,Belgrade,Yugoslavia,1976_uefa_euro.txt
Yugoslavia,Netherlands,2,3,2,Zagreb,Yugoslavia,1976_uefa_euro.txt
Czechoslovakia,Germany,2,2,X,Belgrade,Yugoslavia   [Czechoslovakia wins on penalties],1976_uefa_euro.txt
Czechoslovakia,Germany,0,1,2,Rome,Italy,1980_uefa_euro.txt
Netherlands,Greece,1,0,1,Naples,Italy,1980_uefa_euro.txt
Belgium,England,1,1,X,Turin,Italy,1980_uefa_euro.txt
Italy,Spain,0,0,X,Milan,Italy,1980_uefa_euro.txt
Germany,Netherlands,3,2,1,Naples,Italy,1980_uefa_euro.txt
Greece,Czechoslovakia,1,3,2,Rome,Italy,1980_uefa_euro.txt
Belgium,Spain,2,1,1,Milan,Italy,1980_uefa_euro.txt
Italy,England,1,0,1,Turin,Italy,1980_uefa_euro.txt
Greece,Germany,0,0,X,Turin,Italy,1980_uefa_euro.txt
Netherlands,Czechoslovakia,1,1,X,Milan,Italy,1980_uefa_euro.txt
Italy,Belgium,0,0,X,Rome,Italy,1980_uefa_euro.txt
Spain,England,1,2,2,Naples,Italy,1980_uefa_euro.txt
Italy,Czechoslovakia,1,1,X,Naples,Italy   [Czechoslovakia wins on penalties],1980_uefa_euro.txt
Belgium,Germany,1,2,2,Rome,Italy,1980_uefa_euro.txt
France,Denmark,1,0,1,Paris,France,1984_uefa_euro.txt
Belgium,Yugoslavia,2,0,1,Lens,France,1984_uefa_euro.txt
Germany,Portugal,0,0,X,Strasbourg,France,1984_uefa_euro.txt
Romania,Spain,1,1,X,Saint-Étienne,France,1984_uefa_euro.txt
Denmark,Yugoslavia,5,0,1,Lyon,France,1984_uefa_euro.txt
France,Belgium,5,0,1,Nantes,France,1984_uefa_euro.txt
Germany,Romania,2,1,1,Lens,France,1984_uefa_euro.txt
Portugal,Spain,1,1,X,Marseille,France,1984_uefa_euro.txt
Denmark,Belgium,3,2,1,Strasbourg,France,1984_uefa_euro.txt
France,Yugoslavia,3,2,1,Saint-Étienne,France,1984_uefa_euro.txt
Germany,Spain,0,1,2,Paris,France,1984_uefa_euro.txt
Portugal,Romania,1,0,1,Nantes,France,1984_uefa_euro.txt
France,Portugal,3,2,1,Marseille,France,1984_uefa_euro.txt
Denmark,Spain,1,1,X,Lyon,France   [Spain wins on penalties],1984_uefa_euro.txt
France,Spain,2,0,1,Paris,France,1984_uefa_euro.txt
Germany,Italy,1,1,X,Düsseldorf,Germany,1988_uefa_euro.txt
Denmark,Spain,2,3,2,Hanover,Germany,1988_uefa_euro.txt
England,Republic of Ireland,0,1,2,Stuttgart,Germany,1988_uefa_euro.txt
Netherlands,Russia,0,1,2,Cologne,Germany,1988_uefa_euro.txt
Germany,Denmark,2,0,1,Gelsenkirchen,Germany,1988_uefa_euro.txt
Italy,Spain,1,0,1,Frankfurt am Main,Germany,1988_uefa_euro.txt
England,Netherlands,1,3,2,Düsseldorf,Germany,1988_uefa_euro.txt
Republic of Ireland,Russia,1,1,X,Hanover,Germany,1988_uefa_euro.txt
Germany,Spain,2,0,1,Munich,Germany,1988_uefa_euro.txt
Italy,Denmark,2,0,1,Cologne,Germany,1988_uefa_euro.txt
England,Russia,1,3,2,Frankfurt am Main,Germany,1988_uefa_euro.txt
Republic of Ireland,Netherlands,0,1,2,Gelsenkirchen,Germany,1988_uefa_euro.txt
Germany,Netherlands,1,2,2,Hamburg,Germany,1988_uefa_euro.txt
Russia,Italy,2,0,1,Stuttgart,Germany,1988_uefa_euro.txt
Russia,Netherlands,0,2,2,Munich,Germany,1988_uefa_euro.txt
Sweden,France,1,1,X,Solna,Sweden,1992_uefa_euro.txt
Denmark,England,0,0,X,Malmö,Sweden,1992_uefa_euro.txt
Netherlands,Scotland,1,0,1,Gothenburg,Sweden,1992_uefa_euro.txt
Russia,Germany,1,1,X,Norrköping,Sweden,1992_uefa_euro.txt
France,England,0,0,X,Malmö,Sweden,1992_uefa_euro.txt
Sweden,Denmark,1,0,1,Solna,Sweden,1992_uefa_euro.txt
Netherlands,Russia,0,0,X,Gothenburg,Sweden,1992_uefa_euro.txt
Scotland,Germany,0,2,2,Norrköping,Sweden,1992_uefa_euro.txt
France,Denmark,1,2,2,Malmö,Sweden,1992_uefa_euro.txt
Sweden,England,2,1,1,Solna,Sweden,1992_uefa_euro.txt
Netherlands,Germany,3,1,1,Gothenburg,Sweden,1992_uefa_euro.txt
Scotland,Russia,3,0,1,Norrköping,Sweden,1992_uefa_euro.txt
Sweden,Germany,2,3,2,Solna,Sweden,1992_uefa_euro.txt
Netherlands,Denmark,2,2,X,Gothenburg,Sweden   [Denmark wins on penalties],1992_uefa_euro.txt
Denmark,Germany,2,0,1,Gothenburg,Sweden,1992_uefa_euro.txt
England,Switzerland,1,1,X,London,England,1996_uefa_euro.txt
Denmark,Portugal,1,1,X,Sheffield,England,1996_uefa_euro.txt
Germany,Czech Republic,2,0,1,Manchester,England,1996_uefa_euro.txt
Spain,Bulgaria,1,1,X,Leeds,England,1996_uefa_euro.txt
Netherlands,Scotland,0,0,X,Birmingham,England,1996_uefa_euro.txt
Romania,France,0,1,2,Newcastle,England,1996_uefa_euro.txt
Italy,Russia,2,1,1,Liverpool,England,1996_uefa_euro.txt
Turkey,Croatia,0,1,2,Nottingham,England,1996_uefa_euro.txt
Bulgaria,Romania,1,0,1,Newcastle,England,1996_uefa_euro.txt
Switzerland,Netherlands,0,2,2,Birmingham,England,1996_uefa_euro.txt
Czech Republic,Italy,2,1,1,Liverpool,England,1996_uefa_euro.txt
Portugal,Turkey,1,0,1,Nottingham,England,1996_uefa_euro.txt
England,Scotland,2,0,1,London,England,1996_uefa_euro.txt
France,Spain,1,1,X,Leeds,England,1996_uefa_euro.txt
Croatia,Denmark,3,0,1,Sheffield,England,1996_uefa_euro.txt
Russia,Germany,0,3,2,Manchester,England,1996_uefa_euro.txt
