home_team,away_team,home_score,away_score,result,city,country,source_file
Russia,Hungary,3,1,1,Moscow,Soviet Union,1958_uefa_euro_qualification.txt
France,Greece,7,1,1,Paris,France,1958_uefa_euro_qualification.txt
Romania,Turkey,3,0,1,Bucharest,Romania,1958_uefa_euro_qualification.txt
Greece,France,1,1,X,Athens,Greece,1958_uefa_euro_qualification.txt
Republic of Ireland,Czechoslovakia,2,0,1,Dublin,Republic of Ireland,1959_uefa_euro_qualification.txt
Turkey,Romania,2,0,1,Istanbul,Turkey,1959_uefa_euro_qualification.txt
Czechoslovakia,Republic of Ireland,4,0,1,Bratislava,Czechoslovakia,1959_uefa_euro_qualification.txt
Norway,Austria,0,1,2,Oslo,Norway,1959_uefa_euro_qualification.txt
Yugoslavia,Bulgaria,2,0,1,Belgrade,Yugoslavia,1959_uefa_euro_qualification.txt
German DR,Portugal,0,2,2,Berlin,German DR,1959_uefa_euro_qualification.txt
Poland,Spain,2,4,2,Chorzów,Poland,1959_uefa_euro_qualification.txt
Portugal,German DR,3,2,1,Porto,Portugal,1959_uefa_euro_qualification.txt
Austria,Norway,5,2,1,Vienna,Austria,1959_uefa_euro_qualification.txt
Denmark,Czechoslovakia,2,2,X,Copenhagen,Denmark,1959_uefa_euro_qualification.txt
Hungary,Russia,0,1,2,Budapest,Hungary,1959_uefa_euro_qualification.txt
Spain,Poland,3,0,1,Madrid,Spain,1959_uefa_euro_qualification.txt
Czechoslovakia,Denmark,5,1,1,Brno,Czechoslovakia,1959_uefa_euro_qualification.txt
Bulgaria,Yugoslavia,1,1,X,Sofia,Bulgaria,1959_uefa_euro_qualification.txt
France,Austria,5,2,1,Colombes,France,1959_uefa_euro_qualification.txt
Austria,France,2,4,2,Vienna,Austria,1960_uefa_euro_qualification.txt
Portugal,Yugoslavia,2,1,1,Oeiras,Portugal,1960_uefa_euro_qualification.txt
Romania,Czechoslovakia,0,2,2,Bucharest,Romania,1960_uefa_euro_qualification.txt
Yugoslavia,Portugal,5,1,1,Belgrade,Yugoslavia,1960_uefa_euro_qualification.txt
Czechoslovakia,Romania,3,0,1,Bratislava,Czechoslovakia,1960_uefa_euro_qualification.txt
Norway,Sweden,0,2,2,Oslo,Norway,1962_uefa_euro_qualification.txt
Denmark,Malta,6,1,1,Copenhagen,Denmark,1962_uefa_euro_qualification.txt
Republic of Ireland,Iceland,4,2,1,Dublin,Republic of Ireland,1962_uefa_euro_qualification.txt
Iceland,Republic of Ireland,1,1,X,Reykjavík,Iceland,1962_uefa_euro_qualification.txt
England,France,1,1,X,Sheffield,England,1962_uefa_euro_qualification.txt
Poland,Northern Ireland,0,2,2,Chorzów,Poland,1962_uefa_euro_qualification.txt
Spain,Romania,6,0,1,Madrid,Spain,1962_uefa_euro_qualification.txt
Sweden,Norway,1,1,X,Malmö,Sweden,1962_uefa_euro_qualification.txt
Yugoslavia,Belgium,3,2,1,Belgrade,Yugoslavia,1962_uefa_euro_qualification.txt
Bulgaria,Portugal,3,1,1,Sofia,Bulgaria,1962_uefa_euro_qualification.txt
Hungary,Wales,3,1,1,Budapest,Hungary,1962_uefa_euro_qualification.txt
Netherlands,Switzerland,3,1,1,Amsterdam,Netherlands,1962_uefa_euro_qualification.txt
German DR,Czechoslovakia,2,1,1,Berlin,German DR,1962_uefa_euro_qualification.txt
Romania,Spain,3,1,1,Bucharest,Romania,1962_uefa_euro_qualification.txt
Northern Ireland,Poland,2,0,1,Belfast,Northern Ireland,1962_uefa_euro_qualification.txt
Italy,Turkey,6,0,1,Bologna,Italy,1962_uefa_euro_qualification.txt
Malta,Denmark,1,3,2,Gżira,Malta,1962_uefa_euro_qualification.txt
Portugal,Bulgaria,3,1,1,Oeiras,Portugal,1962_uefa_euro_qualification.txt
Bulgaria,Portugal,1,0,1,Rome,Italy,1963_uefa_euro_qualification.txt
France,England,5,2,1,Paris,France,1963_uefa_euro_qualification.txt
Wales,Hungary,1,1,X,Cardiff,Wales,1963_uefa_euro_qualification.txt
Turkey,Italy,0,1,2,Istanbul,Turkey,1963_uefa_euro_qualification.txt
Belgium,Yugoslavia,0,1,2,Brussels,Belgium,1963_uefa_euro_qualification.txt
Czechoslovakia,German DR,1,1,X,Prague,Czechoslovakia,1963_uefa_euro_qualification.txt
Switzerland,Netherlands,1,1,X,Berne,Switzerland,1963_uefa_euro_qualification.txt
Spain,Northern Ireland,1,1,X,Bilbao,Spain,1963_uefa_euro_qualification.txt
Yugoslavia,Sweden,0,0,X,Belgrade,Yugoslavia,1963_uefa_euro_qualification.txt
