home_team,away_team,home_score,away_score,result,city,country,source_file
Germany,France,0,0,X,Munich,Germany,2018_uefa_nations_league.txt
Czech Republic,Ukraine,1,2,2,Uherské Hradiště,Czech Republic,2018_uefa_nations_league.txt
Wales,Republic of Ireland,4,1,1,Cardiff,Wales,2018_uefa_nations_league.txt
Norway,Cyprus,2,0,1,Oslo,Norway,2018_uefa_nations_league.txt
Slovenia,Bulgaria,1,2,2,Ljubljana,Slovenia,2018_uefa_nations_league.txt
Kazakhstan,Georgia,0,2,2,Astana,Kazakhstan,2018_uefa_nations_league.txt
Latvia,Andorra,0,0,X,Riga,Latvia,2018_uefa_nations_league.txt
Armenia,Liechtenstein,2,1,1,Yerevan,Armenia,2018_uefa_nations_league.txt
Gibraltar,North Macedonia,0,2,2,Gibraltar,Gibraltar,2018_uefa_nations_league.txt
Italy,Poland,1,1,X,Bologna,Italy,2018_uefa_nations_league.txt
Turkey,Russia,1,2,2,Trabzon,Turkey,2018_uefa_nations_league.txt
Albania,Israel,1,0,1,Elbasan,Albania,2018_uefa_nations_league.txt
Lithuania,Serbia,0,1,2,Vilnius,Lithuania,2018_uefa_nations_league.txt
Romania,Montenegro,0,0,X,Ploiești,Romania,2018_uefa_nations_league.txt
Faroe Islands,Malta,3,1,1,Tórshavn,Faroe Islands,2018_uefa_nations_league.txt
Azerbaijan,Kosovo,0,0,X,Baku,Azerbaijan,2018_uefa_nations_league.txt
Switzerland,Iceland,6,0,1,St. Gallen,Switzerland,2018_uefa_nations_league.txt
England,Spain,1,2,2,London,England,2018_uefa_nations_league.txt
Northern Ireland,Bosnia and Herzegovina,1,2,2,Belfast,Northern Ireland,2018_uefa_nations_league.txt
Finland,Hungary,1,0,1,Tampere,Finland,2018_uefa_nations_league.txt
Estonia,Greece,0,1,2,Tallinn,Estonia,2018_uefa_nations_league.txt
Belarus,San Marino,5,0,1,Minsk,Belarus,2018_uefa_nations_league.txt
Luxembourg,Moldova,4,0,1,Luxembourg,Luxembourg,2018_uefa_nations_league.txt
