time,home_team,away_team,home_score,away_score,result,ht_score,source_file
17.00,FK Obolon,Kolos Kovalivka,0,0,X,,2023-24_ua1.txt
19.00,NK Veres,Polissya Zhytomyr,0,2,2,0-2,2023-24_ua1.txt
15.00,Rukh Lviv,Zorya Lugansk,2,1,1,0-1,2023-24_ua1.txt
17.00,Metalist 1925 Kharkiv,Shakhtar Donetsk,1,2,2,0-1,2023-24_ua1.txt
15.00,FC LNZ Cherkasy,Chernomorets Odessa,0,2,2,0-1,2023-24_ua1.txt
17.00,Dinamo Kiev,FC Mynai,4,1,1,2-1,2023-24_ua1.txt
19.00,FK Oleksandriya,Kryvbas Kryvyi Rih,1,0,1,1-0,2023-24_ua1.txt
16.00,Vorskla Poltava,SK Dnipro-1,2,3,2,1-2,2023-24_ua1.txt
17.00,NK Veres,Shakhtar Donetsk,1,1,X,0-1,2023-24_ua1.txt
17.00,FK Obolon,Dinamo Kiev,2,4,2,1-3,2023-24_ua1.txt
15.00,FC Mynai,FC LNZ Cherkasy,0,3,2,0-1,2023-24_ua1.txt
20.00,FK Oleksandriya,Metalist 1925 Kharkiv,1,0,1,1-0,2023-24_ua1.txt
15.00,SK Dnipro-1,Polissya Zhytomyr,2,1,1,0-0,2023-24_ua1.txt
17.00,Kolos Kovalivka,Chernomorets Odessa,2,0,1,0-0,2023-24_ua1.txt
,Zorya Lugansk,Kryvbas Kryvyi Rih,1,3,2,1-1,2023-24_ua1.txt
19.00,Rukh Lviv,Vorskla Poltava,4,1,1,1-1,2023-24_ua1.txt
15.00,Chernomorets Odessa,FK Obolon,2,0,1,1-0,2023-24_ua1.txt
17.00,Kolos Kovalivka,NK Veres,2,0,1,1-0,2023-24_ua1.txt
,Polissya Zhytomyr,Rukh Lviv,0,1,2,0-0,2023-24_ua1.txt
13.00,FC Mynai,SK Dnipro-1,1,1,X,0-0,2023-24_ua1.txt
15.00,Vorskla Poltava,Zorya Lugansk,1,2,2,0-1,2023-24_ua1.txt
17.00,Kryvbas Kryvyi Rih,FC LNZ Cherkasy,2,0,1,1-0,2023-24_ua1.txt
17.00,Shakhtar Donetsk,FK Oleksandriya,2,1,1,2-0,2023-24_ua1.txt
15.00,Dinamo Kiev,Metalist 1925 Kharkiv,4,2,1,3-1,2023-24_ua1.txt
17.00,FC LNZ Cherkasy,Polissya Zhytomyr,1,2,2,0-0,2023-24_ua1.txt
19.00,Zorya Lugansk,FK Oleksandriya,0,0,X,,2023-24_ua1.txt
15.00,NK Veres,Vorskla Poltava,1,2,2,1-2,2023-24_ua1.txt
17.00,Metalist 1925 Kharkiv,FC Mynai,1,0,1,0-0,2023-24_ua1.txt
19.00,Rukh Lviv,Kolos Kovalivka,1,1,X,0-1,2023-24_ua1.txt
15.00,SK Dnipro-1,FK Obolon,1,2,2,1-0,2023-24_ua1.txt
17.00,Chernomorets Odessa,Dinamo Kiev,3,2,1,1-0,2023-24_ua1.txt
19.00,Kryvbas Kryvyi Rih,Shakhtar Donetsk,3,3,X,2-3,2023-24_ua1.txt
15.00,FC LNZ Cherkasy,Metalist 1925 Kharkiv,0,1,2,0-1,2023-24_ua1.txt
17.00,FK Oleksandriya,Polissya Zhytomyr,0,3,2,0-0,2023-24_ua1.txt
13.00,FC Mynai,Zorya Lugansk,1,1,X,1-1,2023-24_ua1.txt
15.00,Kolos Kovalivka,Shakhtar Donetsk,0,2,2,0-2,2023-24_ua1.txt
17.00,Vorskla Poltava,Chernomorets Odessa,2,1,1,2-0,2023-24_ua1.txt
19.00,FK Obolon,Kryvbas Kryvyi Rih,0,0,X,,2023-24_ua1.txt
18.00,Rukh Lviv,SK Dnipro-1,0,2,2,0-2,2023-24_ua1.txt
15.30,Dinamo Kiev,NK Veres,3,0,1,1-0,2023-24_ua1.txt
17.00,NK Veres,Chernomorets Odessa,3,1,1,2-1,2023-24_ua1.txt
13.00,FC Mynai,Shakhtar Donetsk,1,4,2,0-1,2023-24_ua1.txt
15.00,Polissya Zhytomyr,FK Obolon,2,0,1,0-0,2023-24_ua1.txt
17.00,Vorskla Poltava,FK Oleksandriya,1,0,1,1-0,2023-24_ua1.txt
13.00,SK Dnipro-1,FC LNZ Cherkasy,0,0,X,,2023-24_ua1.txt
17.00,Kolos Kovalivka,Kryvbas Kryvyi Rih,0,3,2,0-1,2023-24_ua1.txt
19.00,Rukh Lviv,Metalist 1925 Kharkiv,1,1,X,1-1,2023-24_ua1.txt
15.30,Zorya Lugansk,Dinamo Kiev,0,3,2,0-2,2023-24_ua1.txt
18.30,Metalist 1925 Kharkiv,Zorya Lugansk,2,1,1,2-1,2023-24_ua1.txt
