home_team,away_team,home_score,away_score,result,city,country,source_file
Nicaragua,El Salvador,2,3,2,Managua,Nicaragua,1991_uncaf_cup.txt
Panama,Honduras,2,0,1,Panama City,Panama,1991_uncaf_cup.txt
Honduras,Panama,3,0,1,San Pedro Sula,Honduras,1991_uncaf_cup.txt
Costa Rica,Honduras,2,0,1,San José,Costa Rica,1991_uncaf_cup.txt
Guatemala,El Salvador,0,0,X,San José,Costa Rica,1991_uncaf_cup.txt
Costa Rica,El Salvador,7,1,1,San José,Costa Rica,1991_uncaf_cup.txt
Guatemala,Honduras,0,0,X,San José,Costa Rica,1991_uncaf_cup.txt
Costa Rica,Guatemala,1,0,1,San José,Costa Rica,1991_uncaf_cup.txt
Honduras,El Salvador,2,1,1,San José,Costa Rica,1991_uncaf_cup.txt
Costa Rica,Nicaragua,6,0,1,San José,Costa Rica,1993_uncaf_cup.txt
Costa Rica,Nicaragua,2,0,1,San José,Costa Rica,1993_uncaf_cup.txt
El Salvador,Costa Rica,0,1,2,Tegucigalpa,Honduras,1993_uncaf_cup.txt
Honduras,Panama,2,0,1,Tegucigalpa,Honduras,1993_uncaf_cup.txt
El Salvador,Panama,1,1,X,Tegucigalpa,Honduras,1993_uncaf_cup.txt
Honduras,Costa Rica,2,0,1,Tegucigalpa,Honduras,1993_uncaf_cup.txt
Costa Rica,Panama,2,0,1,Tegucigalpa,Honduras,1993_uncaf_cup.txt
Honduras,El Salvador,3,0,1,Tegucigalpa,Honduras,1993_uncaf_cup.txt
Panama,Nicaragua,2,0,1,Panama City,Panama,1995_uncaf_cup.txt
Nicaragua,Panama,0,5,2,Diriamba,Nicaragua,1995_uncaf_cup.txt
El Salvador,Belize,3,0,1,San Salvador,El Salvador,1995_uncaf_cup.txt
Honduras,Panama,2,0,1,Santa Ana,El Salvador,1995_uncaf_cup.txt
Costa Rica,Belize,2,1,1,San Salvador,El Salvador,1995_uncaf_cup.txt
Guatemala,Panama,1,0,1,Santa Ana,El Salvador,1995_uncaf_cup.txt
El Salvador,Costa Rica,2,1,1,San Salvador,El Salvador,1995_uncaf_cup.txt
Honduras,Guatemala,2,0,1,Santa Ana,El Salvador,1995_uncaf_cup.txt
El Salvador,Guatemala,0,1,2,San Salvador,El Salvador,1995_uncaf_cup.txt
Honduras,Costa Rica,1,1,X,San Salvador,El Salvador   [Honduras wins on penalties],1995_uncaf_cup.txt
El Salvador,Costa Rica,2,1,1,San Salvador,El Salvador,1995_uncaf_cup.txt
Honduras,Guatemala,3,0,1,San Salvador,El Salvador,1995_uncaf_cup.txt
Panama,Belize,1,1,X,Panama City,Panama,1997_uncaf_cup.txt
Belize,Panama,0,1,2,San Ignacio,Belize,1997_uncaf_cup.txt
Guatemala,Costa Rica,1,1,X,Guatemala City,Guatemala,1997_uncaf_cup.txt
Honduras,Panama,5,0,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
Costa Rica,Nicaragua,5,1,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
Honduras,El Salvador,3,0,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
El Salvador,Panama,2,0,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
Guatemala,Nicaragua,6,1,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
Guatemala,El Salvador,1,0,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
Honduras,Costa Rica,0,4,2,Guatemala City,Guatemala,1997_uncaf_cup.txt
Costa Rica,El Salvador,1,0,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
Guatemala,Honduras,1,0,1,Guatemala City,Guatemala,1997_uncaf_cup.txt
Guatemala,Costa Rica,1,1,X,Guatemala City,Guatemala,1997_uncaf_cup.txt
Honduras,El Salvador,0,0,X,Guatemala City,Guatemala,1997_uncaf_cup.txt
Costa Rica,Belize,7,0,1,San José,Costa Rica,1999_uncaf_cup.txt
Guatemala,Nicaragua,1,0,1,San José,Costa Rica,1999_uncaf_cup.txt
Guatemala,El Salvador,1,1,X,San José,Costa Rica,1999_uncaf_cup.txt
Honduras,Belize,5,1,1,San José,Costa Rica,1999_uncaf_cup.txt
Costa Rica,Honduras,0,1,2,San José,Costa Rica,1999_uncaf_cup.txt
El Salvador,Nicaragua,1,0,1,San José,Costa Rica,1999_uncaf_cup.txt
Costa Rica,Guatemala,1,0,1,San José,Costa Rica,1999_uncaf_cup.txt
Honduras,El Salvador,3,1,1,San José,Costa Rica,1999_uncaf_cup.txt
Costa Rica,Honduras,1,2,2,San José,Costa Rica,1999_uncaf_cup.txt
Guatemala,El Salvador,1,0,1,San José,Costa Rica,1999_uncaf_cup.txt
Costa Rica,El Salvador,4,0,1,San José,Costa Rica,1999_uncaf_cup.txt
Honduras,Guatemala,0,2,2,San José,Costa Rica,1999_uncaf_cup.txt
Costa Rica,Belize,4,0,1,San Pedro Sula,Honduras,2001_uncaf_cup.txt
El Salvador,Nicaragua,3,0,1,Puerto Cortés,Honduras,2001_uncaf_cup.txt
Honduras,Panama,1,2,2,San Pedro Sula,Honduras,2001_uncaf_cup.txt
El Salvador,Panama,2,1,1,Tegucigalpa,Honduras,2001_uncaf_cup.txt
Guatemala,Belize,3,3,X,Puerto Cortés,Honduras,2001_uncaf_cup.txt
Honduras,Nicaragua,10,2,1,Tegucigalpa,Honduras,2001_uncaf_cup.txt
Costa Rica,Guatemala,1,1,X,San Pedro Sula,Honduras,2001_uncaf_cup.txt
Honduras,El Salvador,1,1,X,San Pedro Sula,Honduras,2001_uncaf_cup.txt
Panama,Nicaragua,6,0,1,Puerto Cortés,Honduras,2001_uncaf_cup.txt
El Salvador,Guatemala,0,0,X,San Pedro Sula,Honduras,2001_uncaf_cup.txt
Panama,Costa Rica,1,2,2,San Pedro Sula,Honduras,2001_uncaf_cup.txt
El Salvador,Panama,1,1,X,Tegucigalpa,Honduras,2001_uncaf_cup.txt
Guatemala,Costa Rica,2,0,1,Tegucigalpa,Honduras,2001_uncaf_cup.txt
Costa Rica,El Salvador,1,1,X,San Pedro Sula,Honduras,2001_uncaf_cup.txt
Guatemala,Panama,3,1,1,San Pedro Sula,Honduras,2001_uncaf_cup.txt
Panama,El Salvador,1,2,2,Panama City,Panama,2003_uncaf_cup.txt
Costa Rica,El Salvador,1,0,1,Panama City,Panama,2003_uncaf_cup.txt
Honduras,Nicaragua,2,0,1,Panama City,Panama,2003_uncaf_cup.txt
Costa Rica,Guatemala,1,1,X,Panama City,Panama,2003_uncaf_cup.txt
El Salvador,Nicaragua,3,0,1,Panama City,Panama,2003_uncaf_cup.txt
Costa Rica,Nicaragua,1,0,1,Panama City,Panama,2003_uncaf_cup.txt
Honduras,El Salvador,0,1,2,Panama City,Panama,2003_uncaf_cup.txt
Panama,Guatemala,2,0,1,Panama City,Panama,2003_uncaf_cup.txt
Guatemala,Nicaragua,5,0,1,Panama City,Panama,2003_uncaf_cup.txt
Panama,Honduras,1,1,X,Panama City,Panama,2003_uncaf_cup.txt
Costa Rica,Honduras,1,0,1,Panama City,Panama,2003_uncaf_cup.txt
El Salvador,Guatemala,0,2,2,Panama City,Panama,2003_uncaf_cup.txt
Panama,Nicaragua,0,1,2,Panama City,Panama,2003_uncaf_cup.txt
Guatemala,Honduras,2,1,1,Panama City,Panama,2003_uncaf_cup.txt
Panama,Costa Rica,0,1,2,Panama City,Panama,2003_uncaf_cup.txt
El Salvador,Panama,0,1,2,Guatemala City,Guatemala,2005_uncaf_cup.txt
Guatemala,Belize,2,0,1,Guatemala City,Guatemala,2005_uncaf_cup.txt
Honduras,Nicaragua,5,1,1,Guatemala City,Guatemala,2005_uncaf_cup.txt
Belize,Honduras,0,4,2,Guatemala City,Guatemala,2005_uncaf_cup.txt
Costa Rica,El Salvador,2,1,1,Guatemala City,Guatemala,2005_uncaf_cup.txt
