home_team,away_team,home_score,away_score,result,city,country,source_file
Jordan,Kyrgyzstan,2,0,1,Amman,Jordan,2000_waff_championship.txt
Lebanon,Iraq,1,2,2,Amman,Jordan,2000_waff_championship.txt
Iran,Kazakhstan,3,0,1,Amman,Jordan,2000_waff_championship.txt
Syria,Palestine,1,0,1,Amman,Jordan,2000_waff_championship.txt
Jordan,Iraq,0,0,X,Amman,Jordan,2000_waff_championship.txt
Kyrgyzstan,Lebanon,0,2,2,Amman,Jordan,2000_waff_championship.txt
Kazakhstan,Syria,0,4,2,Amman,Jordan,2000_waff_championship.txt
Palestine,Iran,1,1,X,Amman,Jordan,2000_waff_championship.txt
Iraq,Kyrgyzstan,4,0,1,Amman,Jordan,2000_waff_championship.txt
Jordan,Lebanon,0,0,X,Amman,Jordan,2000_waff_championship.txt
Iran,Syria,1,0,1,Amman,Jordan,2000_waff_championship.txt
Kazakhstan,Palestine,3,2,1,Amman,Jordan,2000_waff_championship.txt
Iraq,Syria,0,0,X,Amman,Jordan,2000_waff_championship.txt
Jordan,Iran,0,1,2,Amman,Jordan,2000_waff_championship.txt
Iran,Syria,1,0,1,Amman,Jordan,2000_waff_championship.txt
Jordan,Iraq,1,4,2,Amman,Jordan,2000_waff_championship.txt
Jordan,Iran,1,0,1,Damascus,Syria,2002_waff_championship.txt
Syria,Palestine,2,1,1,Damascus,Syria,2002_waff_championship.txt
Lebanon,Jordan,0,1,2,Damascus,Syria,2002_waff_championship.txt
Palestine,Iraq,0,2,2,Damascus,Syria,2002_waff_championship.txt
Iran,Lebanon,2,0,1,Damascus,Syria,2002_waff_championship.txt
Syria,Iraq,0,1,2,Damascus,Syria,2002_waff_championship.txt
Iraq,Iran,0,0,X,Damascus,Syria   [Iraq wins on penalties],2002_waff_championship.txt
Syria,Jordan,1,2,2,Damascus,Syria,2002_waff_championship.txt
Jordan,Iraq,2,3,2,Damascus,Syria,2002_waff_championship.txt
Syria,Iran,2,2,X,Damascus,Syria   [Iran wins on penalties],2002_waff_championship.txt
Iran,Lebanon,4,0,1,Tehran,Iran,2004_waff_championship.txt
Palestine,Jordan,1,1,X,Tehran,Iran,2004_waff_championship.txt
Iraq,Palestine,2,1,1,Tehran,Iran,2004_waff_championship.txt
Syria,Lebanon,3,1,1,Tehran,Iran,2004_waff_championship.txt
Iran,Syria,7,1,1,Tehran,Iran,2004_waff_championship.txt
Jordan,Iraq,2,0,1,Tehran,Iran,2004_waff_championship.txt
Iran,Iraq,2,1,1,Tehran,Iran,2004_waff_championship.txt
Jordan,Syria,1,1,X,Tehran,Iran   [Syria wins on penalties],2004_waff_championship.txt
Iran,Syria,4,1,1,Tehran,Iran,2004_waff_championship.txt
Iraq,Jordan,1,3,2,Tehran,Iran,2004_waff_championship.txt
Iran,Iraq,0,0,X,Amman,Jordan,2007_waff_championship.txt
Lebanon,Syria,0,1,2,Amman,Jordan,2007_waff_championship.txt
Jordan,Syria,0,1,2,Amman,Jordan,2007_waff_championship.txt
Palestine,Iraq,0,1,2,Amman,Jordan,2007_waff_championship.txt
Iran,Palestine,2,0,1,Amman,Jordan,2007_waff_championship.txt
Jordan,Lebanon,3,0,1,Amman,Jordan,2007_waff_championship.txt
Jordan,Iran,0,1,2,Amman,Jordan,2007_waff_championship.txt
