time,home_team,away_team,home_score,away_score,result,ht_score,source_file
19.45,Haverfordwest County,Pontypridd United,0,0,X,,2023-24_wal1.txt
,The New Saints,Connah's Quay Nomads,6,2,1,3-2,2023-24_wal1.txt
14.30,Aberystwyth Town,Cardiff Metropolitan,0,1,2,0-1,2023-24_wal1.txt
,Bala Town,Barry Town United,1,0,1,0-0,2023-24_wal1.txt
,Newtown AFC,Penybont FC,1,3,2,0-2,2023-24_wal1.txt
17.15,Colwyn Bay FC,Caernarfon Town,0,4,2,0-1,2023-24_wal1.txt
19.45,Caernarfon Town,Newtown AFC,2,1,1,1-0,2023-24_wal1.txt
,Connah's Quay Nomads,Aberystwyth Town,4,0,1,4-0,2023-24_wal1.txt
,Penybont FC,Haverfordwest County,2,0,1,1-0,2023-24_wal1.txt
14.30,Cardiff Metropolitan,Bala Town,0,0,X,,2023-24_wal1.txt
,Pontypridd United,The New Saints,0,1,2,0-0,2023-24_wal1.txt
17.15,Barry Town United,Colwyn Bay FC,1,1,X,1-0,2023-24_wal1.txt
19.45,Bala Town,Connah's Quay Nomads,1,0,1,0-0,2023-24_wal1.txt
,Pontypridd United,Penybont FC,0,0,X,,2023-24_wal1.txt
14.30,Cardiff Metropolitan,Colwyn Bay FC,1,0,1,1-0,2023-24_wal1.txt
,Haverfordwest County,Caernarfon Town,1,1,X,0-0,2023-24_wal1.txt
,The New Saints,Barry Town United,2,2,X,0-0,2023-24_wal1.txt
17.15,Newtown AFC,Aberystwyth Town,0,0,X,,2023-24_wal1.txt
19.45,Barry Town United,Haverfordwest County,2,2,X,2-0,2023-24_wal1.txt
,Caernarfon Town,Bala Town,1,1,X,0-0,2023-24_wal1.txt
,Colwyn Bay FC,The New Saints,0,1,2,0-0,2023-24_wal1.txt
,Connah's Quay Nomads,Newtown AFC,3,1,1,1-1,2023-24_wal1.txt
,Penybont FC,Cardiff Metropolitan,0,0,X,,2023-24_wal1.txt
20.00,Aberystwyth Town,Pontypridd United,0,1,2,0-0,2023-24_wal1.txt
19.45,Caernarfon Town,Connah's Quay Nomads,0,4,2,0-1,2023-24_wal1.txt
,Newtown AFC,Cardiff Metropolitan,2,1,1,2-1,2023-24_wal1.txt
,The New Saints,Aberystwyth Town,6,0,1,2-0,2023-24_wal1.txt
14.30,Bala Town,Penybont FC,2,1,1,2-0,2023-24_wal1.txt
,Colwyn Bay FC,Haverfordwest County,1,2,2,0-0,2023-24_wal1.txt
,Pontypridd United,Barry Town United,1,0,1,1-0,2023-24_wal1.txt
19.45,Cardiff Metropolitan,Pontypridd United,2,0,1,0-0,2023-24_wal1.txt
14.30,Aberystwyth Town,Caernarfon Town,2,4,2,2-2,2023-24_wal1.txt
,Barry Town United,Connah's Quay Nomads,1,4,2,1-2,2023-24_wal1.txt
,Haverfordwest County,Newtown AFC,0,4,2,0-2,2023-24_wal1.txt
,Penybont FC,Colwyn Bay FC,0,1,2,0-0,2023-24_wal1.txt
19.45,Bala Town,The New Saints,0,0,X,,2023-24_wal1.txt
19.45,Colwyn Bay FC,Aberystwyth Town,3,1,1,2-1,2023-24_wal1.txt
14.30,Connah's Quay Nomads,Cardiff Metropolitan,4,0,1,2-0,2023-24_wal1.txt
,Newtown AFC,Barry Town United,2,0,1,1-0,2023-24_wal1.txt
,Penybont FC,Caernarfon Town,3,2,1,1-1,2023-24_wal1.txt
,Pontypridd United,Bala Town,0,0,X,,2023-24_wal1.txt
,The New Saints,Haverfordwest County,5,1,1,1-0,2023-24_wal1.txt
19.45,Cardiff Metropolitan,The New Saints,1,5,2,1-3,2023-24_wal1.txt
20.00,Aberystwyth Town,Penybont FC,1,2,2,0-0,2023-24_wal1.txt
14.30,Barry Town United,Bala Town,3,1,1,2-0,2023-24_wal1.txt
,Colwyn Bay FC,Newtown AFC,2,4,2,1-3,2023-24_wal1.txt
,Haverfordwest County,Connah's Quay Nomads,1,3,2,0-1,2023-24_wal1.txt
17.15,Caernarfon Town,Pontypridd United,1,0,1,0-0,2023-24_wal1.txt
19.45,Caernarfon Town,The New Saints,1,3,2,1-0,2023-24_wal1.txt
,Cardiff Metropolitan,Haverfordwest County,1,1,X,0-0,2023-24_wal1.txt
,Connah's Quay Nomads,Colwyn Bay FC,2,1,1,0-0,2023-24_wal1.txt
,Penybont FC,Barry Town United,1,0,1,1-0,2023-24_wal1.txt
,Pontypridd United,Newtown AFC,0,1,2,0-0,2023-24_wal1.txt
19.45,Bala Town,Aberystwyth Town,0,1,2,0-1,2023-24_wal1.txt
14.30,Barry Town United,Caernarfon Town,0,3,2,0-2,2023-24_wal1.txt
,Colwyn Bay FC,Cardiff Metropolitan,2,2,X,1-1,2023-24_wal1.txt
,Haverfordwest County,Aberystwyth Town,3,0,1,0-0,2023-24_wal1.txt
,Newtown AFC,Bala Town,1,0,1,0-0,2023-24_wal1.txt
,The New Saints,Pontypridd United,4,0,1,3-0,2023-24_wal1.txt
17.15,Connah's Quay Nomads,Penybont FC,4,2,1,2-0,2023-24_wal1.txt
