home_team,away_team,home_score,away_score,result,city,country,source_file
Saint Lucia,Dominica,4,1,1,Castries,Saint Lucia,1961_windward_islands_tournament.txt
Grenada,Saint Vincent and the Grenadines,3,6,2,Castries,Saint Lucia,1961_windward_islands_tournament.txt
Saint Lucia,Grenada,0,4,2,Castries,Saint Lucia,1961_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,1,1,X,Castries,Saint Lucia,1961_windward_islands_tournament.txt
Dominica,Grenada,1,8,2,Castries,Saint Lucia,1961_windward_islands_tournament.txt
Saint Lucia,Saint Vincent and the Grenadines,2,2,X,Castries,Saint Lucia,1961_windward_islands_tournament.txt
Grenada,Saint Vincent and the Grenadines,2,1,1,St. George's,Grenada,1962_windward_islands_tournament.txt
Saint Lucia,Saint Vincent and the Grenadines,2,2,X,Castries,Saint Lucia,1964_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,2,2,X,Castries,Saint Lucia,1964_windward_islands_tournament.txt
Saint Lucia,Dominica,4,2,1,Castries,Saint Lucia,1964_windward_islands_tournament.txt
Saint Lucia,Saint Vincent and the Grenadines,0,0,X,Castries,Saint Lucia,1964_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,1,1,X,Castries,Saint Lucia,1964_windward_islands_tournament.txt
Saint Lucia,Dominica,5,0,1,Castries,Saint Lucia,1964_windward_islands_tournament.txt
Dominica,Grenada,2,0,1,Kingstown,Saint Vincent and the Grenadines,1965_windward_islands_tournament.txt
Saint Vincent and the Grenadines,Saint Lucia,1,2,2,Kingstown,Saint Vincent and the Grenadines,1965_windward_islands_tournament.txt
Dominica,Saint Lucia,1,0,1,Kingstown,Saint Vincent and the Grenadines,1965_windward_islands_tournament.txt
Saint Vincent and the Grenadines,Dominica,3,1,1,Kingstown,Saint Vincent and the Grenadines,1965_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,0,1,2,St. George's,Grenada,1966_windward_islands_tournament.txt
Grenada,Saint Lucia,7,1,1,St. George's,Grenada,1966_windward_islands_tournament.txt
Grenada,Dominica,3,3,X,St. George's,Grenada,1966_windward_islands_tournament.txt
Saint Lucia,Saint Vincent and the Grenadines,1,2,2,St. George's,Grenada,1966_windward_islands_tournament.txt
Dominica,Saint Lucia,5,3,1,St. George's,Grenada,1966_windward_islands_tournament.txt
Grenada,Saint Vincent and the Grenadines,1,3,2,St. George's,Grenada,1966_windward_islands_tournament.txt
Grenada,Saint Vincent and the Grenadines,1,1,X,Roseau,Dominica,1967_windward_islands_tournament.txt
Dominica,Saint Lucia,2,4,2,Roseau,Dominica,1967_windward_islands_tournament.txt
Saint Lucia,Saint Vincent and the Grenadines,4,3,1,Roseau,Dominica,1967_windward_islands_tournament.txt
Dominica,Grenada,2,4,2,Roseau,Dominica,1967_windward_islands_tournament.txt
Grenada,Saint Lucia,2,1,1,Roseau,Dominica,1967_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,1,2,2,Roseau,Dominica,1967_windward_islands_tournament.txt
Saint Lucia,Dominica,4,0,1,Castries,Saint Lucia,1968_windward_islands_tournament.txt
Dominica,Grenada,2,6,2,Castries,Saint Lucia,1968_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,1,1,X,Castries,Saint Lucia,1968_windward_islands_tournament.txt
Saint Vincent and the Grenadines,Dominica,1,0,1,Kingstown,Saint Vincent and the Grenadines,1969_windward_islands_tournament.txt
Grenada,Saint Lucia,6,0,1,Kingstown,Saint Vincent and the Grenadines,1969_windward_islands_tournament.txt
Saint Vincent and the Grenadines,Saint Lucia,2,1,1,Kingstown,Saint Vincent and the Grenadines,1969_windward_islands_tournament.txt
Dominica,Grenada,0,1,2,Kingstown,Saint Vincent and the Grenadines,1969_windward_islands_tournament.txt
Dominica,Saint Lucia,1,3,2,Kingstown,Saint Vincent and the Grenadines,1969_windward_islands_tournament.txt
Saint Vincent and the Grenadines,Grenada,0,0,X,Kingstown,Saint Vincent and the Grenadines,1969_windward_islands_tournament.txt
Dominica,Saint Lucia,1,1,X,St. George's,Grenada,1970_windward_islands_tournament.txt
Grenada,Saint Vincent and the Grenadines,5,3,1,St. George's,Grenada,1970_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,0,1,2,St. George's,Grenada,1970_windward_islands_tournament.txt
Grenada,Saint Lucia,6,1,1,St. George's,Grenada,1970_windward_islands_tournament.txt
Grenada,Dominica,2,1,1,St. George's,Grenada,1970_windward_islands_tournament.txt
Grenada,Saint Lucia,5,2,1,Roseau,Dominica,1971_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,3,0,1,Roseau,Dominica,1971_windward_islands_tournament.txt
Grenada,Saint Vincent and the Grenadines,1,1,X,Roseau,Dominica,1971_windward_islands_tournament.txt
Dominica,Saint Lucia,2,2,X,Roseau,Dominica,1971_windward_islands_tournament.txt
Dominica,Grenada,3,0,1,Roseau,Dominica,1971_windward_islands_tournament.txt
Dominica,Grenada,1,2,2,Castries,Saint Lucia,1972_windward_islands_tournament.txt
Saint Lucia,Saint Vincent and the Grenadines,2,1,1,Castries,Saint Lucia,1972_windward_islands_tournament.txt
Dominica,Saint Vincent and the Grenadines,1,2,2,Castries,Saint Lucia,1972_windward_islands_tournament.txt
Saint Lucia,Grenada,1,0,1,Castries,Saint Lucia,1972_windward_islands_tournament.txt
Grenada,Saint Vincent and the Grenadines,0,0,X,Castries,Saint Lucia,1972_windward_islands_tournament.txt
Saint Lucia,Dominica,1,0,1,Castries,Saint Lucia,1972_windward_islands_tournament.txt
Dominica,Grenada,4,2,1,Roseau,Dominica,1973_windward_islands_tournament.txt
Dominica,Saint Lucia,1,0,1,Roseau,Dominica,1973_windward_islands_tournament.txt
Saint Vincent and the Grenadines,Grenada,4,1,1,Kingstown,Saint Vincent and the Grenadines,1973_windward_islands_tournament.txt
Saint Lucia,Grenada,1,3,2,Castries,Saint Lucia,1973_windward_islands_tournament.txt
Saint Lucia,Dominica,2,1,1,Castries,Saint Lucia,1973_windward_islands_tournament.txt
Saint Vincent and the Grenadines,Dominica,2,2,X,Kingstown,Saint Vincent and the Grenadines,1973_windward_islands_tournament.txt
Grenada,Dominica,1,1,X,St. George's,Grenada,1973_windward_islands_tournament.txt
